Rank,Name,Team,Position,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
48,Sterling Shepard,NYG,WR,8,2,25,9,1,6,1.1,4.5,0,0,0,0,0,0,8.9,8.9
48,Rashard Higgins,CLE,WR,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
50,Cooper Kupp,LAR,WR,2,2,100,4,1,6,2,2,0,0,0,0,0,0,8.4,8.4
51,Cordarrelle Patterson,NE,WR,0,0,0,0,0,0,0,0,5,20,4,1,0,0,8,8
52,Kenny Golladay,DET,WR,1,1,100,5,1,5,5,5,0,0,0,0,0,0,7.5,7.5
53,DeSean Jackson,TB,WR,2,0,0,0,0,0,0,0,1,14,14,1,0,0,7.4,7.4
53,Michael Crabtree,BAL,WR,2,1,50,4,1,4,2,4,0,0,0,0,0,0,7.4,7.4
53,Tre'Quan Smith,NO,WR,2,1,50,4,1,4,2,4,0,0,0,0,0,0,7.4,7.4
56,Tavon Austin,DAL,WR,1,1,100,3,1,3,3,3,0,0,0,0,0,0,7.3,7.3
57,Paul Richardson,WAS,WR,2,1,50,2,1,2,1,2,0,0,0,0,0,0,7.2,7.2
58,Trent Taylor,SF,WR,2,1,50,1,1,1,0.5,1,0,0,0,0,0,0,7.1,7.1
58,Antonio Callaway,CLE,WR,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
60,JuJu Smith-Schuster,PIT,WR,5,3,60,18,0,9,3.6,6,0,0,0,0,0,0,6.8,6.8
61,Julio Jones,ATL,WR,3,1,33.3,1,1,1,0.3,1,0,0,0,0,1,1,6.1,6.1
62,Will Fuller,HOU,WR,2,2,100,19,0,15,9.5,9.5,0,0,0,0,0,0,3.9,3.9
62,D.J. Moore,CAR,WR,0,0,0,0,0,0,0,0,2,39,19.5,0,0,0,3.9,3.9
64,Taywan Taylor,TEN,WR,3,2,66.7,14,0,8,4.7,7,0,0,0,0,0,0,3.4,3.4
65,Kelvin Benjamin,BUF,WR,3,2,66.7,11,0,7,3.7,5.5,0,0,0,0,0,0,3.1,3.1
65,Golden Tate,PHI,WR,5,2,40,11,0,6,2.2,5.5,0,0,0,0,0,0,3.1,3.1
67,Corey Davis,TEN,WR,7,2,28.6,10,0,5,1.4,5,0,0,0,0,0,0,3,3
68,Ryan Grant,IND,WR,2,2,100,9,0,6,4.5,4.5,0,0,0,0,0,0,2.9,2.9
69,Maurice Harris,WAS,WR,1,1,100,18,0,18,18,18,0,0,0,0,0,0,2.8,2.8
70,Allen Hurns,DAL,WR,3,1,33.3,17,0,17,5.7,17,0,0,0,0,0,0,2.7,2.7
71,Nelson Agholor,PHI,WR,2,1,50,1,0,1,0.5,1,1,14,14,0,0,0,2.5,2.5
72,Emmanuel Sanders,DEN,WR,2,1,50,13,0,13,6.5,13,0,0,0,0,0,0,2.3,2.3
73,Chris Godwin,TB,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
73,Jarius Wright,CAR,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
73,Victor Bolden Jr.,SF,WR,1,1,100,10,0,10,10,10,0,0,0,0,0,0,2,2
76,Michael Floyd,WAS,WR,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
77,Jermaine Kearse,NYJ,WR,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
77,Keelan Cole,JAX,WR,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.8,1.8
77,Damion Ratley,CLE,WR,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
80,Phillip Dorsett,NE,WR,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
80,Chad Williams,ARI,WR,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,1.7,1.7
82,Tajae Sharpe,TEN,WR,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
82,Alex Erickson,CIN,WR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
82,Neal Sterling,NYJ,WR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
82,Geronimo Allison,GB,WR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
86,Laquon Treadwell,MIN,WR,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
87,Donte Moncrief,JAX,WR,1,1,100,3,0,3,3,3,0,0,0,0,0,0,1.3,1.3
87,Randall Cobb,GB,WR,4,1,25,3,0,3,0.8,3,0,0,0,0,0,0,1.3,1.3
87,Doug Baldwin,SEA,WR,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
90,Dwayne Harris,OAK,WR,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1
91,Mike Williams,LAC,WR,2,0,0,0,0,0,0,0,1,3,3,0,0,0,0.3,0.3
92,Robert Woods,LAR,WR,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0.2,0.2
92,Martavis Bryant,OAK,WR,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0.2,0.2
94,Aldrick Robinson,MIN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Calvin Ridley,ATL,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Taylor Gabriel,CHI,WR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,Jordy Nelson,OAK,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Mohamed Sanu,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Brandon Marshall,SEA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Seth Roberts,OAK,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Josh Bellamy,CHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Jakeem Grant,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Josh Gordon,NE,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Chris Conley,KC,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Marquez Valdes-Scantling,GB,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,James Washington,PIT,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Willie Snead,BAL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Cameron Meredith,NO,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Marquise Goodwin,SF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Courtland Sutton,DEN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Chris Hogan,NE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Mike Evans,TB,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Zach Pascal,IND,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Demarcus Robinson,KC,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,De'Anthony Thomas,KC,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Ryan Switzer,PIT,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Quincy Enunwa,NYJ,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Marvin Hall,ATL,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Michael Gallup,DAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Justin Hardy,ATL,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Pierre Garcon,SF,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Andre Holmes,BUF,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Albert Wilson,MIA,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Kamar Aiken,PHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
