Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,10,52,167,3.2,13,15,8,69,3,0,0,13.4,133.6
2,Alvin Kamara,NO,RB,9,38,115,3,10,20,16,106,3,0,0,13.3,120.1
3,Kareem Hunt,KC,RB,10,25,69,2.8,7,9,6,54,3,0,0,7.8,78.3
4,Melvin Gordon,LAC,RB,8,18,100,5.6,6,12,7,28,3,2,0,9.7,77.8
5,James White,NE,RB,10,15,26,1.7,3,15,11,80,6,0,0,7.6,75.6
6,James Conner,PIT,RB,9,27,78,2.9,7,6,5,30,1,1,0,7.5,67.8
7,Christian McCaffrey,CAR,RB,9,19,39,2.1,4,7,6,54,3,1,1,6.3,56.3
8,Alex Collins,BAL,RB,9,18,81,4.5,6,4,2,11,1,1,1,5.8,52.2
8,David Johnson,ARI,RB,9,20,50,2.5,6,7,4,12,1,0,0,5.8,52.2
10,Ezekiel Elliott,DAL,RB,9,23,52,2.3,4,11,6,27,1,1,0,4.9,43.9
11,Saquon Barkley,NYG,RB,9,22,45,2,3,10,7,39,1,0,0,4.6,41.4
12,Javorius Allen,BAL,RB,9,11,12,1.1,3,6,6,36,2,0,0,4.5,40.8
13,Joe Mixon,CIN,RB,7,17,44,2.6,4,4,3,25,1,0,0,5.7,39.9
14,Tevin Coleman,ATL,RB,9,13,37,2.8,1,8,7,47,3,0,0,4.4,39.4
15,Jordan Howard,CHI,RB,9,20,61,3,5,3,2,5,0,1,1,4.2,37.6
16,Matt Breida,SF,RB,10,19,51,2.7,2,4,4,37,2,0,0,3.7,36.8
17,TJ Yeldon,JAX,RB,9,11,41,3.7,1,7,4,41,3,0,0,4,36.2
18,Carlos Hyde,JAX,RB,8,17,33,1.9,5,2,0,0,0,1,0,4.2,33.3
19,Ito Smith,ATL,RB,9,15,50,3.3,4,2,2,13,0,1,0,3.6,32.3
20,Marlon Mack,IND,RB,5,16,58,3.6,3,2,2,11,0,0,0,6.2,30.9
21,Mike Davis,SEA,RB,8,11,52,4.7,3,1,1,3,1,0,0,3.8,30.5
21,Tarik Cohen,CHI,RB,9,8,40,5,1,8,5,35,2,0,0,3.4,30.5
23,Duke Johnson,CLE,RB,10,3,1,0.3,0,5,4,38,3,0,0,3,29.9
24,Derrick Henry,TEN,RB,9,20,51,2.6,4,1,1,-6,0,0,0,3.3,29.5
25,Adrian Peterson,WAS,RB,9,23,29,1.3,3,2,2,15,1,1,1,3.3,29.4
26,Nyheim Hines,IND,RB,9,13,34,2.6,1,5,4,32,2,0,0,3.2,28.6
27,Isaiah Crowell,NYJ,RB,10,16,43,2.7,4,0,0,0,0,0,0,2.8,28.3
28,Kerryon Johnson,DET,RB,9,15,35,2.3,2,6,3,19,1,0,0,2.9,26.4
29,Latavius Murray,MIN,RB,9,12,30,2.5,3,2,2,10,0,0,0,2.9,26
30,Marshawn Lynch,OAK,RB,6,14,28,2,3,5,4,5,0,0,0,4.2,25.3
31,Nick Chubb,CLE,RB,10,12,30,2.5,2,2,2,18,1,0,0,2.5,24.8
32,Aaron Jones,GB,RB,7,11,54,4.9,3,2,0,0,0,0,0,3.3,23.4
33,Lamar Miller,HOU,RB,8,21,39,1.9,2,1,1,4,1,0,0,2.9,23.3
34,Sony Michel,NE,RB,7,23,52,2.3,3,0,0,0,0,0,0,3.3,23.2
34,Jay Ajayi,PHI,RB,4,11,28,2.5,3,2,1,4,0,1,1,5.8,23.2
36,Giovani Bernard,CIN,RB,5,6,20,3.3,3,1,1,14,0,0,0,4.5,22.4
37,Wendell Smallwood,PHI,RB,9,10,24,2.4,1,5,3,28,1,0,0,2.5,22.2
38,Dion Lewis,TEN,RB,9,19,32,1.7,1,3,3,29,1,0,0,2.3,21.1
39,Phillip Lindsay,DEN,RB,9,16,39,2.4,2,4,3,17,0,0,0,2.3,20.6
40,Royce Freeman,DEN,RB,7,9,25,2.8,3,0,0,0,0,0,0,2.9,20.5
41,Chris Carson,SEA,RB,7,13,38,2.9,2,2,2,13,0,0,0,2.7,19.1
42,Corey Clement,PHI,RB,7,14,53,3.8,2,1,1,0,0,0,0,2.6,18.3
43,Leonard Fournette,JAX,RB,3,7,10,1.4,1,2,2,6,1,0,0,5.2,15.6
44,Kenyan Drake,MIA,RB,10,9,28,3.1,2,5,1,0,0,1,1,1.5,14.8
45,Austin Ekeler,LAC,RB,9,10,16,1.6,0,4,4,28,1,0,0,1.6,14.4
46,Peyton Barber,TB,RB,9,13,8,0.6,1,3,1,5,1,0,0,1.6,14.3
47,Mark Ingram,NO,RB,5,8,18,2.2,2,0,0,0,0,0,0,2.8,13.8
48,LeGarrette Blount,DET,RB,9,13,14,1.1,2,0,0,0,0,1,0,1.5,13.4
49,Frank Gore,MIA,RB,10,11,37,3.4,0,2,2,12,1,0,0,1.3,12.9
50,Kapri Bibbs,WAS,RB,7,4,6,1.5,2,0,0,0,0,0,0,1.8,12.6
51,Malcolm Brown,LAR,RB,10,7,15,2.1,0,1,1,18,1,0,0,1.2,12.3
52,Alex Armah,CAR,RB,9,3,2,0.7,2,0,0,0,0,0,0,1.4,12.2
53,Chris Thompson,WAS,RB,5,3,1,0.3,0,4,3,24,1,0,0,2.3,11.5
54,Zach Line,NO,FB,9,0,0,0,0,5,4,13,1,0,0,1.3,11.3
55,Jamaal Williams,GB,RB,9,6,7,1.2,1,2,1,7,0,0,0,1.2,10.4
56,Devontae Booker,DEN,RB,9,2,17,8.5,1,2,1,9,0,0,0,1.1,9.6
57,Rashaad Penny,SEA,RB,9,3,18,6,1,1,1,4,0,0,0,1,9.2
58,Spencer Ware,KC,RB,10,8,17,2.1,1,2,1,4,0,0,0,0.9,9.1
59,Ronald Jones II,TB,RB,4,5,13,2.6,1,2,1,5,0,0,0,2.2,8.8
60,Theo Riddick,DET,RB,7,2,2,1,0,7,6,25,0,0,0,1.2,8.7
61,LeSean McCoy,BUF,RB,9,13,24,1.8,1,0,0,0,0,0,0,0.9,8.4
62,Alfred Blue,HOU,RB,9,10,7,0.7,1,2,1,4,0,0,0,0.9,8.1
63,Jaylen Samuels,PIT,FB,7,1,-1,-1,0,1,1,6,1,0,0,1.1,7.5
64,Alfred Morris,SF,RB,10,22,22,1,1,0,0,0,0,1,1,0.7,7.2
65,James Develin,NE,RB,10,1,1,1,1,1,1,-1,0,0,0,0.7,7
66,Chris Ivory,BUF,RB,9,7,7,1,1,0,0,0,0,0,0,0.7,6.7
66,Ty Montgomery,BAL,RB,7,3,7,2.3,1,1,0,0,0,0,0,1,6.7
68,Jordan Wilkins,IND,RB,9,3,7,2.3,0,4,4,17,0,0,0,0.7,6.4
69,Kenneth Dixon,BAL,RB,1,1,2,2,1,0,0,0,0,0,0,6.2,6.2
70,Jalen Richard,OAK,RB,9,2,5,2.5,0,5,3,20,0,0,0,0.6,5.5
71,Jacquizz Rodgers,TB,RB,9,1,7,7,0,3,3,18,0,1,1,0.5,4.5
72,Marcus Murphy,BUF,RB,7,6,12,2,0,2,2,5,0,0,0,0.5,3.7
73,Kyle Juszczyk,SF,FB,10,3,2,0.7,0,5,2,13,0,0,0,0.4,3.5
74,Anthony Sherman,KC,FB,10,0,0,0,0,2,2,14,0,0,0,0.3,3.4
75,Corey Grant,JAX,RB,5,0,0,0,0,2,2,11,0,0,0,0.6,3.1
76,Doug Martin,OAK,RB,9,10,27,2.7,0,0,0,0,0,0,0,0.3,2.7
77,Darren Sproles,PHI,RB,1,2,5,2.5,0,1,1,3,0,0,0,1.8,1.8
77,Rod Smith,DAL,RB,9,3,8,2.7,0,1,1,0,0,0,0,0.2,1.8
79,Damien Williams,KC,RB,9,0,0,0,0,1,1,7,0,0,0,0.2,1.7
80,Shaun Wilson,TB,RB,5,0,0,0,0,3,1,5,0,0,0,0.3,1.5
81,Jamize Olawale,DAL,FB,9,0,0,0,0,1,1,3,0,0,0,0.1,1.3
82,Keith Smith,OAK,FB,9,1,0,0,0,1,1,2,0,0,0,0.1,1.2
83,CJ Anderson,CAR,RB,9,3,11,3.7,0,0,0,0,0,0,0,0.1,1.1
84,Samaje Perine,WAS,RB,4,0,0,0,0,1,1,0,0,0,0,0.2,1
85,Mike Gillislee,NO,RB,4,2,8,4,0,0,0,0,0,0,0,0.2,0.8
85,Kenjon Barner,NE,RB,5,3,8,2.7,0,0,0,0,0,0,0,0.2,0.8
87,Jeremy McNichols,IND,RB,1,1,7,7,0,0,0,0,0,0,0,0.7,0.7
88,Wayne Gallman,NYG,RB,9,4,6,1.5,0,2,0,0,0,0,0,0.1,0.6
89,Dalvin Cook,MIN,RB,4,4,5,1.2,0,0,0,0,0,0,0,0.1,0.5
89,Chase Edmonds,ARI,RB,9,1,5,5,0,0,0,0,0,0,0,0.1,0.5
89,Josh Adams,PHI,RB,6,4,5,1.2,0,0,0,0,0,0,0,0.1,0.5
89,Nick Bellore,DET,RB,9,0,0,0,0,1,1,-5,0,0,0,0.1,0.5
93,Devonta Freeman,ATL,RB,2,3,4,1.3,0,1,0,0,0,0,0,0.2,0.4
93,Bilal Powell,NYJ,RB,7,10,4,0.4,0,1,0,0,0,0,0,0.1,0.4
93,Brandon Wilds,JAX,RB,3,1,4,4,0,0,0,0,0,0,0,0.1,0.4
93,Mark Walton,CIN,RB,7,1,4,4,0,0,0,0,0,0,0,0.1,0.4
97,Robert Turbin,IND,RB,2,1,3,3,0,0,0,0,0,0,0,0.2,0.3
98,Stevan Ridley,PIT,RB,7,1,2,2,0,0,0,0,0,0,0,0,0.2
98,Roc Thomas,MIN,RB,5,2,2,1,0,2,0,0,0,0,0,0,0.2
100,Ricky Ortiz,ATL,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
100,Jonathan Stewart,NYG,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Taiwan Jones,BUF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
100,Brandon Bolden,MIA,RB,10,0,0,0,0,0,0,0,0,0,0,0,0
100,Patrick DiMarco,BUF,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
100,Tommy Bohanon,JAX,FB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,Rex Burkhead,NE,RB,3,0,0,0,0,3,0,0,0,0,0,0,0
100,Christine Michael,IND,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Derrick Coleman,ARI,FB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,David Fluellen,TEN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
100,Jeremy Hill,NE,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Senorise Perry,MIA,RB,10,0,0,0,0,0,0,0,0,0,0,0,0
100,Roosevelt Nix,PIT,RB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,Raheem Mostert,SF,RB,9,1,0,0,0,0,0,0,0,0,0,0,0
100,CJ Prosise,SEA,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
100,Tyler Ervin,HOU,RB,9,0,0,0,0,1,0,0,0,0,0,0,0
100,Andy Janovich,DEN,FB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,Derek Watt,LAC,FB,9,1,0,0,0,0,0,0,0,0,0,0,0
100,Tre Madden,SEA,RB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,Alan Cross,TB,FB,9,0,0,0,0,1,0,0,0,0,0,0,0
100,Rob Kelley,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Tra Carson,GB,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
100,CJ Ham,MIN,RB,9,1,0,0,0,0,0,0,0,0,0,0,0
100,Patrick Ricard,BAL,FB,8,0,0,0,0,0,0,0,0,0,0,0,0
100,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Detrez Newsome,LAC,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
100,Gregory Howell Jr.,HOU,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
100,Benjamin Cunningham,CHI,RB,9,0,0,0,0,0,0,0,0,0,0,0,0
100,Michael Burton,CHI,FB,5,0,0,0,0,0,0,0,0,0,0,0,0
100,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Deandre Washington,OAK,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Justin Davis,LAR,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
100,Trenton Cannon,NYJ,RB,10,0,0,0,0,0,0,0,0,0,0,0,0
100,De'Lance Turner,BAL,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
100,Cameron Artis-Payne,CAR,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Brian Hill,ATL,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,TJ Logan,ARI,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Mike Boone,MIN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
100,Kalen Ballage,MIA,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
100,Dwayne Washington,NO,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Ameer Abdullah,DET,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Elijhaa Penny,NYG,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
100,Gus Edwards,BAL,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
100,Justin Jackson,LAC,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
100,Jamaal Charles,JAX,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Dontrell Hilliard,CLE,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
100,David Williams,JAX,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Elijah McGuire,NYJ,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
100,Taquan Mizzell,CHI,RB,2,1,0,0,0,1,0,0,0,0,0,0,0
100,Zach Zenner,DET,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
151,Jonathan Williams,NO,RB,3,1,-1,-1,0,0,0,0,0,0,0,0,-0.1
