Rank,Name,Team,Position,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
47,Jermaine Gresham,ARI,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,David Morgan,MIN,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Ian Thomas,CAR,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Joshua Perkins,PHI,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Charles Clay,BUF,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Nick Boyle,BAL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Johnny Mundt,LAR,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Tyler Conklin,MIN,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Eric Saubert,ATL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Dion Sims,CHI,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Ben Braunecker,CHI,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Antony Auclair,TB,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Luke Willson,DET,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Levine Toilolo,DET,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Rico Gathers,DAL,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Blake Jarwin,DAL,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Marcedes Lewis,GB,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,MyCole Pruitt,TEN,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Ryan Hewitt,IND,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Jordan Akins,HOU,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Rob Gronkowski,NE,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Dwayne Allen,NE,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Durham Smythe,MIA,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Niles Paul,JAX,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Eric Tomlinson,NYJ,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Lee Smith,OAK,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Orson Charles,CLE,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Darren Fells,CLE,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Derek Carrier,OAK,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Gabe Holmes,ARI,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Ricky Seals-Jones,ARI,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Scott Simonson,NYG,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Cole Wick,SF,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Sean Culkin,LAC,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,James Hurst,BAL,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Xavier Grimble,PIT,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Matt LaCosse,DEN,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Seth DeValve,CLE,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Mason Schreck,CIN,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Logan Thomas,BUF,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Darrell Daniels,SEA,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Jeremy Sprinkle,WAS,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Chris Manhertz,CAR,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Dalton Schultz,DAL,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Jacob Hollister,NE,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
47,Hayden Hurst,BAL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Brian Parker,DEN,TE,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
