Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
55,Theo Riddick,DET,RB,9,4,9,2.2,0,8,7,33,0,0,0,1.2,11.2
57,Josh Adams,PHI,RB,8,10,30,3,1,0,0,0,0,0,0,1.4,11
57,Doug Martin,OAK,RB,11,12,34,2.8,1,1,1,6,0,0,0,1,11
59,Rashaad Penny,SEA,RB,11,8,32,4,1,1,1,4,0,0,0,1,10.6
60,Jamaal Williams,GB,RB,11,6,7,1.2,1,2,1,7,0,0,0,0.9,10.4
61,Gus Edwards,BAL,RB,6,7,23,3.3,1,0,0,0,0,0,0,1.7,10.3
62,Devontae Booker,DEN,RB,11,2,17,8.5,1,2,1,9,0,0,0,0.9,9.6
63,LeSean McCoy,BUF,RB,10,16,35,2.2,1,0,0,0,0,0,0,1,9.5
64,Spencer Ware,KC,RB,11,8,17,2.1,1,2,1,4,0,0,0,0.8,9.1
65,Ronald Jones II,TB,RB,4,5,13,2.6,1,2,1,5,0,0,0,2.2,8.8
66,Ty Montgomery,BAL,RB,9,4,27,6.8,1,1,0,0,0,0,0,1,8.7
67,Alfred Blue,HOU,RB,11,10,7,0.7,1,2,1,4,0,0,0,0.7,8.1
68,Taquan Mizzell,CHI,RB,4,1,0,0,0,2,1,10,1,0,0,2,8
69,Jaylen Samuels,PIT,FB,9,1,-1,-1,0,1,1,6,1,0,0,0.8,7.5
70,Alfred Morris,SF,RB,10,22,22,1,1,0,0,0,0,1,1,0.7,7.2
71,James Develin,NE,RB,11,1,1,1,1,1,1,-1,0,0,0,0.6,7
72,Chris Ivory,BUF,RB,10,7,7,1,1,0,0,0,0,0,0,0.7,6.7
73,Kenneth Dixon,BAL,RB,1,1,2,2,1,0,0,0,0,0,0,6.2,6.2
74,Jalen Richard,OAK,RB,11,3,6,2,0,5,3,20,0,0,0,0.5,5.6
75,Jacquizz Rodgers,TB,RB,11,3,11,3.7,0,4,3,18,0,1,1,0.4,4.9
76,Marcus Murphy,BUF,RB,8,6,12,2,0,2,2,5,0,0,0,0.5,3.7
77,Kyle Juszczyk,SF,FB,11,3,2,0.7,0,5,2,13,0,0,0,0.3,3.5
78,Anthony Sherman,KC,FB,11,0,0,0,0,2,2,14,0,0,0,0.3,3.4
79,Corey Grant,JAX,RB,5,0,0,0,0,2,2,11,0,0,0,0.6,3.1
80,Ameer Abdullah,MIN,RB,5,0,0,0,0,1,1,10,0,0,0,0.4,2
80,Nick Bellore,DET,RB,11,0,0,0,0,2,2,0,0,0,0,0.2,2
82,Darren Sproles,PHI,RB,1,2,5,2.5,0,1,1,3,0,0,0,1.8,1.8
82,Rod Smith,DAL,RB,11,3,8,2.7,0,1,1,0,0,0,0,0.2,1.8
84,Damien Williams,KC,RB,9,0,0,0,0,1,1,7,0,0,0,0.2,1.7
85,Shaun Wilson,TB,RB,5,0,0,0,0,3,1,5,0,0,0,0.3,1.5
86,Deandre Washington,OAK,RB,5,6,14,2.3,0,0,0,0,0,0,0,0.3,1.4
87,Jamize Olawale,DAL,FB,11,0,0,0,0,1,1,3,0,0,0,0.1,1.3
87,Elijhaa Penny,NYG,RB,7,0,0,0,0,1,1,3,0,0,0,0.2,1.3
89,Keith Smith,OAK,FB,11,1,0,0,0,1,1,2,0,0,0,0.1,1.2
90,CJ Anderson,CAR,RB,9,3,11,3.7,0,0,0,0,0,0,0,0.1,1.1
91,Samaje Perine,WAS,RB,4,0,0,0,0,1,1,0,0,0,0,0.2,1
92,Mike Gillislee,NO,RB,4,2,8,4,0,0,0,0,0,0,0,0.2,0.8
92,Kenjon Barner,CAR,RB,5,3,8,2.7,0,0,0,0,0,0,0,0.2,0.8
92,Jeffery Wilson,SF,RB,1,1,8,8,0,0,0,0,0,0,0,0.8,0.8
95,Jeremy McNichols,IND,RB,1,1,7,7,0,0,0,0,0,0,0,0.7,0.7
95,Kalen Ballage,MIA,RB,7,0,0,0,0,1,1,-3,0,0,0,0.1,0.7
97,Wayne Gallman,NYG,RB,11,4,6,1.5,0,2,0,0,0,0,0,0.1,0.6
98,Chase Edmonds,ARI,RB,11,2,5,2.5,0,0,0,0,0,0,0,0,0.5
98,Justin Jackson,LAC,RB,4,1,5,5,0,0,0,0,0,0,0,0.1,0.5
