Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Jack Doyle,IND,TE,8,CIN,14,12,85.7,121,1,17,8.6,10.1,0,0,0,0,0,0,33.1,33.1
2,Rob Gronkowski,NE,TE,15,PIT,13,9,69.2,168,0,31,12.9,18.7,0,0,0,0,0,0,30.8,30.8
3,Greg Olsen,CAR,TE,15,GB,12,9,75,116,1,30,9.7,12.9,0,0,0,0,0,0,29.6,29.6
4,Travis Kelce,KC,TE,8,DEN,10,7,70,133,1,33,13.3,19,0,0,0,0,0,0,29.3,29.3
4,Zach Ertz,PHI,TE,12,CHI,12,10,83.3,103,1,22,8.6,10.3,0,0,0,0,0,0,29.3,29.3
6,Marcedes Lewis,JAX,TE,3,BAL,5,4,80,62,3,30,12.4,15.5,0,0,0,0,0,0,28.2,28.2
7,OJ Howard,TB,TE,7,BUF,6,6,100,98,2,33,16.3,16.3,0,0,0,0,1,0,27.8,27.8
8,Travis Kelce,KC,TE,4,WAS,8,7,87.5,111,1,32,13.9,15.9,1,3,3,0,0,0,27.4,27.4
9,Travis Kelce,KC,TE,2,PHI,10,8,80,103,1,44,10.3,12.9,0,0,0,0,0,0,27.3,27.3
10,Rob Gronkowski,NE,TE,13,BUF,11,9,81.8,147,0,30,13.4,16.3,0,0,0,0,0,0,26.7,26.7
11,Rob Gronkowski,NE,TE,2,NO,9,6,66.7,116,1,53,12.9,19.3,0,0,0,0,0,0,26.6,26.6
12,Jordan Reed,WAS,TE,7,PHI,10,8,80,64,2,20,6.4,8,0,0,0,0,0,0,26.4,26.4
13,Rob Gronkowski,NE,TE,6,NYJ,10,6,60,83,2,33,8.3,13.8,0,0,0,0,0,0,26.3,26.3
14,Jason Witten,DAL,TE,2,DEN,13,10,76.9,97,1,28,7.5,9.7,0,0,0,0,0,0,25.7,25.7
