Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,James Conner,PIT,RB,8,CLE,24,146,6.1,2,6,5,66,0,1,0,41.2,41.2
2,Todd Gurley,LAR,RB,8,GB,25,114,4.6,0,7,6,81,1,0,0,36.5,36.5
3,Marlon Mack,IND,RB,8,OAK,25,132,5.3,2,4,2,17,0,0,0,31.9,31.9
4,Joe Mixon,CIN,RB,8,TB,21,123,5.9,2,4,3,15,0,0,0,31.8,31.8
5,Adrian Peterson,WAS,RB,8,NYG,26,149,5.7,1,1,1,7,1,1,1,30.6,30.6
6,Alvin Kamara,NO,RB,8,MIN,13,45,3.5,1,8,7,31,1,0,0,26.6,26.6
7,James White,NE,RB,8,BUF,8,15,1.9,1,13,10,79,0,0,0,25.4,25.4
8,Kenyan Drake,MIA,RB,8,HOU,12,58,4.8,1,2,2,37,1,0,0,23.5,23.5
9,Chris Carson,SEA,RB,8,DET,25,105,4.2,1,2,2,19,0,0,0,23.4,23.4
10,Lamar Miller,HOU,RB,8,MIA,18,133,7.4,1,2,0,0,0,0,0,22.3,22.3
11,Christian McCaffrey,CAR,RB,8,BAL,14,45,3.2,1,6,4,11,1,0,0,21.6,21.6
12,Latavius Murray,MIN,RB,8,NO,13,56,4.3,1,6,5,39,0,0,0,20.5,20.5
13,Phillip Lindsay,DEN,RB,8,KC,18,95,5.3,1,3,3,17,0,0,0,20.2,20.2
14,Saquon Barkley,NYG,RB,8,WAS,13,38,2.9,0,10,9,73,0,0,0,20.1,20.1
15,Kareem Hunt,KC,RB,8,DEN,16,50,3.1,0,6,5,36,1,0,0,19.6,19.6
16,Tarik Cohen,CHI,RB,8,NYJ,5,40,8,0,3,1,70,1,1,0,18,18
17,Aaron Jones,GB,RB,8,LAR,12,86,7.2,1,2,2,0,0,0,0,16.6,16.6
18,TJ Yeldon,JAX,RB,8,PHI,2,7,3.5,0,9,7,83,0,0,0,16,16
19,LeSean McCoy,BUF,RB,8,NE,12,13,1.1,0,8,6,82,0,0,0,15.5,15.5
20,Kerryon Johnson,DET,RB,8,SEA,8,22,2.8,0,8,6,69,0,0,0,15.1,15.1
21,Wendell Smallwood,PHI,RB,8,JAX,8,24,3,0,3,2,42,1,0,0,14.6,14.6
22,Peyton Barber,TB,RB,8,CIN,19,85,4.5,1,0,0,0,0,0,0,14.5,14.5
23,Jalen Richard,OAK,RB,8,IND,2,14,7,0,8,8,50,0,0,0,14.4,14.4
24,Jordan Howard,CHI,RB,8,NYJ,22,81,3.7,1,1,0,0,0,0,0,14.1,14.1
24,Devontae Booker,DEN,RB,8,KC,9,78,8.7,0,4,4,23,0,0,0,14.1,14.1
