Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Jordan Leggett,2500,46.87,FALSE,7.5,44.5,18.5,59,NYJ,1.166666667,0.666666667,57.1,3.833333333,0.166666667,3.3,5.8,0,0,0,0,2,0.333333333,0.333333333,100,0.666666667,0.166666667,2,2,0,0,0,0,1.4,8.051632971
Michael Roberts,2500,35.78,TRUE,-3,49.5,26.25,31,DET,1.333333333,1.333333333,100,21,1,15.8,15.8,0,0,0,0,9.4,1,1,100,11.33333333,1,11.3,11.3,0,0,0,0,8.1,7.999313536
Ricky Seals-Jones,3000,40.2,TRUE,-1,43,22,20,ARI,5,2.428571429,48.6,29.14285714,0.142857143,5.8,12,0,0,0,0,6.2,0.285714286,0,0,0,0,0,0,0,0,0,0,0,7.98322556
Tyler Kroft,2500,49.47,TRUE,-4,54.5,29.25,71,CIN,1.2,0.8,66.7,7.2,0,6,9,0,0,0,0,1.5,0.4,0.2,50,1,0,2.5,5,0,0,0,0,0.3,7.91696683
Nick Vannett,2900,34.02,FALSE,3,49.5,23.25,43,SEA,3.6,2.4,66.7,22,0,6.1,9.2,0,0,0,0,4.6,0.2,0.2,100,1.6,0,8,8,0,0,0,0,0.4,7.649144936
Eric Ebron,4900,41.96,FALSE,-3,50,26.5,3,IND,8.428571429,4.714285714,55.9,51,0.857142857,6.1,10.8,0.142857143,-0.142857143,-1,0,15.4,2,0.857142857,42.9,7.714285714,0.714285714,3.9,9,0.142857143,-0.142857143,-1,0,5.9,7.473584797
Tyrone Swoopes,2500,34.02,FALSE,3,49.5,23.25,86,SEA,1,1,100,23,0,23,23,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,7.296330661
Mark Andrews,2700,37.25,FALSE,-2,44,23,21,BAL,3,2,66.7,23.28571429,0.285714286,7.8,11.6,0,0,0,0,6,0.571428571,0.428571429,75,2.428571429,0.285714286,4.2,5.7,0,0,0,0,2.4,7.225893479
Maxx Williams,2500,37.25,FALSE,-2,44,23,33,BAL,2,2,100,18.14285714,0,9.1,9.1,0.285714286,1.142857143,4,0,3.9,0.571428571,0.428571429,75,1.714285714,0,3,4,0,0,0,0,0.6,6.851255469
Orson Charles,2500,47.12,FALSE,8,51,21.5,91,CLE,0.428571429,0.142857143,33.3,1.142857143,0,2.7,8,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6.635880492
Vernon Davis,2800,36.27,FALSE,-1,43,22,30,WAS,1.666666667,1.5,90,24.83333333,0.166666667,14.9,16.6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6.617951519
Nick Boyle,2500,37.25,FALSE,-2,44,23,38,BAL,3.428571429,1.857142857,54.2,18.42857143,0,5.4,9.9,0,0,0,0,3.7,0.857142857,0.285714286,33.3,0.857142857,0,1,3,0,0,0,0,0.4,6.472084356
Matt LaCosse,2500,39.64,FALSE,10,53.5,21.75,64,DEN,1.285714286,0.714285714,55.6,7.857142857,0,6.1,11,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,6.250111742
Greg Olsen,4200,32.21,TRUE,2,44,21,44,CAR,4.666666667,2.666666667,57.1,28.66666667,0.333333333,6.1,10.8,0,0,0,0,7.5,0.333333333,0.333333333,100,0.333333333,0.333333333,1,1,0,0,0,0,2.4,6.198236808
Demetrius Harris,2500,35.7,TRUE,-10,53.5,31.75,35,KC,1.666666667,0.833333333,50,15.66666667,0.333333333,9.4,18.8,0,0,0,0,4.4,0.333333333,0.333333333,100,5,0.333333333,15,15,0,0,0,0,2.8,6.094073929
Lance Kendricks,2500,34.2,FALSE,9.5,56.5,23.5,46,GB,1.833333333,1.166666667,63.6,11.16666667,0.166666667,6.1,9.6,0,0,0,0,3.3,0.333333333,0.333333333,100,0.833333333,0.166666667,2.5,2.5,0,0,0,0,1.4,5.922290807
Ian Thomas,2500,32.21,TRUE,2,44,21,53,CAR,2.666666667,1.666666667,62.5,12,0,4.5,7.2,0,0,0,0,2.9,0.5,0.333333333,66.7,2.5,0,5,7.5,0,0,0,0,0.6,5.475883135
Antony Auclair,2500,41.39,FALSE,4,54.5,25.25,70,TB,0.833333333,0.833333333,100,4.666666667,0,5.6,5.6,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,5.33319164
Xavier Grimble,2500,43.51,TRUE,-8,51,29.5,73,PIT,0.666666667,0.5,75,7.333333333,0,11,14.7,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,5.113836995
Garrett Celek,2500,36.59,FALSE,1,43,21,60,SF,0.714285714,0.428571429,60,4.142857143,0.142857143,5.8,9.7,0,0,0,0,1.7,0.285714286,0.142857143,50,1.571428571,0.142857143,5.5,11,0,0,0,0,1.2,4.978846073
Scott Simonson,2500,38.35,TRUE,1,43,21,80,NYG,0.857142857,0.285714286,33.3,4.428571429,0,5.2,15.5,0,0,0,0,0.7,0.285714286,0,0,0,0,0,0,0,0,0,0,0,4.3462351
Matt Lengel,2500,49.47,TRUE,-4,54.5,29.25,96,CIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.344673868
Dion Sims,2500,47.54,TRUE,-7.5,44.5,26,89,CHI,0.666666667,0.333333333,50,1.5,0,2.2,4.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,4.327245332
Gerald Everett,2600,37.53,TRUE,-9.5,56.5,33,54,LAR,2,1.285714286,64.3,10.85714286,0,5.4,8.4,0,0,0,0,2.4,0.714285714,0.428571429,60,1.428571429,0,2,3.3,0,0,0,0,0.6,4.247466505
Mason Schreck,2500,49.47,TRUE,-4,54.5,29.25,96,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.061767241
Derek Carrier,2500,36.71,TRUE,3,50,23.5,77,OAK,0.833333333,0.5,60,4.166666667,0,5,8.3,0,0,0,0,0.9,0.166666667,0,0,0,0,0,0,0,0,0,0,0,3.679076329
Lee Smith,2500,36.71,TRUE,3,50,23.5,79,OAK,0.666666667,0.5,75,3.833333333,0,5.8,7.7,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,3.643799696
Brian Parker,2500,39.64,FALSE,10,53.5,21.75,96,DEN,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.638578091
Hayden Hurst,2500,37.25,FALSE,-2,44,23,92,BAL,1.666666667,0.333333333,20,2.333333333,0,1.4,7,0.333333333,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3.281551088
Ben Braunecker,2500,47.54,TRUE,-7.5,44.5,26,96,CHI,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,3.256747649
Tyler Higbee,2600,37.53,TRUE,-9.5,56.5,33,52,LAR,1.428571429,0.714285714,50,9.142857143,0.142857143,6.4,12.8,0,0,0,0,2.5,0.428571429,0.142857143,33.3,0.428571429,0.142857143,1,3,0,0,0,0,1,3.158287587
Luke Willson,2500,35.78,TRUE,-3,49.5,26.25,65,DET,1.5,1,66.7,6.166666667,0,4.1,6.2,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,2.691328656
Levine Toilolo,2500,35.78,TRUE,-3,49.5,26.25,81,DET,0.666666667,0.5,75,3.166666667,0,4.8,6.3,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,2.176222467
Gabe Holmes,2500,40.2,TRUE,-1,43,22,96,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.018958751
Marcedes Lewis,2500,34.2,FALSE,9.5,56.5,23.5,96,GB,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,1.849444768
Ross Dwelley,2500,36.59,FALSE,1,43,21,96,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.309631194
Jeremy Sprinkle,2500,36.27,FALSE,-1,43,22,96,WAS,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,1.034359202
Darrell Daniels,2500,34.02,FALSE,3,49.5,23.25,96,SEA,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807919353
Chris Manhertz,2500,32.21,TRUE,2,44,21,94,CAR,0.333333333,0.166666667,50,0.333333333,0,1,2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.785543832
