Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Brandon Zylstra,MIN,WR,7,NYJ,1,1.4,0,100,100,100,3.3,330
2,Jakeem Grant,MIA,WR,3,OAK,9,20.5,0,33.3,22.2,33.3,21,233.3
3,Albert Wilson,MIA,WR,3,OAK,10,22.7,0,20,30,30,21.48,214.8
4,Aldrick Robinson,MIN,WR,4,LAR,9,12.2,0,22.2,22.2,22.2,17.3,192.2
5,DeSean Jackson,TB,WR,1,NO,20,30.3,0,25,25,25,34.6,173
6,Dwayne Harris,OAK,WR,8,IND,1,2,100,0,100,100,1.3,130
6,Dwayne Harris,OAK,WR,9,SF,1,1.8,0,100,100,100,2.3,230
8,Aldrick Robinson,MIN,WR,7,NYJ,8,11.6,0,37.5,12.5,37.5,10.4,130
9,Curtis Samuel,CAR,WR,9,TB,17,27.4,5.9,23.5,17.6,29.4,19.8,116.5
10,Marvin Hall,ATL,WR,7,NYG,12,18.5,0,25,25,25,15.3,127.5
11,Ryan Switzer,PIT,WR,3,TB,7,10.6,0,42.9,42.9,42.9,9.9,141.4
12,Cordarrelle Patterson,NE,WR,9,GB,13,18.3,84.6,7.7,92.3,92.3,13.8,106.2
13,Demarcus Robinson,KC,WR,2,PIT,7,12.1,0,14.3,14.3,14.3,7.3,104.3
14,Josh Bellamy,CHI,WR,4,TB,9,14.8,0,11.1,11.1,11.1,9,100
15,Cordarrelle Patterson,NE,WR,5,IND,8,11.6,0,25,25,25,9.1,113.8
16,De'Anthony Thomas,KC,WR,1,LAC,7,12.5,0,28.6,14.3,28.6,7.1,101.4
17,Tavon Austin,DAL,WR,2,NYG,18,34,5.6,11.1,16.7,16.7,17.4,96.7
18,Curtis Samuel,CAR,WR,5,NYG,12,16.9,0,33.3,16.7,33.3,11.7,97.5
19,Calvin Ridley,ATL,WR,3,NO,42,61.8,2.4,19,19,21.4,43.5,103.6
20,Robby Anderson,NYJ,WR,5,DEN,32,51.6,0,15.6,9.4,15.6,30.3,94.7
21,Tyreek Hill,KC,WR,1,LAC,40,71.4,5,20,22.5,25,45.3,113.2
22,Deonte Thompson,DAL,WR,9,TEN,3,5.1,0,66.7,66.7,66.7,4.1,136.7
22,Tim White,BAL,WR,4,PIT,2,2.6,0,50,50,50,2.4,120
22,Marcus Kemp,KC,WR,3,SF,1,1.3,0,100,100,100,1.7,170
25,D.J. Moore,CAR,WR,2,ATL,17,25.4,5.9,11.8,11.8,17.6,12.8,75.3
26,Calvin Ridley,ATL,WR,6,TB,7,10.4,0,42.9,42.9,42.9,7.7,110
27,John Ross,CIN,WR,4,ATL,17,23.3,0,11.8,11.8,11.8,13.2,77.6
28,Tim Patrick,DEN,WR,2,OAK,4,6.1,0,50,25,50,3.6,90
29,Kendrick Bourne,SF,WR,2,DET,10,15.6,0,10,10,10,7.4,74
30,Terrelle Pryor,NYJ,WR,5,DEN,13,21,0,7.7,7.7,7.7,9,69.2
31,Josh Gordon,NE,WR,5,IND,18,26.1,0,22.2,11.1,22.2,13,72.2
32,Tyreek Hill,KC,WR,6,NE,53,98.1,1.9,22.6,15.1,24.5,42.2,79.6
33,Golden Tate,DET,WR,4,DAL,42,77.8,0,19,19,19,36.2,86.2
33,Mike Williams,LAC,WR,9,SEA,15,29.4,0,20,6.7,20,10,66.7
33,Darius Jennings,TEN,WR,9,DAL,6,8.6,0,16.7,16.7,16.7,4.6,76.7
36,Mike Williams,LAC,WR,3,LAR,35,67.3,0,20,11.4,20,24.1,68.9
37,DeSean Jackson,TB,WR,2,PHI,34,58.6,0,11.8,11.8,11.8,25.9,76.2
38,Kendrick Bourne,SF,WR,9,OAK,12,21.8,0,16.7,16.7,16.7,8.6,71.7
38,Dwayne Harris,OAK,WR,3,MIA,2,2.6,0,100,100,100,3.1,155
38,Deandre Carter,PHI,WR,6,NYG,2,2.8,0,50,50,50,2.1,105
41,Martavis Bryant,OAK,WR,5,LAC,13,25,0,23.1,23.1,23.1,11.1,85.4
42,Albert Wilson,MIA,WR,6,CHI,50,64.1,2,18,14,20,36,72
43,Shelton Gibson,PHI,WR,5,MIN,9,15.3,0,11.1,11.1,11.1,5.8,64.4
44,Cooper Kupp,LAR,WR,4,MIN,53,96.4,0,20.8,17,20.8,40.2,75.8
45,Cole Beasley,DAL,WR,6,JAX,42,57.5,0,26.2,21.4,26.2,34.1,81.2
46,Tre'Quan Smith,NO,WR,5,WAS,44,66.7,0,6.8,6.8,6.8,29.1,66.1
47,Tim Patrick,DEN,WR,8,KC,19,26,5.3,5.3,10.5,10.5,10.7,56.3
48,David Moore,SEA,WR,5,LAR,31,51.7,0,12.9,9.7,12.9,18.8,60.6
49,Emmanuel Sanders,DEN,WR,7,ARI,43,72.9,0,16.3,16.3,18.6,30.32,70.5
50,Tyrell Williams,LAC,WR,7,TEN,36,81.8,0,11.1,11.1,11.1,24.8,68.9
51,Tyrell Williams,LAC,WR,6,CLE,49,81.7,2,8.2,8.2,10.2,29.9,61
51,Taylor Gabriel,CHI,WR,4,TB,48,78.7,2.1,14.6,16.7,16.7,33.4,69.6
53,Christian Kirk,ARI,WR,5,SF,32,62.7,3.1,12.5,12.5,15.6,18,56.2
54,Seth Roberts,OAK,WR,2,DEN,22,33.8,0,13.6,13.6,13.6,13.3,60.5
55,Marquise Goodwin,SF,WR,6,GB,54,94.7,1.9,9.3,9.3,11.1,32.1,59.4
56,Calvin Ridley,ATL,WR,4,CIN,38,54.3,2.6,15.8,13.2,18.4,21.5,56.6
56,Allen Hurns,DAL,WR,9,TEN,18,30.5,0,5.6,5.6,5.6,9.3,51.7
58,Odell Beckham Jr,NYG,WR,5,CAR,52,92.9,0,26.9,17.3,28.8,35.38,68
59,Curtis Samuel,CAR,WR,7,PHI,19,32.2,10.5,5.3,15.8,15.8,9.5,50
60,Stefon Diggs,MIN,WR,2,GB,62,84.9,1.6,21,16.1,22.6,38.9,62.7
61,Jordy Nelson,OAK,WR,3,MIA,55,72.4,0,14.5,10.9,14.5,32.3,58.7
62,Will Fuller,HOU,WR,8,MIA,44,72.1,0,13.6,11.4,13.6,26.4,60
63,Michael Thomas,NO,WR,9,LAR,65,91.5,0,23.1,18.5,23.1,42.1,64.8
63,Cooper Kupp,LAR,WR,5,SEA,36,54.5,0,25,16.7,25,21,58.3
65,Marvin Jones,DET,WR,8,SEA,57,96.6,0,17.5,12.3,17.5,33.7,59.1
66,Mike Evans,TB,WR,1,NO,50,75.8,0,14,14,14,30.7,61.4
66,T.Y. Hilton,IND,WR,7,BUF,35,53,0,11.4,11.4,11.4,18.5,52.9
68,Sammy Watkins,KC,WR,8,DEN,55,94.8,0,16.4,14.5,16.4,33.7,61.3
69,Rashard Higgins,CLE,WR,5,BAL,31,38.8,0,12.9,9.7,12.9,15.6,50.3
70,Will Fuller,HOU,WR,4,IND,27,31.4,0,18.5,14.8,18.5,14.9,55.2
71,Davante Adams,GB,WR,6,SF,63,88.7,0,25.4,15.9,25.4,38.2,60.6
71,Chris Godwin,TB,WR,2,PHI,29,50,0,20.7,17.2,20.7,16.6,57.2
71,Tavon Austin,DAL,WR,3,SEA,20,32.8,5,15,20,20,11,55
71,Damiere Byrd,CAR,WR,7,PHI,2,3.4,0,50,50,50,1.8,90
75,John Brown,BAL,WR,4,PIT,45,58.4,2.2,15.6,8.9,17.8,23.9,53.1
76,Mike Williams,LAC,WR,7,TEN,30,68.2,3.3,10,6.7,13.3,12.8,42.7
77,Antonio Brown,PIT,WR,5,ATL,57,93.4,0,22.8,10.5,22.8,31.1,54.6
77,Randall Cobb,GB,WR,1,CHI,52,86.7,0,19.2,17.3,19.2,32.2,61.9
77,John Brown,BAL,WR,7,NO,50,73.5,0,14,14,14,29.4,58.8
80,Tyler Boyd,CIN,WR,3,CAR,51,78.5,2,13.7,13.7,15.7,28.7,56.3
81,Kenny Stills,MIA,WR,1,TEN,59,95.2,0,8.5,6.8,8.5,29.6,50.2
81,Taywan Taylor,TEN,WR,2,HOU,24,40.7,0,16.7,12.5,16.7,12.2,50.8
83,Michael Crabtree,BAL,WR,6,TEN,40,53.3,0,22.5,15,22.5,21.3,53.2
84,Adam Humphries,TB,WR,9,CAR,55,82.1,1.8,14.5,16.4,16.4,28.9,52.5
85,Kendrick Bourne,SF,WR,4,LAC,25,41.7,0,16,12,16,12.4,49.6
86,David Moore,SEA,WR,6,OAK,30,46.9,3.3,10,10,13.3,13.2,44
