Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Cole Beasley,DAL,WR,6,JAX,3,3,100,34,2,17,11.3,11.3,0,0,0,0,0,0,18.4,18.4
2,Aldrick Robinson,MIN,WR,4,LAR,2,2,100,33,2,17,16.5,16.5,0,0,0,0,0,0,17.3,17.3
3,Alshon Jeffery,PHI,WR,6,NYG,3,3,100,21,2,13,7,7,0,0,0,0,0,0,17.1,17.1
3,Michael Thomas,NO,WR,2,CLE,4,3,75,21,2,14,5.2,7,0,0,0,0,0,0,17.1,17.1
5,Calvin Ridley,ATL,WR,3,NO,2,2,100,27,2,18,13.5,13.5,0,0,0,0,0,0,16.7,16.7
6,Davante Adams,GB,WR,6,SF,5,2,40,25,2,16,5,12.5,0,0,0,0,0,0,16.5,16.5
7,Robert Woods,LAR,WR,3,LAC,3,3,100,14,2,6,4.7,4.7,0,0,0,0,0,0,16.4,16.4
8,Sammy Watkins,KC,WR,8,DEN,2,2,100,23,2,13,11.5,11.5,0,0,0,0,0,0,16.3,16.3
9,Josh Reynolds,LAR,WR,8,GB,2,2,100,20,2,19,10,10,1,-2,-2,0,0,0,15.8,15.8
10,Tyler Boyd,CIN,WR,6,PIT,2,2,100,16,2,14,8,8,0,0,0,0,0,0,15.6,15.6
11,Tyreek Hill,KC,WR,6,NE,2,2,100,15,2,14,7.5,7.5,0,0,0,0,0,0,15.5,15.5
12,AJ Green,CIN,WR,2,BAL,3,2,66.7,11,2,7,3.7,5.5,0,0,0,0,0,0,15.1,15.1
13,Taylor Gabriel,CHI,WR,4,TB,2,2,100,6,2,3,3,3,0,0,0,0,0,0,14.6,14.6
13,T.Y. Hilton,IND,WR,7,BUF,2,2,100,6,2,5,3,3,0,0,0,0,0,0,14.6,14.6
15,JuJu Smith-Schuster,PIT,WR,2,KC,8,5,62.5,25,1,11,3.1,5,0,0,0,0,0,0,13.5,13.5
16,Julian Edelman,NE,WR,7,CHI,3,3,100,29,1,11,9.7,9.7,0,0,0,0,0,0,11.9,11.9
17,Larry Fitzgerald,ARI,WR,8,SF,3,2,66.7,18,1,13,6,9,0,0,0,0,0,0,11.8,11.8
18,Sterling Shepard,NYG,WR,4,NO,3,3,100,4,1,2,1.3,1.3,0,0,0,0,0,0,11.4,11.4
19,Torrey Smith,CAR,WR,6,WAS,2,2,100,11,1,8,5.5,5.5,0,0,0,0,0,0,11.1,11.1
19,Michael Thomas,NO,WR,1,TB,3,3,100,21,1,9,7,7,0,0,0,0,0,0,11.1,11.1
21,Jordy Nelson,OAK,WR,4,CLE,2,1,50,19,1,19,9.5,19,0,0,0,0,0,0,10.9,10.9
22,Brandin Cooks,LAR,WR,7,SF,2,2,100,21,1,19,10.5,10.5,1,7,7,0,0,0,10.8,10.8
23,Jarvis Landry,CLE,WR,7,TB,4,2,50,25,1,16,6.2,12.5,0,0,0,0,0,0,10.5,10.5
24,JuJu Smith-Schuster,PIT,WR,5,ATL,2,2,100,23,1,18,11.5,11.5,0,0,0,0,0,0,10.3,10.3
25,Bruce Ellington,HOU,WR,1,NE,2,2,100,19,1,14,9.5,9.5,0,0,0,0,0,0,9.9,9.9
25,John Brown,BAL,WR,7,NO,2,2,100,19,1,14,9.5,9.5,0,0,0,0,0,0,9.9,9.9
27,Phillip Dorsett,NE,WR,1,HOU,2,2,100,18,1,14,9,9,0,0,0,0,0,0,9.8,9.8
27,Davante Adams,GB,WR,1,CHI,2,2,100,18,1,12,9,9,0,0,0,0,0,0,9.8,9.8
27,Calvin Ridley,ATL,WR,4,CIN,2,2,100,18,1,11,9,9,0,0,0,0,0,0,9.8,9.8
27,Adam Thielen,MIN,WR,6,ARI,2,2,100,18,1,13,9,9,0,0,0,0,0,0,9.8,9.8
27,Adam Humphries,TB,WR,9,CAR,2,2,100,11,1,6,5.5,5.5,1,7,7,0,0,0,9.8,9.8
32,Odell Beckham Jr,NYG,WR,7,ATL,4,2,50,17,1,16,4.2,8.5,0,0,0,0,0,0,9.7,9.7
33,Mohamed Sanu,ATL,WR,3,NO,1,1,100,5,1,5,5,5,0,0,0,0,0,0,9.5,9.5
33,Jamison Crowder,WAS,WR,3,GB,2,2,100,15,1,9,7.5,7.5,0,0,0,0,0,0,9.5,9.5
33,Marquez Valdes-Scantling,GB,WR,5,DET,2,2,100,15,1,12,7.5,7.5,0,0,0,0,0,0,9.5,9.5
36,Cooper Kupp,LAR,WR,4,MIN,3,2,66.7,14,1,19,4.7,7,0,0,0,0,0,0,9.4,9.4
36,Sterling Shepard,NYG,WR,3,HOU,2,2,100,14,1,7,7,7,0,0,0,0,0,0,9.4,9.4
38,Stefon Diggs,MIN,WR,2,GB,1,1,100,3,1,3,3,3,0,0,0,0,0,0,9.3,9.3
38,Amari Cooper,OAK,WR,4,CLE,4,2,50,13,1,8,3.2,6.5,0,0,0,0,0,0,9.3,9.3
38,Ryan Grant,IND,WR,3,PHI,2,2,100,13,1,8,6.5,6.5,0,0,0,0,0,0,9.3,9.3
41,Demaryius Thomas,DEN,WR,6,LAR,2,2,100,12,1,11,6,6,0,0,0,0,0,0,9.2,9.2
42,DeAndre Hopkins,HOU,WR,4,IND,2,2,100,11,1,6,5.5,5.5,0,0,0,0,0,0,9.1,9.1
43,Keenan Allen,LAC,WR,1,KC,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
43,Brandon Marshall,SEA,WR,1,DEN,2,1,50,20,1,20,10,20,0,0,0,0,0,0,9,9
43,Josh Bellamy,CHI,WR,4,TB,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
43,Mike Williams,LAC,WR,3,LAR,2,1,50,20,1,20,10,20,0,0,0,0,0,0,9,9
43,Terrelle Pryor,NYJ,WR,5,DEN,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
43,Seth Roberts,OAK,WR,2,DEN,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
43,Tyler Lockett,SEA,WR,6,OAK,3,2,66.7,10,1,10,3.3,5,0,0,0,0,0,0,9,9
50,Marvin Jones,DET,WR,8,SEA,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
50,David Moore,SEA,WR,6,OAK,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
50,Rashard Higgins,CLE,WR,5,BAL,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
50,Tyler Lockett,SEA,WR,2,CHI,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
50,Curtis Samuel,CAR,WR,9,TB,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
55,Jakeem Grant,MIA,WR,3,OAK,1,1,100,18,1,18,18,18,0,0,0,0,0,0,8.8,8.8
55,Devin Funchess,CAR,WR,7,PHI,2,1,50,18,1,18,9,18,0,0,0,0,0,0,8.8,8.8
55,Taywan Taylor,TEN,WR,2,HOU,1,1,100,18,1,18,18,18,0,0,0,0,0,0,8.8,8.8
58,Josh Gordon,CLE,WR,1,PIT,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
58,AJ Green,CIN,WR,8,TB,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
58,Chester Rogers,IND,WR,6,NYJ,2,1,50,17,1,17,8.5,17,0,0,0,0,0,0,8.7,8.7
58,Julian Edelman,NE,WR,6,KC,3,1,33.3,17,1,17,5.7,17,0,0,0,0,0,0,8.7,8.7
58,Nelson Agholor,PHI,WR,2,TB,3,2,66.7,5,1,3,1.7,2.5,1,2,2,0,0,0,8.7,8.7
63,Alshon Jeffery,PHI,WR,4,TEN,2,1,50,16,1,16,8,16,0,0,0,0,0,0,8.6,8.6
63,Zay Jones,BUF,WR,6,HOU,3,1,33.3,16,1,16,5.3,16,0,0,0,0,0,0,8.6,8.6
63,Jaron Brown,SEA,WR,3,DAL,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
63,DeAndre Hopkins,HOU,WR,9,DEN,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
63,Kendrick Bourne,SF,WR,9,OAK,2,2,100,6,1,4,3,3,0,0,0,0,0,0,8.6,8.6
68,David Moore,SEA,WR,8,DET,1,1,100,15,1,15,15,15,0,0,0,0,0,0,8.5,8.5
68,Chris Conley,KC,WR,2,PIT,1,1,100,15,1,15,15,15,0,0,0,0,0,0,8.5,8.5
68,Michael Thomas,NO,WR,7,BAL,2,2,100,5,1,5,2.5,2.5,0,0,0,0,0,0,8.5,8.5
68,Adam Thielen,MIN,WR,9,DET,2,2,100,5,1,3,2.5,2.5,0,0,0,0,0,0,8.5,8.5
72,Allen Robinson,CHI,WR,4,TB,1,1,100,14,1,14,14,14,0,0,0,0,0,0,8.4,8.4
72,Tyler Boyd,CIN,WR,2,BAL,1,1,100,14,1,14,14,14,0,0,0,0,0,0,8.4,8.4
72,Laquon Treadwell,MIN,WR,2,GB,1,1,100,14,1,14,14,14,0,0,0,0,0,0,8.4,8.4
72,James Washington,PIT,WR,2,KC,1,1,100,14,1,14,14,14,0,0,0,0,0,0,8.4,8.4
72,DeAndre Hopkins,HOU,WR,8,MIA,2,2,100,4,1,2,2,2,0,0,0,0,0,0,8.4,8.4
