Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tyreek Hill,KC,WR,1,LAC,8,7,87.5,169,2,58,21.1,24.1,2,4,2,0,0,0,45.3,45.3
2,Calvin Ridley,ATL,WR,3,NO,8,7,87.5,146,3,75,18.2,20.9,1,9,9,0,0,0,43.5,43.5
3,Tyreek Hill,KC,WR,6,NE,12,7,58.3,142,3,75,11.8,20.3,1,0,0,0,0,0,42.2,42.2
4,Michael Thomas,NO,WR,9,LAR,15,12,80,211,1,72,14.1,17.6,0,0,0,0,0,0,42.1,42.1
5,Michael Thomas,NO,WR,1,TB,17,16,94.1,180,1,35,10.6,11.2,0,0,0,0,1,1,42,42
6,Cooper Kupp,LAR,WR,4,MIN,11,9,81.8,162,2,70,14.7,18,0,0,0,0,0,0,40.2,40.2
7,Stefon Diggs,MIN,WR,2,GB,13,9,69.2,128,2,75,9.8,14.2,1,1,1,0,0,0,38.9,38.9
8,Davante Adams,GB,WR,6,SF,16,10,62.5,132,2,38,8.2,13.2,0,0,0,0,0,0,38.2,38.2
9,Robert Woods,LAR,WR,3,LAC,11,10,90.9,104,2,22,9.5,10.4,3,13,4.3,0,0,0,36.7,36.7
10,Golden Tate,DET,WR,4,DAL,8,8,100,132,2,45,16.5,16.5,0,0,0,0,0,0,36.2,36.2
11,Albert Wilson,MIA,WR,6,CHI,9,6,66.7,155,2,75,17.2,25.8,1,-5,-5,0,0,0,36,36
12,DeAndre Hopkins,HOU,WR,4,IND,12,10,83.3,169,1,30,14.1,16.9,0,0,0,0,0,0,35.9,35.9
13,Odell Beckham Jr,NYG,WR,5,CAR,14,8,57.1,131,1,33,9.4,16.4,0,0,0,0,1,1,35.4,35.38
14,DeSean Jackson,TB,WR,1,NO,5,5,100,146,2,58,29.2,29.2,0,0,0,0,0,0,34.6,34.6
15,Corey Davis,TEN,WR,4,PHI,15,9,60,161,1,51,10.7,17.9,0,0,0,0,0,0,34.1,34.1
15,Cole Beasley,DAL,WR,6,JAX,11,9,81.8,101,2,21,9.2,11.2,0,0,0,0,0,0,34.1,34.1
15,Adam Thielen,MIN,WR,2,GB,13,12,92.3,131,1,25,10.1,10.9,0,0,0,0,0,0,34.1,34.1
15,JuJu Smith-Schuster,PIT,WR,2,KC,19,13,68.4,121,1,21,6.4,9.3,0,0,0,0,0,0,34.1,34.1
19,Marvin Jones,DET,WR,8,SEA,10,7,70,117,2,39,11.7,16.7,0,0,0,0,0,0,33.7,33.7
19,Sammy Watkins,KC,WR,8,DEN,9,8,88.9,107,2,24,11.9,13.4,0,0,0,0,0,0,33.7,33.7
21,Taylor Gabriel,CHI,WR,4,TB,7,7,100,104,2,33,14.9,14.9,1,10,10,0,0,0,33.4,33.4
22,Mike Evans,TB,WR,8,CIN,13,6,46.2,179,1,72,13.8,29.8,0,0,0,0,0,0,32.9,32.9
23,Emmanuel Sanders,DEN,WR,1,SEA,11,10,90.9,135,1,43,12.3,13.5,0,0,0,0,0,0,32.5,32.5
24,Jordy Nelson,OAK,WR,3,MIA,8,6,75,173,1,66,21.6,28.8,0,0,0,0,1,0,32.3,32.3
24,Adam Thielen,MIN,WR,6,ARI,15,11,73.3,123,1,17,8.2,11.2,0,0,0,0,0,0,32.3,32.3
26,Randall Cobb,GB,WR,1,CHI,10,9,90,142,1,75,14.2,15.8,0,0,0,0,0,0,32.2,32.2
27,Marquise Goodwin,SF,WR,6,GB,5,4,80,126,2,67,25.2,31.5,1,5,5,0,0,0,32.1,32.1
28,Davante Adams,GB,WR,5,DET,12,9,75,140,1,30,11.7,15.6,0,0,0,0,0,0,32,32
29,Michael Thomas,NO,WR,2,CLE,13,12,92.3,89,2,25,6.8,7.4,0,0,0,0,1,1,31.9,31.9
30,Tyler Boyd,CIN,WR,8,TB,10,9,90,138,1,28,13.8,15.3,1,-2,-2,0,0,0,31.6,31.6
31,Odell Beckham Jr,NYG,WR,7,ATL,11,8,72.7,143,1,51,13,17.9,1,-1,-1,0,0,0,31.2,31.2
32,Antonio Brown,PIT,WR,5,ATL,13,6,46.2,101,2,47,7.8,16.8,0,0,0,0,0,0,31.1,31.1
33,Julio Jones,ATL,WR,1,PHI,19,10,52.6,169,0,36,8.9,16.9,1,11,11,0,0,0,31,31
34,Stefon Diggs,MIN,WR,8,NO,11,10,90.9,119,1,31,10.8,11.9,0,0,0,0,0,0,30.9,30.9
35,Mike Evans,TB,WR,1,NO,7,7,100,147,1,50,21,21,0,0,0,0,0,0,30.7,30.7
36,Adam Thielen,MIN,WR,4,LAR,12,8,66.7,135,1,45,11.2,16.9,0,0,0,0,0,0,30.5,30.5
37,Emmanuel Sanders,DEN,WR,7,ARI,7,6,85.7,102,1,64,14.6,17,0,0,0,0,0,0,30.3,30.32
38,Robby Anderson,NYJ,WR,5,DEN,5,3,60,123,2,76,24.6,41,0,0,0,0,0,0,30.3,30.3
39,AJ Green,CIN,WR,2,BAL,9,5,55.6,69,3,32,7.7,13.8,0,0,0,0,0,0,29.9,29.9
39,Tyrell Williams,LAC,WR,6,CLE,4,3,75,118,2,45,29.5,39.3,1,1,1,0,0,0,29.9,29.9
41,Amari Cooper,OAK,WR,4,CLE,11,8,72.7,128,1,36,11.6,16,0,0,0,0,0,0,29.8,29.8
42,Kenny Stills,MIA,WR,1,TEN,5,4,80,106,2,75,21.2,26.5,0,0,0,0,0,0,29.6,29.6
43,DeAndre Hopkins,HOU,WR,9,DEN,12,10,83.3,105,1,16,8.8,10.5,0,0,0,0,0,0,29.5,29.5
44,John Brown,BAL,WR,7,NO,7,7,100,134,1,56,19.1,19.1,0,0,0,0,0,0,29.4,29.4
45,Julio Jones,ATL,WR,4,CIN,12,9,75,173,0,49,14.4,19.2,0,0,0,0,0,0,29.3,29.3
46,Larry Fitzgerald,ARI,WR,8,SF,12,8,66.7,102,1,37,8.5,12.8,0,0,0,0,0,0,29.2,29.2
47,Tre'Quan Smith,NO,WR,5,WAS,3,3,100,111,2,62,37,37,0,0,0,0,0,0,29.1,29.1
48,Adam Thielen,MIN,WR,7,NYJ,10,9,90,110,1,34,11,12.2,0,0,0,0,0,0,29,29
49,Adam Humphries,TB,WR,9,CAR,8,8,100,82,2,30,10.2,10.2,1,7,7,0,0,0,28.9,28.9
50,Tyler Boyd,CIN,WR,3,CAR,7,6,85.7,132,1,49,18.9,22,1,5,5,0,0,0,28.7,28.7
50,Mike Evans,TB,WR,3,PIT,11,6,54.5,137,1,51,12.5,22.8,0,0,0,0,0,0,28.7,28.7
52,Brandin Cooks,LAR,WR,4,MIN,8,7,87.5,116,1,47,14.5,16.6,1,10,10,0,1,0,28.6,28.6
53,Will Fuller,HOU,WR,2,TEN,9,8,88.9,113,1,39,12.6,14.1,0,0,0,0,0,0,28.3,28.3
54,Julio Jones,ATL,WR,9,WAS,10,7,70,121,1,35,12.1,17.3,0,0,0,0,0,0,28.1,28.1
55,Keenan Allen,LAC,WR,1,KC,11,8,72.7,108,1,23,9.8,13.5,0,0,0,0,0,0,27.8,27.8
56,Adam Thielen,MIN,WR,5,PHI,10,7,70,116,1,68,11.6,16.6,0,0,0,0,0,0,27.6,27.6
56,Keelan Cole,JAX,WR,2,NE,8,7,87.5,116,1,24,14.5,16.6,0,0,0,0,0,0,27.6,27.6
58,Emmanuel Sanders,DEN,WR,6,LAR,10,7,70,115,1,43,11.5,16.4,0,0,0,0,0,0,27.5,27.5
58,Alshon Jeffery,PHI,WR,4,TEN,9,8,88.9,105,1,31,11.7,13.1,0,0,0,0,1,0,27.5,27.5
58,Adam Thielen,MIN,WR,3,BUF,19,14,73.7,105,0,19,5.5,7.5,0,0,0,0,0,0,27.5,27.5
61,Alshon Jeffery,PHI,WR,6,NYG,12,8,66.7,74,2,17,6.2,9.2,0,0,0,0,0,0,27.4,27.4
61,Julio Jones,ATL,WR,6,TB,14,10,71.4,144,0,32,10.3,14.4,0,0,0,0,0,0,27.4,27.4
63,Josh Gordon,NE,WR,9,GB,9,5,55.6,130,1,55,14.4,26,0,0,0,0,0,0,27,27
64,Adam Thielen,MIN,WR,8,NO,7,7,100,103,1,28,14.7,14.7,1,15,15,0,1,1,26.8,26.8
65,Will Fuller,HOU,WR,8,MIA,6,5,83.3,124,1,73,20.7,24.8,0,0,0,0,0,0,26.4,26.4
65,Brandin Cooks,LAR,WR,9,NO,8,6,75,114,1,48,14.2,19,0,0,0,0,0,0,26.4,26.4
67,Stefon Diggs,MIN,WR,4,LAR,15,11,73.3,123,0,34,8.2,11.2,0,0,0,0,0,0,26.3,26.3
68,DeAndre Hopkins,HOU,WR,8,MIA,7,6,85.7,82,2,49,11.7,13.7,0,0,0,0,0,0,26.2,26.2
69,DeAndre Hopkins,HOU,WR,5,DAL,13,9,69.2,151,0,49,11.6,16.8,0,0,0,0,1,1,26.1,26.1
70,DeAndre Hopkins,HOU,WR,2,TEN,11,6,54.5,110,1,31,10,18.3,0,0,0,0,0,0,26,26
71,DeSean Jackson,TB,WR,2,PHI,4,4,100,129,1,75,32.2,32.2,0,0,0,0,0,0,25.9,25.9
71,Brandin Cooks,LAR,WR,2,ARI,9,7,77.8,159,0,57,17.7,22.7,0,0,0,0,0,0,25.9,25.9
71,Michael Thomas,NO,WR,3,ATL,10,10,100,129,0,35,12.9,12.9,0,0,0,0,0,0,25.9,25.9
74,Sterling Shepard,NYG,WR,4,NO,10,10,100,77,1,23,7.7,7.7,0,0,0,0,0,0,25.7,25.7
74,Jarvis Landry,CLE,WR,7,TB,15,10,66.7,97,1,20,6.5,9.7,0,0,0,0,0,0,25.7,25.7
76,Antonio Brown,PIT,WR,8,CLE,8,6,75,74,2,43,9.2,12.3,0,0,0,0,0,0,25.4,25.4
76,Maurice Harris,WAS,WR,9,ATL,12,10,83.3,124,0,33,10.3,12.4,0,0,0,0,0,0,25.4,25.4
78,Tyler Boyd,CIN,WR,6,PIT,9,7,77.8,62,2,16,6.9,8.9,0,0,0,0,0,0,25.2,25.2
79,Dede Westbrook,JAX,WR,4,NYJ,13,9,69.2,130,0,27,10,14.4,1,11,11,0,1,1,25.1,25.1
80,Odell Beckham Jr,NYG,WR,1,JAX,15,11,73.3,111,0,24,7.4,10.1,1,-1,-1,0,0,0,25,25
81,Donte Moncrief,JAX,WR,4,NYJ,5,5,100,109,1,67,21.8,21.8,0,0,0,0,0,0,24.9,24.9
82,Tyrell Williams,LAC,WR,7,TEN,4,4,100,118,1,75,29.5,29.5,0,0,0,0,0,0,24.8,24.8
83,Sterling Shepard,NYG,WR,7,ATL,8,5,62.5,167,0,58,20.9,33.4,0,0,0,0,0,0,24.7,24.7
83,Keke Coutee,HOU,WR,4,IND,15,11,73.3,109,0,19,7.3,9.9,2,-2,-1,0,0,0,24.7,24.7
85,Odell Beckham Jr,NYG,WR,8,WAS,11,8,72.7,136,0,44,12.4,17,0,0,0,0,0,0,24.6,24.6
85,Amari Cooper,OAK,WR,2,DEN,10,10,100,116,0,30,11.6,11.6,0,0,0,0,0,0,24.6,24.6
