Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections,Score
Darren Fells,2500.0,19.13,False,8.0,51.0,21.5,48.0,CLE,0.8571428571428571,0.7142857142857143,83.3,12.0,0.14285714285714285,14.0,16.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1519865977761405,1.6
Seth DeValve,2500.0,19.13,False,8.0,51.0,21.5,84.0,CLE,0.25,0.25,100.0,6.5,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.206425783035101,10.8
Orson Charles,2500.0,19.13,False,8.0,51.0,21.5,91.0,CLE,0.42857142857142855,0.14285714285714285,33.3,1.1428571428571428,0.0,2.7,8.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438134737209725,0.0
Jeff Heuerman,2600.0,16.19,False,10.0,53.5,21.75,34.0,DEN,3.4285714285714284,2.0,58.3,18.571428571428573,0.0,5.4,9.3,0.0,0.0,0.0,0.0,3.9,1.1428571428571428,0.2857142857142857,25.0,1.2857142857142858,0.0,1.1,4.5,0.0,0.0,0.0,0.0,0.4,7.592956058710124,7.4
Matt LaCosse,2500.0,16.19,False,10.0,53.5,21.75,64.0,DEN,1.2857142857142858,0.7142857142857143,55.6,7.857142857142857,0.0,6.1,11.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217381219365646,6.9
Brian Parker,2500.0,16.19,False,10.0,53.5,21.75,96.0,DEN,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1201982468741427,0.0
Michael Roberts,2500.0,8.25,True,-3.0,49.5,26.25,31.0,DET,1.3333333333333333,1.3333333333333333,100.0,21.0,1.0,15.8,15.8,0.0,0.0,0.0,0.0,9.4,1.0,1.0,100.0,11.333333333333334,1.0,11.3,11.3,0.0,0.0,0.0,0.0,8.1,15.687176098163926,0.0
Luke Willson,2500.0,8.25,True,-3.0,49.5,26.25,65.0,DET,1.5,1.0,66.7,6.166666666666667,0.0,4.1,6.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7091820425088846,5.1
Levine Toilolo,2500.0,8.25,True,-3.0,49.5,26.25,81.0,DET,0.6666666666666666,0.5,75.0,3.1666666666666665,0.0,4.8,6.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2065831603615464,2.2
Jimmy Graham,4700.0,13.7,False,9.5,56.5,23.5,10.0,GB,7.5,4.5,60.0,58.166666666666664,0.16666666666666666,7.8,12.9,0.0,0.0,0.0,0.0,11.8,0.8333333333333334,0.5,60.0,3.3333333333333335,0.16666666666666666,4.0,6.7,0.0,0.0,0.0,0.0,1.8,12.249841254845219,3.1
Lance Kendricks,2500.0,13.7,False,9.5,56.5,23.5,46.0,GB,1.8333333333333333,1.1666666666666667,63.6,11.166666666666666,0.16666666666666666,6.1,9.6,0.0,0.0,0.0,0.0,3.3,0.3333333333333333,0.3333333333333333,100.0,0.8333333333333334,0.16666666666666666,2.5,2.5,0.0,0.0,0.0,0.0,1.4,6.931263828121482,0.0
Marcedes Lewis,2500.0,13.7,False,9.5,56.5,23.5,96.0,GB,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7870414875573362,0.0
Eric Ebron,4900.0,9.68,False,-3.0,50.0,26.5,3.0,IND,8.428571428571429,4.714285714285714,55.9,51.0,0.8571428571428571,6.1,10.8,0.14285714285714285,-0.14285714285714285,-1.0,0.0,15.4,2.0,0.8571428571428571,42.9,7.714285714285714,0.7142857142857143,3.9,9.0,0.14285714285714285,-0.14285714285714285,-1.0,0.0,5.9,16.14757783920117,12.7
Mo Alie-Cox,2500.0,9.68,False,-3.0,50.0,26.5,68.0,IND,1.6666666666666667,1.0,60.0,19.333333333333332,0.0,11.6,19.3,0.0,0.0,0.0,0.0,2.9,0.6666666666666666,0.3333333333333333,50.0,2.3333333333333335,0.0,3.5,7.0,0.0,0.0,0.0,0.0,0.6,7.669304180297964,9.6
Jack Doyle,4400.0,9.68,False,-3.0,50.0,26.5,56.0,IND,7.5,4.5,60.0,40.0,0.0,5.3,8.9,0.0,0.0,0.0,0.0,8.0,1.5,1.0,66.7,10.5,0.0,7.0,10.5,0.0,0.0,0.0,0.0,2.0,13.18996259888381,19.0
Travis Kelce,6800.0,12.49,True,-10.0,53.5,31.75,2.0,KC,8.571428571428571,5.428571428571429,63.3,80.42857142857143,0.42857142857142855,9.4,14.8,0.0,0.0,0.0,0.0,17.3,1.4285714285714286,0.7142857142857143,50.0,6.428571428571429,0.2857142857142857,4.5,9.0,0.0,0.0,0.0,0.0,3.1,15.923317510925663,19.9
Demetrius Harris,2500.0,12.49,True,-10.0,53.5,31.75,35.0,KC,1.6666666666666667,0.8333333333333334,50.0,15.666666666666666,0.3333333333333333,9.4,18.8,0.0,0.0,0.0,0.0,4.4,0.3333333333333333,0.3333333333333333,100.0,5.0,0.3333333333333333,15.0,15.0,0.0,0.0,0.0,0.0,2.8,10.585004934638622,0.0
Gerald Everett,2600.0,10.3,True,-9.5,56.5,33.0,54.0,LAR,2.0,1.2857142857142858,64.3,10.857142857142858,0.0,5.4,8.4,0.0,0.0,0.0,0.0,2.4,0.7142857142857143,0.42857142857142855,60.0,1.4285714285714286,0.0,2.0,3.3,0.0,0.0,0.0,0.0,0.6,6.813953445018985,3.2
Tyler Higbee,2600.0,10.3,True,-9.5,56.5,33.0,52.0,LAR,1.4285714285714286,0.7142857142857143,50.0,9.142857142857142,0.14285714285714285,6.4,12.8,0.0,0.0,0.0,0.0,2.5,0.42857142857142855,0.14285714285714285,33.3,0.42857142857142855,0.14285714285714285,1.0,3.0,0.0,0.0,0.0,0.0,1.0,6.104423528041721,1.6
