Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections,Score
Duke Johnson,3900.0,17.07,False,8.0,51.0,21.5,CLE,42.0,2.857142857142857,15.285714285714286,5.4,0.0,3.7142857142857144,2.5714285714285716,26.714285714285715,0.0,7.3,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.8,5.9797275781770365,3.6
Dontrell Hilliard,3000.0,17.07,False,8.0,51.0,21.5,CLE,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13941144449578324,3.4
Phillip Lindsay,5200.0,33.57,False,10.0,53.5,21.75,DEN,14.0,10.714285714285714,62.285714285714285,5.8,0.2857142857142857,2.857142857142857,2.142857142857143,17.0,0.14285714285714285,13.1,1.8571428571428572,5.571428571428571,3.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,1.6,16.330526259173055,20.2
Devontae Booker,3700.0,33.57,False,10.0,53.5,21.75,DEN,59.0,1.8571428571428572,7.285714285714286,3.9,0.0,3.0,2.2857142857142856,18.0,0.0,4.8,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,1.2857142857142858,0.0,0.3,8.52341399388252,14.1
Andy Janovich,3000.0,33.57,False,10.0,53.5,21.75,DEN,88.0,0.14285714285714285,0.2857142857142857,2.0,0.0,0.2857142857142857,0.2857142857142857,6.142857142857143,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.599209651574309,0.0
Kerryon Johnson,5300.0,22.97,True,-3.0,49.5,26.25,DET,24.0,11.5,74.0,6.4,0.16666666666666666,3.0,2.5,14.833333333333334,0.0,13.4,1.5,4.333333333333333,2.9,0.16666666666666666,0.5,0.3333333333333333,1.0,0.0,1.9,14.330363223154745,15.1
LeGarrette Blount,3500.0,22.97,True,-3.0,49.5,26.25,DET,56.0,9.5,27.833333333333332,2.9,0.5,0.5,0.5,2.3333333333333335,0.0,6.5,1.6666666666666667,2.3333333333333335,1.4,0.3333333333333333,0.0,0.0,0.0,0.0,2.2,7.145457369442568,3.6
Ameer Abdullah,3000.0,22.97,True,-3.0,49.5,26.25,DET,112.0,0.5,0.5,1.0,0.0,0.5,0.5,6.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.656521939733871,0.6
Aaron Jones,4100.0,22.03,False,9.5,56.5,23.5,GB,60.0,8.0,47.0,5.9,0.25,1.5,1.0,10.25,0.0,8.2,1.25,5.25,4.2,0.25,0.0,0.0,0.0,0.0,2.0,10.841861435229614,16.6
Ty Montgomery,3600.0,22.03,False,9.5,56.5,23.5,GB,48.0,4.0,16.5,4.1,0.16666666666666666,3.5,2.3333333333333335,28.0,0.0,7.8,0.5,1.1666666666666667,2.3,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.1,8.056770973153695,0.8
Jamaal Williams,3600.0,22.03,False,9.5,56.5,23.5,GB,57.0,9.833333333333334,37.333333333333336,3.8,0.0,2.6666666666666665,1.3333333333333333,9.5,0.0,6.4,0.8333333333333334,1.0,1.2,0.0,0.3333333333333333,0.16666666666666666,1.1666666666666667,0.0,0.7,8.35800123726443,6.9
Marlon Mack,5400.0,28.27,False,-3.0,50.0,26.5,IND,44.0,13.666666666666666,83.0,6.1,0.3333333333333333,2.3333333333333335,1.3333333333333333,13.0,0.3333333333333333,16.6,3.6666666666666665,14.666666666666666,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,4.6,21.84242474833991,31.9
Nyheim Hines,3800.0,28.27,False,-3.0,50.0,26.5,IND,20.0,5.857142857142857,22.857142857142858,3.9,0.14285714285714285,5.714285714285714,4.571428571428571,25.714285714285715,0.2857142857142857,12.0,0.8571428571428571,2.2857142857142856,2.7,0.14285714285714285,0.5714285714285714,0.42857142857142855,3.5714285714285716,0.2857142857142857,3.6,18.00109638662702,10.5
