Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Eric Ebron,IND,TE,13,20,11,55,126,10,20,6.3,11.5,2,1,0.5,1,0,0,6.9,89.7
2,Travis Kelce,KC,TE,13,22,14,63.6,110,9,19,5,7.9,0,0,0,0,0,0,6.1,79
3,Zach Ertz,PHI,TE,13,20,12,60,98,6,17,4.9,8.2,0,0,0,0,0,0,4.4,57.8
4,Cameron Brate,TB,TE,13,11,8,72.7,72,6,16,6.5,9,0,0,0,0,0,0,3.9,51.2
5,Austin Hooper,ATL,TE,13,12,9,75,49,4,11,4.1,5.4,0,0,0,0,0,0,3.1,39.9
6,Trey Burton,CHI,TE,13,11,8,72.7,42,4,15,3.8,5.2,1,2,2,0,0,0,3,38.4
7,Jared Cook,OAK,TE,13,14,10,71.4,69,3,16,4.9,6.9,0,0,0,0,0,0,2.7,34.9
8,Jordan Thomas,HOU,TE,13,7,6,85.7,47,4,13,6.7,7.8,0,0,0,0,0,0,2.7,34.7
9,OJ Howard,TB,TE,10,8,5,62.5,50,4,18,6.2,10,0,0,0,0,0,0,3.4,34
10,Greg Olsen,CAR,TE,9,6,5,83.3,35,4,17,5.8,7,0,0,0,0,0,0,3.6,32.5
11,George Kittle,SF,TE,13,12,8,66.7,54,2,10,4.5,6.8,0,0,0,0,0,0,2.1,27.4
12,Erik Swoope,IND,TE,7,4,4,100,39,3,17,9.8,9.8,0,0,0,0,0,0,3.7,25.9
13,Demetrius Harris,KC,TE,12,4,3,75,43,3,17,10.8,14.3,0,0,0,0,0,0,2.1,25.3
14,Michael Roberts,DET,TE,8,7,3,42.9,34,3,15,4.9,11.3,0,0,0,0,0,0,3,24.4
15,Dallas Goedert,PHI,TE,13,6,4,66.7,22,3,13,3.7,5.5,0,0,0,0,0,0,1.9,24.2
16,David Njoku,CLE,TE,13,4,3,75,22,3,15,5.5,7.3,0,0,0,0,0,0,1.8,23.2
17,Jack Doyle,IND,TE,6,7,6,85.7,41,2,12,5.9,6.8,0,0,0,0,0,0,3.7,22.1
18,Chris Herndon IV,NYJ,TE,11,4,4,100,58,2,17,14.5,14.5,0,0,0,0,1,0,2,21.8
19,Gerald Everett,LAR,TE,13,9,5,55.6,27,2,10,3,5.4,0,0,0,0,0,0,1.7,21.7
20,Kyle Rudolph,MIN,TE,13,11,5,45.5,36,2,11,3.3,7.2,0,0,0,0,0,0,1.6,20.6
21,Nick Vannett,SEA,TE,12,5,4,80,39,2,17,7.8,9.8,0,0,0,0,0,0,1.7,19.9
22,Benjamin Watson,NO,TE,13,8,5,62.5,28,2,13,3.5,5.6,0,0,0,0,0,0,1.5,19.8
23,Jimmy Graham,GB,TE,13,8,4,50,35,2,15,4.4,8.8,0,0,0,0,0,0,1.5,19.5
24,Vance McDonald,PIT,TE,12,6,4,66.7,33,2,12,5.5,8.2,0,0,0,0,1,0,1.6,19.3
25,Antonio Gates,LAC,TE,13,8,2,25,11,2,6,1.4,5.5,0,0,0,0,0,0,1.5,19.1
26,Jeff Heuerman,DEN,TE,11,13,4,30.8,25,2,12,1.9,6.2,0,0,0,0,0,0,1.7,18.5
27,Evan Engram,NYG,TE,8,5,3,60,29,2,18,5.8,9.7,0,0,0,0,0,0,2.2,17.9
28,CJ Uzomah,CIN,TE,13,4,3,75,21,2,16,5.2,7,0,0,0,0,0,0,1.3,17.1
29,Jordan Reed,WAS,TE,13,8,3,37.5,20,2,9,2.5,6.7,0,0,0,0,0,0,1.3,17
30,Ed Dickson,SEA,TE,7,3,2,66.7,27,2,15,9,13.5,0,0,0,0,0,0,2.4,16.7
30,Mark Andrews,BAL,TE,13,6,3,50,17,2,8,2.8,5.7,0,0,0,0,0,0,1.3,16.7
32,Jonnu Smith,TEN,TE,13,5,3,60,14,2,7,2.8,4.7,0,0,0,0,0,0,1.3,16.4
33,Will Dissly,SEA,TE,4,2,2,100,17,2,15,8.5,8.5,0,0,0,0,0,0,3.9,15.7
34,Lee Smith,OAK,TE,13,3,3,100,6,2,3,2,2,0,0,0,0,0,0,1.2,15.6
35,Tyler Higbee,LAR,TE,13,5,2,40,13,2,10,2.6,6.5,0,0,0,0,0,0,1.2,15.3
36,Rhett Ellison,NYG,TE,12,4,3,75,27,1,16,6.8,9,0,0,0,0,0,0,1.1,13.7
37,Maxx Williams,BAL,TE,10,5,4,80,22,1,10,4.4,5.5,0,0,0,0,0,0,1.2,12.2
38,Anthony Firkser,TEN,TE,7,3,3,100,30,1,12,10,10,0,0,0,0,0,0,1.7,12
39,Virgil Green,LAC,TE,13,5,3,60,22,1,13,4.4,7.3,0,0,0,0,0,0,0.9,11.2
40,Rob Gronkowski,NE,TE,10,7,2,28.6,29,1,16,4.1,14.5,0,0,0,0,0,0,1.1,10.9
41,Logan Paulsen,ATL,TE,12,2,2,100,22,1,17,11,11,0,0,0,0,0,0,0.8,10.2
41,Jordan Leggett,NYJ,TE,12,3,3,100,12,1,8,4,4,0,0,0,0,0,0,0.8,10.2
43,Jesse James,PIT,TE,13,4,2,50,15,1,8,3.8,7.5,0,0,0,0,0,0,0.7,9.5
