Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Josh Rosen,4700.0,13.61,19.92,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,8.3,19.7,ARI,32.0,14.8,27.3,54.2,167.0,6.1,1.0,1.1,68.17,1.5,7.8,5.2,0.0,10.4,1.3,3.1,41.9,11.1,3.6,0.6,0.0,91.53,0.0,0.0,0.0,0.0,3.0,55.0,80.3,2.7,0.0,52.4,52.4,18.8,19.55216939452602,15.21668629049794
Matt Ryan,5600.0,19.58,18.02,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,7.1,19.0,ATL,3.0,27.166666666666668,38.333333333333336,70.9,317.8333333333333,8.3,2.0833333333333335,0.4166666666666667,109.28,2.0,8.416666666666666,4.2,0.16666666666666666,24.2,2.9166666666666665,4.5,64.8,21.916666666666668,4.9,1.3333333333333333,0.08333333333333333,108.26,0.16666666666666666,0.75,4.5,0.16666666666666666,7.5,65.7,98.9,3.0,0.0,61.4,61.4,36.9,22.656295004359652,21.285958523592093
Matt Schaub,4000.0,0.06,18.02,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,7.1,19.0,ATL,52.0,2.5,3.5,71.4,10.0,2.9,0.0,0.0,74.11,0.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.3,10.0,10.0,90.0,90.0,11.0,10.42126392219543,4.492741282689914
Lamar Jackson,5700.0,18.82,23.56,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,4.8,10.7,BAL,34.0,3.8333333333333335,6.416666666666667,59.7,45.0,7.0,0.16666666666666666,0.25,73.51,6.833333333333333,33.666666666666664,4.9,0.25,7.2,0.4166666666666667,0.8333333333333334,50.0,2.6666666666666665,3.2,0.08333333333333333,0.0,90.42,1.75,5.5,3.1,0.25,2.5,25.2,33.4,27.2,0.7,52.6,53.3,28.8,17.667475228410616,15.3579958686671
Joe Flacco,5300.0,4.63,23.56,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,4.8,10.7,BAL,26.0,25.77777777777778,42.111111111111114,61.2,273.8888888888889,6.5,1.3333333333333333,0.6666666666666666,84.15,2.111111111111111,5.0,2.4,0.0,16.7,2.6666666666666665,5.111111111111111,52.2,16.555555555555557,3.2,1.1111111111111112,0.1111111111111111,89.58,0.3333333333333333,0.0,0.0,0.0,5.0,71.1,70.9,3.0,0.0,62.2,62.2,23.5,20.422068551681566,20.517709116606376
Robert Griffin III,4500.0,0.28,23.56,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,4.8,10.7,BAL,53.0,1.0,2.0,50.0,10.5,5.2,0.0,0.0,65.62,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,3.8,0.0,0.0,23.5,23.5,4.9,10.195659485682345,2.2693985649054156
Josh Allen,5500.0,18.01,19.06,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,8.9,19.3,BUF,29.0,12.625,23.875,52.9,152.875,6.4,0.625,0.875,66.28,7.125,48.625,6.8,0.5,16.1,0.875,2.25,38.9,5.125,2.3,0.25,0.125,60.88,1.625,9.75,6.0,0.5,5.3,56.5,61.4,12.6,0.0,54.9,54.9,28.5,17.87135250052829,18.2549934768428
Matt Barkley,4400.0,0.2,19.06,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,8.9,19.3,BUF,49.0,15.0,25.0,60.0,232.0,9.3,2.0,0.0,117.42,3.0,-2.0,-0.7,0.0,17.1,4.0,7.0,57.1,33.0,4.7,2.0,0.0,108.93,1.0,0.0,0.0,0.0,9.3,73.0,24.8,4.1,0.0,38.4,38.4,23.4,13.079178341642116,15.016735046156281
Derek Anderson,4000.0,0.05,19.06,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,8.9,19.3,BUF,50.0,21.0,35.0,60.0,232.5,6.6,0.0,2.0,55.95,0.5,-0.5,-1.0,0.0,6.2,1.0,1.5,66.7,2.5,1.7,0.0,0.0,70.14,0.0,0.0,0.0,0.0,0.1,59.0,28.5,0.8,0.0,60.2,60.2,10.6,12.932724542446028,14.224236908449237
Cam Newton,6300.0,21.38,20.49,26.0,72.0,412.75,5.7,24.5,13.416666666666666,37.9,3.4166666666666665,65.9,5.6,13.6,492,62.6,276.3333333333333,6.7,10.8,1.5833333333333333,83,False,-2.0,47.0,24.5,25.3,61.00296052631579,376.3375,6.2,22.220723684210526,10.735855263157895,40.3,3.661842105263158,68.2,5.6,12.6,CAR,5.0,23.166666666666668,33.333333333333336,69.5,249.91666666666666,7.5,2.0,0.9166666666666666,99.78,7.583333333333333,37.5,4.9,0.3333333333333333,23.9,3.0,4.0,75.0,20.75,5.2,1.5833333333333333,0.08333333333333333,117.1,1.25,4.333333333333333,3.5,0.3333333333333333,9.8,62.8,98.8,12.1,0.0,65.2,65.2,38.1,23.275861377796872,22.092572856747505
