Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Ricky Seals-Jones,2700.0,5.48,10.52,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,25.0,ARI,4.666666666666667,2.25,48.2,23.916666666666668,0.08333333333333333,5.1,10.6,0.0,0.0,0.0,0.0,5.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,63.1,0.0,13.0,6.2,13.0,14.3,8.048305383224037,5.579085581612828
Jermaine Gresham,2500.0,3.06,10.52,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,73.0,ARI,1.0,0.8,80.0,7.8,0.0,7.8,9.8,0.0,0.0,0.0,0.0,1.5,0.2,0.1,50.0,1.1,0.0,5.5,11.0,0.0,0.0,0.0,0.0,0.2,32.1,54.7,0.0,3.1,2.5,3.1,4.6,2.8439031761485305,2.6424903587660435
John Phillips,2500.0,0.16,10.52,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,109.0,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.3,0.0,0.0,0.0,0.0,0.0,0.5555674954543353,1.1358876511616243
Darrell Daniels,2500.0,0.16,10.52,26.3,58.17626582278481,354.05126582278484,6.1,20.640506329113926,10.736392405063292,39.5,3.2458860759493673,61.5,8.6,14.9,361,67.6,234.45284810126586,7.8,11.5,2.0806962025316458,108,True,3.0,40.5,18.75,14.6,54.645714285714284,239.60685714285714,4.4,14.349714285714285,11.846857142857143,30.3,1.752,71.4,27.281142857142857,57.2,142.41257142857143,5.2,9.1,1.0011428571428571,65,109.0,ARI,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.7,0.0,1.4,0.0,1.4,0.0,0.24402574239473118,1.152762243464299
Austin Hooper,4300.0,10.93,8.46,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,6.0,ATL,6.083333333333333,5.0,82.2,43.333333333333336,0.3333333333333333,7.1,8.7,0.0,0.0,0.0,0.0,11.5,1.0,0.75,75.0,4.083333333333333,0.3333333333333333,4.1,5.4,0.0,0.0,0.0,0.0,3.3,53.3,80.3,0.0,11.4,9.4,11.4,21.6,12.483078756875253,10.232019246645557
Logan Paulsen,2500.0,1.91,8.46,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,65.0,ATL,0.6666666666666666,0.6666666666666666,100.0,6.0,0.08333333333333333,9.0,9.0,0.0,0.0,0.0,0.0,1.8,0.16666666666666666,0.16666666666666666,100.0,1.8333333333333333,0.08333333333333333,11.0,11.0,0.0,0.0,0.0,0.0,0.8,24.4,36.8,0.0,2.7,2.7,2.7,7.2,2.9489977476332982,1.799629910479157
Eric Saubert,2500.0,0.77,8.46,23.9,63.45574912891986,351.58815331010453,5.5,20.15261324041812,13.740418118466899,38.2,3.2477351916376307,56.4,8.9,15.2,389,62.5,223.8439024390244,6.9,11.1,1.5822299651567944,93,False,5.0,50.0,22.5,24.7,62.83479729729729,378.093581081081,6.0,22.029729729729727,12.934121621621621,47.7,2.920608108108108,65.7,36.79966216216216,71.4,290.89256756756754,7.9,11.1,2.0027027027027025,108,95.0,ATL,0.5,0.25,50.0,2.75,0.0,5.5,11.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,11.3,0.0,6.7,3.3,6.7,7.0,2.513734918276004,1.0840187339126277
Mark Andrews,2800.0,5.57,17.69,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,36.323232323232325,61.1,231.71717171717174,6.4,10.4,1.169023569023569,82,19.0,BAL,3.0833333333333335,2.1666666666666665,70.3,32.0,0.16666666666666666,10.4,14.8,0.0,0.0,0.0,0.0,6.4,0.5,0.25,50.0,1.4166666666666667,0.16666666666666666,2.8,5.7,0.0,0.0,0.0,0.0,1.4,26.1,34.7,0.0,11.8,8.3,11.8,24.4,8.764080270497782,6.458090929517704
Nick Boyle,2500.0,3.54,17.69,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,36.323232323232325,61.1,231.71717171717174,6.4,10.4,1.169023569023569,82,36.0,BAL,2.9166666666666665,1.75,60.0,16.5,0.0,5.7,9.4,0.0,0.0,0.0,0.0,3.4,0.5833333333333334,0.16666666666666666,28.6,0.5,0.0,0.9,3.0,0.0,0.0,0.0,0.0,0.2,42.9,57.0,0.0,6.8,4.1,6.8,7.9,8.626890979634556,4.812880776053116
Hayden Hurst,2500.0,2.95,17.69,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,36.323232323232325,61.1,231.71717171717174,6.4,10.4,1.169023569023569,82,65.0,BAL,1.75,0.875,50.0,10.25,0.125,5.9,11.7,0.125,0.0,0.0,0.0,2.6,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,32.1,0.5,7.4,4.2,7.9,11.2,7.156494254113217,3.453972784053584
Maxx Williams,2500.0,1.32,17.69,27.2,69.37247706422019,416.2348623853211,6.0,26.118654434250764,12.227522935779817,39.5,3.576758409785933,72.1,7.2,14.5,506,64.2,294.4587155963303,7.0,10.9,1.9131498470948014,91,False,6.5,51.0,22.25,24.8,71.81144781144782,374.42154882154887,5.2,23.380471380471384,14.696296296296298,47.2,3.5905723905723907,62.8,36.323232323232325,61.1,231.71717171717174,6.4,10.4,1.169023569023569,82,59.0,BAL,1.5555555555555556,1.5555555555555556,100.0,14.11111111111111,0.0,9.1,9.1,0.2222222222222222,0.8888888888888888,4.0,0.0,3.1,0.4444444444444444,0.3333333333333333,75.0,1.3333333333333333,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.5,28.9,28.8,0.8,5.4,6.2,6.2,10.6,7.00509855158805,3.6514617978941097
Charles Clay,2500.0,5.21,9.62,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,27.937078651685393,55.1,146.17078651685395,5.2,9.5,0.49887640449438203,56,44.0,BUF,3.3,2.0,60.6,17.8,0.0,5.4,8.9,0.0,0.0,0.0,0.0,3.7,0.3,0.1,33.3,0.5,0.0,1.7,5.0,0.0,0.0,0.0,0.0,0.2,39.2,49.5,0.0,8.4,5.1,8.4,9.4,6.263611649997338,4.499005485292755
Jason Croom,2500.0,3.05,9.62,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,27.937078651685393,55.1,146.17078651685395,5.2,9.5,0.49887640449438203,56,37.0,BUF,2.0,1.25,62.5,12.25,0.08333333333333333,6.1,9.8,0.0,0.0,0.0,1.0,3.4,0.16666666666666666,0.08333333333333333,50.0,0.9166666666666666,0.0,5.5,11.0,0.0,0.0,0.0,0.08333333333333333,0.7,23.5,35.6,0.0,8.5,5.3,8.5,14.4,2.4901119278414297,3.422519491125665
Logan Thomas,2500.0,1.99,9.62,25.6,66.37654723127037,376.66188925081434,5.7,20.429967426710096,13.925732899022801,32.3,3.3355048859934855,50.0,5.5,16.7,429,62.0,248.24495114006515,6.9,11.2,1.7511400651465798,88,True,-3.5,38.5,21.0,14.8,62.69213483146068,285.0247191011236,4.5,16.79550561797753,13.802247191011237,30.7,2.0786516853932584,60.0,27.937078651685393,55.1,146.17078651685395,5.2,9.5,0.49887640449438203,56,69.0,BUF,1.5555555555555556,1.2222222222222223,78.6,8.0,0.0,5.1,6.5,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,32.2,0.0,6.5,5.6,7.0,8.7,3.1701767130188974,3.194057845916731
