Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Jesus Wilson,3000.0,1.55,48.96,22.4,59.70557620817843,354.4029739776951,5.9,20.734572490706316,11.158364312267656,39.6,3.247583643122676,61.5,8.0,15.6,425,70.1,279.0423791821561,7.9,11.2,1.831970260223048,101,True,8.0,55.0,23.5,26.5,67.66666666666667,442.6666666666667,6.5,25.583333333333332,11.666666666666666,49.3,3.9166666666666665,59.6,37.416666666666664,67.0,326.1666666666667,8.7,13.0,2.25,93,199.0,TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.5,0.0,0.0,0.0,0.0,0.0,5.019912821754481,1.392797001989631
Corey Davis,5100.0,12.56,30.39,20.2,61.09876543209876,314.80411522633744,5.2,18.038683127572014,13.300411522633745,36.2,2.74320987654321,54.5,5.8,15.8,393,60.6,206.65514403292178,6.3,10.4,1.2469135802469136,82,True,-5.0,37.0,21.0,18.4,59.44615384615384,309.8859728506787,5.2,17.90045248868778,13.32126696832579,40.0,2.914027149321267,54.3,25.227149321266968,68.3,174.5918552036199,6.9,10.1,0.9990950226244343,90,23.0,TEN,7.583333333333333,4.333333333333333,57.1,62.0,0.3333333333333333,8.2,14.3,0.3333333333333333,4.5,13.5,0.0,13.5,1.1666666666666667,0.5,42.9,3.9166666666666665,0.16666666666666666,3.4,7.8,0.0,0.0,0.0,0.0,1.9,55.9,89.3,0.6,13.6,8.3,14.2,24.1,13.859700812244254,11.90293645173237
Tajae Sharpe,3300.0,6.81,30.39,20.2,61.09876543209876,314.80411522633744,5.2,18.038683127572014,13.300411522633745,36.2,2.74320987654321,54.5,5.8,15.8,393,60.6,206.65514403292178,6.3,10.4,1.2469135802469136,82,True,-5.0,37.0,21.0,18.4,59.44615384615384,309.8859728506787,5.2,17.90045248868778,13.32126696832579,40.0,2.914027149321267,54.3,25.227149321266968,68.3,174.5918552036199,6.9,10.1,0.9990950226244343,90,79.0,TEN,3.4166666666666665,2.0833333333333335,61.0,25.833333333333332,0.16666666666666666,7.6,12.4,0.08333333333333333,1.3333333333333333,16.0,0.0,6.0,0.75,0.3333333333333333,44.4,1.75,0.16666666666666666,2.3,5.2,0.0,0.0,0.0,0.0,1.5,43.6,69.6,0.2,7.8,5.0,8.0,13.9,7.243091611640775,6.373069951366832
Taywan Taylor,3400.0,6.29,30.39,20.2,61.09876543209876,314.80411522633744,5.2,18.038683127572014,13.300411522633745,36.2,2.74320987654321,54.5,5.8,15.8,393,60.6,206.65514403292178,6.3,10.4,1.2469135802469136,82,True,-5.0,37.0,21.0,18.4,59.44615384615384,309.8859728506787,5.2,17.90045248868778,13.32126696832579,40.0,2.914027149321267,54.3,25.227149321266968,68.3,174.5918552036199,6.9,10.1,0.9990950226244343,90,92.0,TEN,3.888888888888889,2.6666666666666665,68.6,35.333333333333336,0.1111111111111111,9.1,13.2,0.0,0.0,0.0,0.0,7.1,0.5555555555555556,0.4444444444444444,80.0,4.333333333333333,0.1111111111111111,7.8,9.8,0.0,0.0,0.0,0.0,1.5,29.3,35.2,0.0,13.3,9.1,13.3,24.2,6.11239834975331,6.634400005658669
Cameron Batson,3000.0,3.44,30.39,20.2,61.09876543209876,314.80411522633744,5.2,18.038683127572014,13.300411522633745,36.2,2.74320987654321,54.5,5.8,15.8,393,60.6,206.65514403292178,6.3,10.4,1.2469135802469136,82,True,-5.0,37.0,21.0,18.4,59.44615384615384,309.8859728506787,5.2,17.90045248868778,13.32126696832579,40.0,2.914027149321267,54.3,25.227149321266968,68.3,174.5918552036199,6.9,10.1,0.9990950226244343,90,145.0,TEN,1.5714285714285714,1.1428571428571428,72.7,11.714285714285714,0.0,7.5,10.2,0.14285714285714285,0.14285714285714285,1.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,37.2,0.6,6.8,5.6,7.4,10.1,3.4905818248411986,2.907556237924352
Darius Jennings,3000.0,1.05,30.39,20.2,61.09876543209876,314.80411522633744,5.2,18.038683127572014,13.300411522633745,36.2,2.74320987654321,54.5,5.8,15.8,393,60.6,206.65514403292178,6.3,10.4,1.2469135802469136,82,True,-5.0,37.0,21.0,18.4,59.44615384615384,309.8859728506787,5.2,17.90045248868778,13.32126696832579,40.0,2.914027149321267,54.3,25.227149321266968,68.3,174.5918552036199,6.9,10.1,0.9990950226244343,90,143.0,TEN,0.5833333333333334,0.4166666666666667,71.4,4.583333333333333,0.0,7.9,11.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,11.9,0.0,7.9,6.7,9.0,19.5,0.9518642726788293,1.516753981696406
Josh Doctson,4500.0,8.58,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,68.0,WAS,5.636363636363637,3.1818181818181817,56.5,35.0,0.18181818181818182,6.2,11.0,0.0,0.0,0.0,0.0,7.8,0.6363636363636364,0.18181818181818182,28.6,0.7272727272727273,0.18181818181818182,1.1,4.0,0.0,0.0,0.0,0.0,1.3,58.1,88.5,0.0,9.7,5.5,9.7,13.4,11.352357234236479,8.574832657099805
Jamison Crowder,4000.0,8.21,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,109.0,WAS,4.8,3.4,70.8,34.0,0.2,7.1,10.0,0.8,6.0,7.5,0.0,8.6,0.8,0.8,100.0,7.6,0.2,9.5,9.5,0.0,0.0,0.0,0.0,2.8,47.2,36.1,1.7,10.2,8.9,11.9,18.2,8.720774136611665,8.170523515990219
Maurice Harris,3400.0,4.12,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,94.0,WAS,4.4,2.7,61.4,29.1,0.0,6.6,10.8,0.2,1.0,5.0,0.0,6.0,0.3,0.2,66.7,2.0,0.0,6.7,10.0,0.0,0.0,0.0,0.0,0.4,39.7,56.4,0.5,11.1,7.3,11.6,15.1,8.37693894248006,6.314044842915485
Trey Quinn,4000.0,1.15,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,134.0,WAS,3.3333333333333335,3.0,90.0,25.0,0.3333333333333333,7.5,8.3,0.3333333333333333,0.0,0.0,0.0,7.5,0.6666666666666666,0.6666666666666666,100.0,5.666666666666667,0.3333333333333333,8.5,8.5,0.0,0.0,0.0,0.0,3.2,35.7,40.8,0.9,9.3,9.3,10.3,21.0,6.979637683630285,7.0411443928719875
Michael Floyd,3000.0,0.96,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,154.0,WAS,1.4444444444444444,0.5555555555555556,38.5,6.888888888888889,0.0,4.8,12.4,0.0,0.0,0.0,0.0,1.2,0.1111111111111111,0.1111111111111111,100.0,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.2,19.7,31.1,0.0,7.3,2.8,7.3,6.3,3.276132172799322,2.870677310504065
Jehu Chesson,3000.0,0.02,33.74,26.2,64.54349206349207,376.9473015873016,5.8,21.791746031746033,12.725714285714286,40.5,3.742857142857143,51.1,4.3,13.3,418,65.6,252.26857142857142,7.3,11.1,1.4139682539682539,89,True,3.5,41.0,18.75,19.4,62.11330472103003,323.13905579399136,5.2,18.900429184549353,13.072103004291844,36.9,2.7476394849785404,54.5,31.472961373390554,62.2,195.74849785407721,6.2,10.0,1.0824034334763948,82,199.0,WAS,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,100.0,0.0,100.0,0.0,2.2539095581588056,0.924483320969846
