Week,Team,Home,PointSpread,OverUnder
2,BAL,FALSE,-1,43
2,ATL,TRUE,-5.5,43.5
2,LAC,FALSE,-7.5,41.5
2,MIN,FALSE,-2,45
2,NO,TRUE,-9.5,51
2,NYJ,TRUE,-3,43
2,PIT,TRUE,-4.5,52
2,PHI,FALSE,-3,46.5
2,HOU,FALSE,-3.5,41
2,WAS,TRUE,-6,48
2,SF,TRUE,-6,48.5
2,LAR,TRUE,-13.5,43.5
2,DEN,TRUE,-5.5,44
2,NE,FALSE,-2,44.5
2,DAL,TRUE,-3,42
2,CHI,TRUE,-5,42.5
2,CIN,TRUE,1,43
2,CAR,FALSE,5.5,43.5
2,BUF,TRUE,7.5,41.5
2,GB,TRUE,2,45
2,CLE,FALSE,9.5,51
2,MIA,FALSE,3,43
2,KC,FALSE,4.5,52
2,TB,TRUE,3,46.5
2,TEN,TRUE,3.5,41
2,IND,FALSE,6,48
2,DET,FALSE,6,48.5
2,ARI,FALSE,13.5,43.5
2,OAK,FALSE,5.5,44
2,JAX,TRUE,2,44.5
2,NYG,FALSE,3,42
2,SEA,FALSE,5,42.5
3,CLE,TRUE,-3,41
3,NO,FALSE,-1.5,54
3,BAL,TRUE,-5.5,46.5
3,CAR,TRUE,-3,44
3,HOU,TRUE,-6.5,44.5
3,JAX,TRUE,-10,39.5
3,KC,TRUE,-5.5,53.5
3,MIA,TRUE,-2.5,46
3,MIN,TRUE,-16.5,41
3,PHI,TRUE,-6,45
3,GB,FALSE,-2,46.5
3,LAR,TRUE,-7,49
3,CHI,FALSE,-5.5,38.5
3,DAL,FALSE,-1.5,40
3,NE,FALSE,-6.5,55
3,PIT,FALSE,-1,55
3,NYJ,FALSE,3,41
3,ATL,TRUE,1.5,54
3,DEN,FALSE,5.5,46.5
3,CIN,FALSE,3,44
3,NYG,FALSE,6.5,44.5
3,TEN,FALSE,10,39.5
3,SF,FALSE,5.5,53.5
3,OAK,FALSE,2.5,46
3,BUF,FALSE,16.5,41
3,IND,FALSE,6,45
3,WAS,TRUE,2,46.5
3,LAC,FALSE,7,49
3,ARI,TRUE,5.5,38.5
3,SEA,TRUE,1.5,40
3,DET,TRUE,6.5,55
3,TB,TRUE,1,55
4,LAR,TRUE,-7,49
4,NE,TRUE,-6.5,50.5
4,PHI,FALSE,-2.5,41.5
4,ATL,TRUE,-3.5,52.5
4,CHI,TRUE,-2.5,45.5
4,DAL,TRUE,-2.5,44
4,GB,TRUE,-9.5,44
4,HOU,FALSE,-1,48.5
4,JAX,TRUE,-7,40.5
4,SEA,FALSE,-3.5,40
4,OAK,TRUE,-2.5,44.5
4,NO,FALSE,-3,52
4,LAC,TRUE,-9.5,46.5
4,PIT,TRUE,-3,51
4,KC,FALSE,-3.5,53
4,MIN,FALSE,7,49
4,MIA,FALSE,6.5,50.5
4,TEN,TRUE,2.5,41.5
4,CIN,FALSE,3.5,52.5
4,TB,FALSE,2.5,45.5
4,DET,FALSE,2.5,44
4,BUF,FALSE,9.5,44
4,IND,TRUE,1,48.5
4,NYJ,FALSE,7,40.5
4,ARI,TRUE,3.5,40
4,CLE,FALSE,2.5,44.5
4,NYG,TRUE,3,52
4,SF,FALSE,9.5,46.5
4,BAL,FALSE,3,51
4,DEN,TRUE,3.5,53
5,NE,TRUE,-11,49.5
5,KC,TRUE,-3,48
5,TEN,FALSE,-6.5,38
5,CAR,TRUE,-6.5,43.5
5,CIN,TRUE,-6.5,48
5,BAL,FALSE,-3,44.5
5,GB,FALSE,-1,50
5,DEN,FALSE,-1,42
5,PIT,TRUE,-3.5,57
5,LAC,TRUE,-4.5,51.5
5,LAR,FALSE,-7.5,50.5
5,SF,TRUE,-3,40.5
5,PHI,TRUE,-3,48.5
5,HOU,TRUE,-3,45.5
5,NO,TRUE,-6,51.5
5,IND,FALSE,11,49.5
5,JAX,FALSE,3,48
5,BUF,TRUE,6.5,38
5,NYG,FALSE,6.5,43.5
5,MIA,FALSE,6.5,48
5,CLE,TRUE,3,44.5
5,DET,TRUE,1,50
5,NYJ,TRUE,1,42
5,ATL,FALSE,3.5,57
5,OAK,FALSE,4.5,51.5
5,SEA,TRUE,7.5,50.5
5,ARI,FALSE,3,40.5
5,MIN,FALSE,3,48.5
5,DAL,FALSE,3,45.5
5,WAS,FALSE,6,51.5
6,PHI,FALSE,-1.5,45.5
6,NYJ,TRUE,-2.5,48
6,SEA,FALSE,-3,47.5
6,CAR,FALSE,-1,44.5
6,ATL,TRUE,-3,57.5
6,CIN,TRUE,-2,49.5
6,LAC,FALSE,-1,47
6,HOU,TRUE,-10,40.5
6,CHI,FALSE,-7,40.5
6,MIN,TRUE,-9.5,43.5
6,LAR,FALSE,-7,50
6,BAL,FALSE,-2.5,43.5
6,JAX,FALSE,-3,40
6,NE,TRUE,-3.5,59
6,GB,TRUE,-9,46.5
6,NYG,TRUE,1.5,45.5
6,IND,FALSE,2.5,48
6,OAK,TRUE,3,47.5
6,WAS,TRUE,1,44.5
6,TB,FALSE,3,57.5
6,PIT,FALSE,2,49.5
6,CLE,TRUE,1,47
6,BUF,FALSE,10,40.5
6,MIA,TRUE,7,40.5
6,ARI,FALSE,9.5,43.5
6,DEN,TRUE,7,50
6,TEN,TRUE,2.5,43.5
6,DAL,TRUE,3,40
6,KC,FALSE,3.5,59
6,SF,FALSE,9,46.5
7,DEN,FALSE,-1,42
7,LAC,TRUE,-6.5,45
7,DET,FALSE,-3,47
7,MIN,FALSE,-3.5,46.5
7,PHI,TRUE,-5,45
7,NE,FALSE,-3,49.5
7,IND,TRUE,-7.5,43
7,JAX,TRUE,-5,42
7,TB,TRUE,-3,49.5
7,BAL,TRUE,-2.5,50
7,WAS,TRUE,-1.5,42
7,LAR,FALSE,-10,52.5
7,KC,TRUE,-6,57.5
7,ATL,TRUE,-6,54
7,ARI,TRUE,1,42
7,TEN,FALSE,6.5,45
7,MIA,TRUE,3,47
7,NYJ,TRUE,3.5,46.5
7,CAR,FALSE,5,45
7,CHI,TRUE,3,49.5
7,BUF,FALSE,7.5,43
7,HOU,FALSE,5,42
7,CLE,FALSE,3,49.5
7,NO,FALSE,2.5,50
7,DAL,FALSE,1.5,42
7,SF,TRUE,10,52.5
7,CIN,FALSE,6,57.5
7,NYG,FALSE,6,54
8,HOU,TRUE,-7.5,44
8,PHI,FALSE,-3,42
8,KC,TRUE,-10,53.5
8,BAL,FALSE,-2,44
8,CHI,TRUE,-7.5,44.5
8,CIN,TRUE,-4,54.5
8,DET,TRUE,-3,49.5
8,WAS,FALSE,-1,43
8,PIT,TRUE,-8,51
8,IND,FALSE,-3,50
8,ARI,TRUE,-1,43
8,LAR,TRUE,-9.5,56.5
8,NO,FALSE,-1,51.5
8,NE,FALSE,-13.5,44
8,MIA,FALSE,7.5,44
8,JAX,TRUE,3,42
8,DEN,FALSE,10,53.5
8,CAR,TRUE,2,44
8,NYJ,FALSE,7.5,44.5
8,TB,FALSE,4,54.5
8,SEA,FALSE,3,49.5
8,NYG,TRUE,1,43
8,CLE,FALSE,8,51
8,OAK,TRUE,3,50
8,SF,FALSE,1,43
8,GB,FALSE,9.5,56.5
8,MIN,TRUE,1,51.5
8,BUF,FALSE,13.5,44
9,SF,TRUE,-1,44
9,WAS,TRUE,-1.5,48.5
9,BAL,TRUE,-3,47.5
9,CHI,FALSE,-10,37.5
9,CAR,TRUE,-6,55
9,KC,FALSE,-8,51
9,MIA,TRUE,-3,44
9,MIN,TRUE,-4.5,49
9,DEN,TRUE,-1,46
9,SEA,TRUE,-1,48
9,LAR,FALSE,-1,60
9,NE,TRUE,-5.5,56.5
9,DAL,TRUE,-5.5,40.5
9,OAK,FALSE,1,44
9,ATL,FALSE,1.5,48.5
9,PIT,FALSE,3,47.5
9,BUF,TRUE,10,37.5
9,TB,FALSE,6,55
9,CLE,TRUE,8,51
9,NYJ,FALSE,3,44
9,DET,FALSE,4.5,49
9,HOU,FALSE,1,46
9,LAC,FALSE,1,48
9,NO,TRUE,1,60
9,GB,FALSE,5.5,56.5
9,TEN,FALSE,5.5,40.5
