Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Joe Webb,4000.0,0.2,19.47,25.4,66.73272727272727,375.9969696969697,5.6,20.704848484848483,13.931515151515152,33.7,3.463636363636364,48.9,5.7,17.4,466,60.9,243.9169696969697,6.8,11.2,1.6163636363636364,85,False,-6.5,41.0,23.75,24.8,65.41671826625387,368.7752321981424,5.6,20.730650154798763,13.206191950464397,39.0,3.685448916408669,52.1,10.2,23.2,HOU,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,3.9,0.0,8.6,5.7,8.6,9.4,6.041291054064137,0.4938416503587739
Brandon Weeden,4200.0,0.18,19.47,25.4,66.73272727272727,375.9969696969697,5.6,20.704848484848483,13.931515151515152,33.7,3.463636363636364,48.9,5.7,17.4,466,60.9,243.9169696969697,6.8,11.2,1.6163636363636364,85,False,-6.5,41.0,23.75,24.8,65.41671826625387,368.7752321981424,5.6,20.730650154798763,13.206191950464397,39.0,3.685448916408669,52.1,10.2,23.2,HOU,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,100.0,0.0,100.0,100.0,-10.0,4.226306952385146,0.9557483148510544
Andrew Luck,6400.0,20.6,17.87,18.9,59.3890243902439,313.0024390243902,5.3,18.208536585365852,12.369512195121949,41.0,2.842682926829268,48.6,7.6,18.2,426,68.8,226.26219512195118,6.9,10.1,1.4597560975609754,95,True,-3.0,46.5,24.75,26.8,66.65444126074499,381.72722063037247,5.7,22.653295128939828,13.668767908309455,47.2,3.839541547277937,68.0,2.9,12.0,IND,4.0,27.615384615384617,40.76923076923077,67.7,289.15384615384613,7.1,2.6153846153846154,1.0,99.25,2.3846153846153846,7.538461538461538,3.2,0.0,23.5,4.0,6.3076923076923075,63.4,30.307692307692307,4.8,2.1538461538461537,0.07692307692307693,109.45,0.23076923076923078,1.0769230769230769,4.7,0.0,10.2,69.2,98.1,3.4,0.2,62.4,62.6,34.0,21.807752669681328,21.914006562691494
Jacoby Brissett,4200.0,0.11,17.87,18.9,59.3890243902439,313.0024390243902,5.3,18.208536585365852,12.369512195121949,41.0,2.842682926829268,48.6,7.6,18.2,426,68.8,226.26219512195118,6.9,10.1,1.4597560975609754,95,True,-3.0,46.5,24.75,26.8,66.65444126074499,381.72722063037247,5.7,22.653295128939828,13.668767908309455,47.2,3.839541547277937,68.0,2.9,12.0,IND,67.0,0.5,1.0,50.0,0.5,0.5,0.0,0.0,56.25,1.75,-1.75,-1.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.0,38.9,0.0,61.1,61.1,-3.4,10.44863673924264,1.2562492587321348
Cody Kessler,4700.0,13.36,21.05,22.8,63.02626262626263,369.32929292929293,5.9,21.034343434343437,12.12929292929293,43.0,3.377777777777778,52.3,6.9,15.2,461,66.6,257.24848484848485,7.3,10.9,1.7656565656565657,93,True,-7.5,36.0,21.75,16.3,65.12311320754718,328.84481132075473,5.0,18.529716981132076,14.685377358490566,41.4,2.2297169811320754,48.3,7.5,17.8,JAX,40.0,21.333333333333332,32.333333333333336,66.0,182.0,5.6,0.6666666666666666,0.3333333333333333,83.1,4.0,17.666666666666668,4.4,0.0,11.0,1.6666666666666667,4.0,41.7,10.0,2.5,0.6666666666666666,0.0,88.89,1.3333333333333333,2.6666666666666665,2.0,0.0,3.3,55.7,19.1,7.2,0.0,65.3,65.3,19.8,17.098341493584392,15.340553055011956
Blake Bortles,4500.0,3.64,21.05,22.8,63.02626262626263,369.32929292929293,5.9,21.034343434343437,12.12929292929293,43.0,3.377777777777778,52.3,6.9,15.2,461,66.6,257.24848484848485,7.3,10.9,1.7656565656565657,93,True,-7.5,36.0,21.75,16.3,65.12311320754718,328.84481132075473,5.0,18.529716981132076,14.685377358490566,41.4,2.2297169811320754,48.3,7.5,17.8,JAX,23.0,20.272727272727273,33.54545454545455,60.4,233.8181818181818,7.0,1.1818181818181819,0.9090909090909091,81.94,4.545454545454546,29.545454545454547,6.5,0.09090909090909091,17.4,1.5454545454545454,3.5454545454545454,43.6,11.363636363636363,3.2,0.6363636363636364,0.18181818181818182,69.98,0.36363636363636365,1.8181818181818181,5.0,0.0,3.0,64.2,80.9,7.1,0.0,59.3,59.3,27.1,19.19008825712523,17.587468199608608
Patrick Mahomes,6900.0,26.78,16.35,20.8,61.16740740740741,332.3377777777778,5.4,19.644444444444446,12.634074074074075,39.6,3.1585185185185187,51.2,6.7,15.1,444,64.0,225.10222222222222,6.6,10.3,1.4637037037037037,86,True,-3.0,52.5,27.75,36.2,63.715074309978775,437.09002123142255,6.9,24.74819532908705,11.144373673036094,46.2,4.611464968152867,71.7,4.6,17.8,KC,1.0,24.76923076923077,37.07692307692308,66.8,330.7692307692308,8.9,3.3076923076923075,0.8461538461538461,115.15,4.076923076923077,18.076923076923077,4.4,0.15384615384615385,30.5,4.3076923076923075,6.615384615384615,65.1,32.53846153846154,4.9,2.3846153846153846,0.07692307692307693,111.58,0.9230769230769231,3.230769230769231,3.5,0.15384615384615385,12.0,67.1,100.0,6.1,0.0,61.4,61.4,45.5,27.420619319878558,24.181468580126108
Philip Rivers,6300.0,23.73,23.28,27.0,69.38461538461539,409.61538461538464,5.9,26.0,12.23076923076923,39.6,3.6153846153846154,72.3,7.3,14.6,532,63.5,281.7692307692308,6.9,10.8,1.9230769230769231,91,False,3.0,52.5,24.75,28.2,59.01967213114754,391.48688524590165,6.6,21.34262295081967,11.018032786885245,39.2,3.4672131147540983,60.0,5.5,15.8,LAC,8.0,21.846153846153847,31.46153846153846,69.4,279.84615384615387,8.9,2.230769230769231,0.46153846153846156,114.53,1.2307692307692308,0.46153846153846156,0.4,0.0,21.2,2.923076923076923,4.538461538461538,64.4,20.846153846153847,4.6,1.4615384615384615,0.07692307692307693,107.42,0.6923076923076923,-0.38461538461538464,-0.6,0.0,7.2,59.9,97.4,2.1,0.0,54.6,54.6,35.3,21.057332001396375,21.187873584178384
Geno Smith,4300.0,0.1,23.28,27.0,69.38461538461539,409.61538461538464,5.9,26.0,12.23076923076923,39.6,3.6153846153846154,72.3,7.3,14.6,532,63.5,281.7692307692308,6.9,10.8,1.9230769230769231,91,False,3.0,52.5,24.75,28.2,59.01967213114754,391.48688524590165,6.6,21.34262295081967,11.018032786885245,39.2,3.4672131147540983,60.0,5.5,15.8,LAC,58.0,0.25,1.0,25.0,2.0,2.0,0.0,0.0,39.58,1.5,1.0,0.7,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.0,39.58,0.0,0.0,0.0,0.0,0.0,5.5,2.8,27.3,0.0,45.5,45.5,3.3,10.446930919337625,1.3718534464013914
Jared Goff,6400.0,24.11,20.99,22.7,63.17525423728814,384.1301694915254,6.1,19.391186440677966,13.158305084745763,38.0,3.6166101694915254,44.7,6.3,20.3,504,67.5,277.4786440677966,7.2,10.6,1.5389830508474576,95,True,-9.0,53.5,31.25,32.7,65.24611764705884,422.63788235294123,6.5,24.390352941176474,11.84894117647059,42.9,5.001176470588236,56.9,5.9,12.4,LAR,7.0,22.692307692307693,35.23076923076923,64.4,302.61538461538464,8.6,2.076923076923077,0.8461538461538461,101.19,2.923076923076923,7.0,2.4,0.07692307692307693,22.6,3.6923076923076925,6.153846153846154,60.0,26.53846153846154,4.3,1.5384615384615385,0.15384615384615385,99.22,0.46153846153846156,1.0,2.2,0.07692307692307693,8.1,67.2,98.9,4.4,0.0,56.8,56.8,33.6,22.74535463175811,24.763732787760187
