Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
64,Josh Adams,PHI,RB,9,76,376,4.9,2,8,4,25,0,0,0,6.5,58.1
65,Kapri Bibbs,WAS,RB,10,20,101,5,3,18,13,102,1,1,0,5.7,57.3
66,Jordan Wilkins,IND,RB,12,57,318,5.6,1,15,14,74,0,2,2,4.8,57.2
67,Jacquizz Rodgers,TB,RB,12,24,85,3.5,0,31,25,208,0,1,1,4.7,56.3
68,Gus Edwards,BAL,RB,7,76,379,5,1,1,1,7,0,0,0,7.7,53.6
69,Alfred Morris,SF,RB,10,93,313,3.4,1,12,6,66,0,2,1,4.9,48.9
70,Chase Edmonds,ARI,RB,12,39,138,3.5,2,17,15,76,0,0,0,4,48.4
71,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,11.1,44.4
72,Raheem Mostert,SF,RB,9,34,261,7.7,1,7,6,25,0,1,1,4.4,39.6
73,Malcolm Brown,LAR,RB,12,43,212,4.9,0,7,5,52,1,0,0,3.3,39.4
74,Marcus Murphy,BUF,RB,9,37,205,5.5,0,18,10,18,0,1,0,3.6,32.3
75,James Develin,NE,RB,12,5,6,1.2,3,15,9,41,0,0,0,2.6,31.7
76,Trenton Cannon,NYJ,RB,12,22,77,3.5,0,17,12,111,0,0,0,2.6,30.8
77,Wayne Gallman,NYG,RB,12,29,103,3.6,0,19,13,82,0,2,1,2.5,30.5
78,Jaylen Samuels,PIT,FB,10,12,31,2.6,0,9,7,54,2,1,0,2.8,27.5
79,Justin Jackson,LAC,RB,5,20,127,6.4,1,3,3,38,0,0,0,5.1,25.5
79,Jeffery Wilson,SF,RB,2,22,94,4.3,0,10,9,81,0,1,1,12.8,25.5
81,Elijah McGuire,NYJ,RB,4,25,98,3.9,0,16,8,67,0,0,0,6.1,24.5
82,Rex Burkhead,NE,RB,4,31,106,3.4,0,8,5,52,0,1,0,5.2,20.8
83,CJ Ham,MIN,RB,12,5,7,1.4,0,15,11,85,0,0,0,1.7,20.2
84,CJ Anderson,CAR,RB,9,24,104,4.3,0,3,1,24,1,0,0,2.2,19.8
84,Ronald Jones II,TB,RB,5,23,44,1.9,1,7,6,34,0,0,0,4,19.8
86,Anthony Sherman,KC,FB,12,0,0,0,0,6,6,77,1,0,0,1.6,19.7
86,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,3.9,19.7
88,Taquan Mizzell,CHI,RB,5,6,13,2.2,0,7,5,42,1,0,0,3.3,16.5
89,Kenneth Dixon,BAL,RB,2,21,81,3.9,1,1,1,6,0,1,0,7.8,15.7
90,Darren Sproles,PHI,RB,2,9,32,3.6,1,7,4,22,0,0,0,7.7,15.4
91,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,7,14.1
92,Rod Smith,DAL,RB,12,23,58,2.5,0,7,5,30,0,0,0,1.2,13.8
93,Alex Armah,CAR,RB,12,7,14,2,2,0,0,0,0,0,0,1.1,13.4
94,Zach Line,NO,FB,12,3,12,4,0,8,4,13,1,0,0,1,12.5
94,Mark Walton,CIN,RB,10,14,34,2.4,0,8,5,41,0,0,0,1.2,12.5
96,Andy Janovich,DEN,FB,12,1,2,2,0,7,5,71,0,0,0,1,12.3
97,Dontrell Hilliard,CLE,RB,7,0,0,0,0,7,6,70,0,0,0,1.7,12
98,Damien Williams,KC,RB,10,8,39,4.9,0,5,5,25,0,0,0,1.1,11.4
99,Deandre Washington,OAK,RB,6,24,85,3.5,0,1,1,9,0,1,1,1.6,9.4
99,Stevan Ridley,PIT,RB,7,18,56,3.1,0,4,3,18,0,1,1,1.3,9.4
101,Patrick DiMarco,BUF,FB,12,0,0,0,0,3,3,62,0,0,0,0.8,9.2
102,Tommy Bohanon,JAX,FB,12,1,0,0,0,7,5,34,0,0,0,0.7,8.4
103,Kalen Ballage,MIA,RB,8,8,11,1.4,0,5,5,18,0,0,0,1,7.9
104,Elijhaa Penny,NYG,RB,8,1,2,2,0,6,5,23,0,0,0,0.9,7.5
105,Kenjon Barner,CAR,RB,6,19,71,3.7,0,0,0,0,0,1,0,1.2,7.1
105,Roc Thomas,MIN,RB,5,8,30,3.8,0,4,2,21,0,0,0,1.4,7.1
107,Mike Boone,MIN,RB,7,11,47,4.3,0,3,2,1,0,0,0,1,6.8
108,Roosevelt Nix,PIT,RB,12,0,0,0,0,4,3,36,0,0,0,0.6,6.6
109,Tyler Ervin,HOU,RB,9,0,0,0,0,4,3,35,0,1,0,0.7,6.5
110,Shaun Wilson,TB,RB,5,6,29,4.8,0,5,3,5,0,0,0,1.3,6.4
111,Keith Smith,OAK,FB,12,1,0,0,0,5,4,22,0,0,0,0.5,6.2
112,Samaje Perine,WAS,RB,4,5,25,5,0,4,3,5,0,0,0,1.5,6
113,Tre Madden,SEA,RB,11,3,3,1,0,3,2,35,0,0,0,0.5,5.8
114,TJ Logan,ARI,RB,6,1,5,5,0,3,3,19,0,0,0,0.9,5.4
115,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,1.3,5.2
116,CJ Prosise,SEA,RB,5,1,-3,-3,0,3,3,22,0,0,0,1,4.9
116,Ameer Abdullah,MIN,RB,6,1,1,1,0,4,3,28,0,1,1,0.8,4.9
118,Dwayne Washington,NO,RB,5,16,46,2.9,0,0,0,0,0,0,0,0.9,4.6
119,Zach Zenner,DET,RB,4,4,28,7,0,1,1,4,0,0,0,1,4.2
120,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,4.1,4.1
120,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,1,4.1
122,Derrick Coleman,ARI,FB,12,2,3,1.5,0,3,2,17,0,0,0,0.3,4
123,Nick Bellore,DET,RB,11,1,0,0,0,3,3,7,0,0,0,0.3,3.7
124,Jamaal Charles,JAX,RB,2,6,7,1.2,0,3,2,7,0,0,0,1.7,3.4
125,Jamize Olawale,DAL,FB,12,0,0,0,0,2,2,13,0,0,0,0.3,3.3
126,Alan Cross,TB,FB,12,0,0,0,0,5,2,9,0,0,0,0.2,2.9
127,Benjamin Cunningham,CHI,RB,11,4,8,2,0,2,1,9,0,0,0,0.2,2.7
127,Ricky Ortiz,ATL,RB,10,0,0,0,0,3,2,7,0,0,0,0.3,2.7
129,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
130,David Fluellen,TEN,RB,7,4,16,4,0,0,0,0,0,0,0,0.2,1.6
130,Michael Burton,CHI,FB,6,0,0,0,0,1,1,6,0,0,0,0.3,1.6
132,Detrez Newsome,LAC,RB,6,5,15,3,0,0,0,0,0,0,0,0.2,1.5
132,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
134,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,0.6,1.3
135,Jonathan Williams,IND,RB,3,3,0,0,0,1,1,1,0,0,0,0.4,1.1
136,Brandon Bolden,MIA,RB,12,1,10,10,0,0,0,0,0,0,0,0.1,1
137,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
138,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
139,Byron Marshall,WAS,RB,2,2,5,2.5,0,1,0,0,0,0,0,0.2,0.5
140,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
141,Derek Watt,LAC,FB,12,3,3,1,0,0,0,0,0,0,0,0,0.3
