Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
2,Leonte Carroo,MIA,WR,5,39,7.8,13,2.6,7.7,7.7,10.3,18.8,48.2
3,Curtis Samuel,CAR,WR,9,224,24.9,35.7,2.7,16.1,13.8,18.8,96,42.9
4,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
5,Tavon Austin,DAL,WR,6,106,17.7,14.8,5.7,9.4,12.3,15.1,37.5,35.4
5,Brandon Zylstra,MIN,WR,12,8,0.7,1,0,12.5,12.5,12.5,3.3,41.2
7,Tyreek Hill,KC,WR,12,695,57.9,88.4,2.2,14.4,11.7,16.5,273.7,39.4
8,Aldrick Robinson,MIN,WR,10,158,15.8,23.9,0,16.5,9.5,16.5,57.7,36.5
9,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
10,Cordarrelle Patterson,NE,WR,12,191,15.9,22.9,19.9,10.5,27.7,30.4,71.5,37.4
11,DeSean Jackson,TB,WR,11,424,38.5,49.6,1.2,16.5,10.6,17.7,156.5,36.9
12,Tommylee Lewis,NO,WR,3,35,11.7,14.6,0,2.9,2.9,2.9,9.8,28
13,Davante Adams,GB,WR,12,747,62.2,94,0,17,11.4,17,274.5,36.7
14,Calvin Ridley,ATL,WR,12,482,40.2,60.5,1.2,14.7,11.6,16,167.4,34.7
15,Julio Jones,ATL,WR,12,648,54,81.3,0.3,20.5,13.6,20.8,259.5,40
16,Dwayne Harris,OAK,WR,11,23,2.1,3.2,8.7,26.1,34.8,34.8,11.2,48.7
17,AJ Green,CIN,WR,9,459,51,60.9,0,16.8,10,16.8,156.4,34.1
18,Michael Thomas,NO,WR,12,699,58.2,88,0,15,13,15,258,36.9
19,Adam Thielen,MIN,WR,12,782,65.2,97,0.3,17.4,12.8,17.6,298.6,38.2
19,Keenan Allen,LAC,WR,12,620,51.7,83.4,1.3,18.2,14.7,19.5,230.1,37.1
21,Jake Kumerow,GB,WR,1,5,5,6.6,0,40,20,40,2.1,42
22,Antonio Brown,PIT,WR,12,807,67.2,94.9,0,16.7,10.2,16.9,267.8,33.2
22,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
24,Odell Beckham Jr,NYG,WR,12,716,59.7,93.7,0.7,17.3,11.7,18.3,246.34,34.4
25,T.Y. Hilton,IND,WR,10,546,54.6,78.2,0,15.8,9.7,15.8,176.7,32.4
26,Mike Evans,TB,WR,12,717,59.8,83.9,0,14.6,9.2,14.6,231.1,32.2
27,Derrick Willies,CLE,WR,5,30,6,7.7,0,16.7,10,16.7,9.1,30.3
28,Keith Kirkwood,NO,WR,4,116,29,45.7,0,11.2,6,11.2,30.3,26.1
29,Golden Tate,PHI,WR,11,496,45.1,69.6,0.8,19.4,13.3,20.2,167.3,33.7
30,Tyler Lockett,SEA,WR,12,660,55,84.2,1.4,8.5,8,9.8,178.1,27
31,Will Fuller,HOU,WR,7,375,53.6,77,0,12,8.5,12,115.3,30.7
32,Mike Williams,LAC,WR,12,460,38.3,61.9,0.9,9.1,6.7,10,117.7,25.6
33,Tyler Boyd,CIN,WR,12,670,55.8,88.9,0.3,14.5,10.7,14.9,208.1,31.1
33,Chris Godwin,TB,WR,12,504,42,58.9,0,13.3,9.7,13.3,153.6,30.5
33,Isaiah McKenzie,BUF,WR,4,78,19.5,28.3,6.4,10.3,15.4,16.7,23.1,29.6
36,Emmanuel Sanders,DEN,WR,12,658,54.8,84.3,0.6,14.9,11.6,15.7,207.22,31.5
37,JuJu Smith-Schuster,PIT,WR,12,716,59.7,84.2,0.1,16.6,11.7,16.8,238.7,33.3
37,Stefon Diggs,MIN,WR,11,660,60,81.9,1.2,18.3,13.9,19.5,222.7,33.7
39,DeAndre Hopkins,HOU,WR,12,821,68.4,99.3,0.1,13.9,10,14.1,248.8,30.3
40,D.J. Moore,CAR,WR,12,463,38.6,60.8,2.4,12.1,11.4,14.5,130.9,28.3
41,Jaron Brown,SEA,WR,11,251,22.8,32,0,6.4,4.4,6.4,56,22.3
42,Brandin Cooks,LAR,WR,12,738,61.5,90,0.9,12.2,9.5,13.1,208.7,28.3
43,Robert Woods,LAR,WR,12,791,65.9,96.5,1.9,12.4,10,14.3,212.3,26.8
43,Geronimo Allison,GB,WR,5,241,48.2,59.1,0,12.4,8.3,12.4,62.3,25.9
45,Dante Pettis,SF,WR,9,317,35.2,53.5,0.3,8.8,5.4,9.1,74.2,23.4
46,David Moore,SEA,WR,12,416,34.7,53.1,0.2,9.1,5.5,9.4,96.8,23.3
47,Josh Gordon,NE,WR,10,506,50.6,68.6,0,11.9,6.9,11.9,127.2,25.1
47,Russell Shepard,NYG,WR,10,123,12.3,19.4,0,8.9,5.7,8.9,27.9,22.7
49,Marcus Johnson,IND,WR,5,95,19,26.2,1.1,8.4,7.4,9.5,22,23.2
50,Ted Ginn,NO,WR,4,170,42.5,60.9,1.8,12.9,8.8,14.7,41.1,24.2
51,Julian Edelman,NE,WR,8,499,62.4,87.9,1.4,13.8,11.2,15.6,134.52,27
51,Sammy Watkins,KC,WR,10,462,46.2,58.8,1.1,11.9,9.7,13,121.1,26.2
51,Rashard Higgins,CLE,WR,9,342,38,48.6,0,10.2,7.3,10.2,80.7,23.6
54,Anthony Miller,CHI,WR,11,481,43.7,64.1,0.6,10.4,7.1,11.2,110.72,23
55,Amari Cooper,DAL,WR,11,584,53.1,77.7,0.2,12.2,9.1,12.3,155.3,26.6
55,Marquise Goodwin,SF,WR,8,367,45.9,57.1,1.1,8.7,5.7,9.8,78.8,21.5
57,Robert Foster,BUF,WR,9,199,22.1,34.3,0,9.5,4,9.5,42.6,21.4
58,Adam Humphries,TB,WR,12,582,48.5,68.1,0.3,12.5,9.5,12.9,144.7,24.9
59,Kenny Golladay,DET,WR,12,744,62,91.7,0.1,12.4,7.5,12.5,177.2,23.8
59,Ryan Switzer,PIT,WR,12,193,16.1,22.7,2.6,18.1,17.6,20.7,59.1,30.6
61,Corey Davis,TEN,WR,12,671,55.9,89.3,0.6,13.6,8.3,14.2,161.8,24.1
62,Tyrell Williams,LAC,WR,12,550,45.8,74,0.4,8,5.6,8.4,119.8,21.8
63,John Brown,BAL,WR,12,589,49.1,65.2,0.5,13.4,6.6,13.9,131.3,22.3
64,Marvin Jones,DET,WR,9,538,59.8,72.8,0,11.5,6.5,11.5,118.8,22.1
65,Christian Kirk,ARI,WR,12,542,45.2,79.1,0.6,12.5,8.5,13.1,123.5,22.8
66,Tre'Quan Smith,NO,WR,11,416,37.8,52.4,0,8.2,5.3,8.2,89.1,21.4
67,Jordan Matthews,PHI,WR,10,277,27.7,41.2,0,8.7,6.1,8.7,57.1,20.6
68,Marvin Hall,ATL,WR,12,141,11.8,17.7,0.7,9.2,7.1,9.9,29.2,20.7
69,Dede Westbrook,JAX,WR,12,600,50,74.8,1.2,11.8,8.8,13,134.2,22.4
70,Jakeem Grant,MIA,WR,10,282,28.2,39.6,0.4,12.1,7.8,12.4,72.3,25.6
71,Devin Funchess,CAR,WR,11,560,50.9,73.5,0,12.7,7.5,12.7,118.6,21.2
72,Demaryius Thomas,HOU,WR,12,614,51.2,75.9,0,11.4,7.5,11.4,132.3,21.5
72,Alshon Jeffery,PHI,WR,9,537,59.7,80.3,0,12.1,8,12.1,119.2,22.2
72,Taywan Taylor,TEN,WR,9,264,29.3,35.2,0,13.3,9.1,13.3,63.8,24.2
75,Terrelle Pryor,BUF,WR,8,277,34.6,41.7,0.4,10.8,6.1,11.2,53.1,19.2
76,Larry Fitzgerald,ARI,WR,12,622,51.8,90.8,0,12.4,7.6,12.4,132.8,21.4
76,Allen Robinson,CHI,WR,10,613,61.3,75.6,0,11.6,6.7,11.6,125.3,20.4
76,Keon Hatcher,OAK,WR,3,6,2,2.9,0,33.3,16.7,33.3,1.8,30
79,Courtland Sutton,DEN,WR,12,565,47.1,72.3,0,10.4,5,10.4,101.8,18
80,John Ross,CIN,WR,9,374,41.6,59.1,0.5,10.4,4.8,11,64.8,17.3
80,Keke Coutee,HOU,WR,6,267,44.5,39,1.1,15.4,11.6,16.5,65.7,24.6
82,Devante Parker,MIA,WR,7,269,38.4,55.9,0,13.4,7.8,13.4,57.8,21.5
