Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
94,Jordan Matthews,PHI,WR,6,14,10,71.4,200,1,56,14.3,20,0,0,0,0,0,0,6,36
95,Jamison Crowder,WAS,WR,4,20,13,65,134,1,24,6.7,10.3,3,35,11.7,0,0,0,9,35.9
96,Martavis Bryant,OAK,WR,6,22,14,63.6,220,0,47,10,15.7,1,4,4,0,1,1,5.9,35.4
97,Michael Gallup,DAL,WR,7,22,10,45.5,190,1,49,8.6,19,0,0,0,0,0,0,5,35
98,Allen Hurns,DAL,WR,7,28,13,46.4,158,1,33,5.6,12.2,0,0,0,0,1,0,5,34.8
99,Chris Conley,KC,WR,8,19,13,68.4,104,2,19,5.5,8,0,0,0,0,1,1,4.3,34.4
100,Zach Pascal,IND,WR,8,28,15,53.6,120,1,18,4.3,8,1,8,8,0,0,0,4.2,33.8
101,Aldrick Robinson,MIN,WR,6,10,5,50,95,3,34,9.5,19,0,0,0,0,0,0,5.4,32.5
102,Josh Doctson,WAS,WR,6,30,16,53.3,159,0,15,5.3,9.9,0,0,0,0,0,0,5.3,31.9
103,Brandon Marshall,SEA,WR,7,23,11,47.8,136,1,27,5.9,12.4,0,0,0,0,0,0,4.4,30.6
104,Doug Baldwin,SEA,WR,5,20,14,70,159,0,42,8,11.4,0,0,0,0,0,0,6,29.9
105,Josh Reynolds,LAR,WR,8,12,7,58.3,98,2,22,8.2,14,2,8,4,0,0,0,3.7,29.6
106,Devante Parker,MIA,WR,3,13,8,61.5,174,0,46,13.4,21.8,0,0,0,0,0,0,9.5,28.4
107,Chad Williams,ARI,WR,8,31,11,35.5,113,1,22,3.6,10.3,0,0,0,0,0,0,3.5,28.3
108,Ryan Switzer,PIT,WR,7,16,13,81.2,67,1,14,4.2,5.2,4,14,3.5,0,0,0,3.9,27.1
109,Curtis Samuel,CAR,WR,4,8,6,75,81,1,25,10.1,13.5,2,9,4.5,1,0,0,6.8,27
110,D.J. Chark,JAX,WR,8,23,12,52.2,159,0,38,6.9,13.2,0,0,0,0,1,1,3.4,26.9
111,Marvin Hall,ATL,WR,7,9,8,88.9,127,1,47,14.1,15.9,0,0,0,0,0,0,3.8,26.7
112,John Ross,CIN,WR,5,16,7,43.8,79,2,39,4.9,11.3,1,-3,-3,0,0,0,5.3,26.6
113,Jaron Brown,SEA,WR,7,10,7,70,73,2,19,7.3,10.4,0,0,0,0,0,0,3.8,26.3
114,Cameron Meredith,NO,WR,5,10,9,90,114,1,46,11.4,12.7,0,0,0,0,1,1,5.1,25.4
115,Bruce Ellington,HOU,WR,3,12,8,66.7,92,1,23,7.7,11.5,0,0,0,0,0,0,7.7,23.2
116,Andre Holmes,BUF,WR,8,21,10,47.6,129,0,24,6.1,12.9,0,0,0,0,0,0,2.9,22.9
117,Damion Ratley,CLE,WR,5,15,10,66.7,126,0,27,8.4,12.6,0,0,0,0,0,0,4.5,22.6
118,Deonte Thompson,DAL,WR,7,18,12,66.7,103,0,13,5.7,8.6,0,0,0,0,0,0,3.2,22.3
119,Chris Moore,BAL,WR,8,14,11,78.6,98,0,20,7,8.9,3,14,4.7,0,0,0,2.8,22.2
120,Marcus Johnson,IND,WR,5,8,6,75,102,1,34,12.8,17,1,-2,-2,0,0,0,4.4,22
121,Maurice Harris,WAS,WR,5,17,11,64.7,102,0,42,6,9.3,1,6,6,0,0,0,4.4,21.8
122,Equanimeous St. Brown,GB,WR,4,8,6,75,139,0,54,17.4,23.2,0,0,0,0,0,0,5,19.9
123,Josh Bellamy,CHI,WR,7,11,7,63.6,65,1,20,5.9,9.3,0,0,0,0,0,0,2.8,19.5
124,Dante Pettis,SF,WR,5,8,3,37.5,96,1,39,12,32,0,0,0,0,2,0,3.7,18.6
125,Cody Latimer,NYG,WR,4,9,6,66.7,108,0,39,12,18,0,0,0,0,0,0,4.2,16.8
125,Demarcus Robinson,KC,WR,8,9,6,66.7,48,1,23,5.3,8,0,0,0,0,0,0,2.1,16.8
127,Tim Patrick,DEN,WR,8,6,3,50,56,1,26,9.3,18.7,1,13,13,0,0,0,2,15.9
127,James Washington,PIT,WR,6,14,5,35.7,49,1,14,3.5,9.8,0,0,0,0,0,0,2.6,15.9
129,Alex Erickson,CIN,WR,8,14,8,57.1,44,0,10,3.1,5.5,1,8,8,0,0,0,1.6,13.2
