Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
57,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,11.1,44.4
58,LeGarrette Blount,DET,RB,7,60,170,2.8,3,4,4,37,0,1,0,6.1,42.7
59,Theo Riddick,DET,RB,5,8,30,3.8,0,30,23,138,0,0,0,8,39.8
60,Mark Ingram,NO,RB,3,41,148,3.6,2,8,7,59,0,1,0,13.2,39.7
61,Jordan Wilkins,IND,RB,8,52,235,4.5,0,11,10,42,0,1,1,4.6,36.7
62,Spencer Ware,KC,RB,8,18,106,5.9,0,11,9,89,0,0,0,3.6,28.5
62,Dalvin Cook,MIN,RB,3,36,98,2.7,0,12,9,107,0,1,1,9.5,28.5
64,Malcolm Brown,LAR,RB,8,37,189,5.1,0,5,3,24,0,0,0,3.3,26.3
65,Rashaad Penny,SEA,RB,7,38,135,3.6,0,9,6,62,0,0,0,3.7,25.7
66,Kapri Bibbs,WAS,RB,5,10,36,3.6,1,7,5,49,1,0,0,5.1,25.5
67,Chase Edmonds,ARI,RB,8,22,61,2.8,0,15,13,63,0,0,0,3.2,25.4
68,Raheem Mostert,SF,RB,8,27,175,6.5,0,7,6,25,0,1,1,3.1,25
69,Doug Martin,OAK,RB,7,40,171,4.3,0,7,6,22,0,1,1,3.5,24.3
70,Marcus Murphy,BUF,RB,5,21,123,5.9,0,14,7,25,0,1,0,4.4,21.8
71,Jacquizz Rodgers,TB,RB,7,13,25,1.9,0,12,11,79,0,0,0,3.1,21.4
72,CJ Anderson,CAR,RB,7,21,104,5,0,3,1,24,1,0,0,2.8,19.8
73,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,3.9,19.7
74,Ronald Jones II,TB,RB,4,19,42,2.2,1,7,6,34,0,0,0,4.9,19.6
74,Trenton Cannon,NYJ,RB,8,14,29,2.1,0,10,8,87,0,0,0,2.4,19.6
76,Anthony Sherman,KC,FB,8,0,0,0,0,5,5,75,1,0,0,2.3,18.5
77,Wayne Gallman,NYG,RB,8,15,48,3.2,0,12,8,62,0,1,1,2.2,18
78,CJ Ham,MIN,RB,8,4,7,1.8,0,12,8,61,0,0,0,1.8,14.8
79,Rex Burkhead,NE,RB,3,24,86,3.6,0,6,3,31,0,1,0,4.9,14.7
80,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,7,14.1
81,Leonard Fournette,JAX,RB,2,20,71,3.6,0,4,4,19,0,0,0,6.5,13
82,Josh Adams,PHI,RB,5,20,107,5.4,0,1,1,6,0,0,0,2.5,12.3
83,Mark Walton,CIN,RB,6,13,24,1.8,0,8,5,41,0,0,0,1.9,11.5
84,Kenneth Dixon,BAL,RB,1,13,44,3.4,1,0,0,0,0,0,0,10.4,10.4
85,James Develin,NE,RB,8,0,0,0,0,12,7,32,0,0,0,1.3,10.2
86,Zach Line,NO,FB,7,0,0,0,0,6,3,10,1,0,0,1.4,10
87,Darren Sproles,PHI,RB,1,5,10,2,0,7,4,22,0,0,0,7.2,7.2
88,Gus Edwards,BAL,RB,3,14,54,3.9,0,1,1,7,0,0,0,2.4,7.1
88,Roc Thomas,MIN,RB,5,8,30,3.8,0,4,2,21,0,0,0,1.4,7.1
90,Alex Armah,CAR,RB,7,4,10,2.5,1,0,0,0,0,0,0,1,7
91,Mike Boone,MIN,RB,6,11,47,4.3,0,3,2,1,0,0,0,1.1,6.8
91,Stevan Ridley,PIT,RB,6,10,30,3,0,3,3,18,0,1,1,1.1,6.8
93,Kenjon Barner,NE,RB,4,18,67,3.7,0,0,0,0,0,0,0,1.7,6.7
94,Andy Janovich,DEN,FB,8,1,2,2,0,2,2,43,0,0,0,0.8,6.5
94,Tyler Ervin,HOU,RB,8,0,0,0,0,4,3,35,0,1,0,0.8,6.5
96,Keith Smith,OAK,FB,7,1,0,0,0,5,4,22,0,0,0,0.9,6.2
97,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,1.3,5.2
97,CJ Prosise,SEA,RB,4,0,0,0,0,3,3,22,0,0,0,1.3,5.2
99,Rod Smith,DAL,RB,7,15,41,2.7,0,2,1,0,0,0,0,0.7,5.1
100,Damien Williams,KC,RB,7,3,1,0.3,0,3,3,18,0,0,0,0.7,4.9
101,Justin Jackson,LAC,RB,2,5,7,1.4,0,2,2,19,0,0,0,2.3,4.6
102,Patrick DiMarco,BUF,FB,8,0,0,0,0,2,2,24,0,0,0,0.6,4.4
102,Shaun Wilson,TB,RB,3,2,15,7.5,0,2,2,9,0,0,0,1.5,4.4
104,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,4.1,4.1
104,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,1,4.1
106,Derrick Coleman,ARI,FB,8,2,3,1.5,0,2,2,17,0,0,0,0.5,4
107,Dontrell Hilliard,CLE,RB,3,0,0,0,0,1,1,24,0,0,0,1.1,3.4
107,Jamaal Charles,JAX,RB,2,6,7,1.2,0,3,2,7,0,0,0,1.7,3.4
109,Tommy Bohanon,JAX,FB,8,0,0,0,0,4,2,10,0,0,0,0.4,3
110,Roosevelt Nix,PIT,RB,7,0,0,0,0,2,1,19,0,0,0,0.4,2.9
110,Ameer Abdullah,DET,RB,3,1,1,1,0,2,2,18,0,1,1,1,2.9
112,Benjamin Cunningham,CHI,RB,7,4,8,2,0,2,1,9,0,0,0,0.4,2.7
112,Ricky Ortiz,ATL,RB,7,0,0,0,0,3,2,7,0,0,0,0.4,2.7
114,Tre Madden,SEA,RB,7,3,3,1,0,2,1,7,0,0,0,0.3,2
115,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
115,Jaylen Samuels,PIT,FB,5,4,17,4.2,0,0,0,0,0,0,0,0.3,1.7
117,Alan Cross,TB,FB,7,0,0,0,0,3,1,6,0,0,0,0.2,1.6
117,Michael Burton,CHI,FB,3,0,0,0,0,1,1,6,0,0,0,0.5,1.6
119,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
