Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,10,17.59,17.88,31.95,12.93,4.1,84.45
2,Minnesota Vikings,MIN,DST,10,18.31,20.61,31.46,11.96,6.3,88.64
3,Jacksonville Jaguars,JAX,DST,10,18.21,19.65,31.13,14.08,6.1,89.17
4,Buffalo Bills,BUF,DST,10,14.41,27.03,30.05,10.21,7.5,89.2
5,Dallas Cowboys,DAL,DST,10,18.57,21.9,31.07,14.14,5.9,91.58
6,Tennessee Titans,TEN,DST,10,17.7,18.57,43.48,7.28,4.7,91.74
7,Houston Texans,HOU,DST,10,16.84,22.56,32.93,14.5,5.4,92.23
8,Chicago Bears,CHI,DST,10,18.54,18.52,41.76,9.97,4.7,93.49
9,Los Angeles Chargers,LAC,DST,10,17.52,26.22,33.93,11.95,4.4,94.02
10,Seattle Seahawks,SEA,DST,10,17.87,24.16,40.7,8.81,3.9,95.44
11,Green Bay Packers,GB,DST,10,17.67,24.32,40.43,8.62,6.1,97.14
12,Arizona Cardinals,ARI,DST,10,16.39,30.15,35.7,9.85,6,98.09
13,Pittsburgh Steelers,PIT,DST,10,20.35,20.59,37.21,14.77,5.7,98.62
14,Washington Redskins,WAS,DST,10,20.37,23.32,40.29,10.15,4.8,98.93
15,Indianapolis Colts,IND,DST,10,19.76,25.48,33.62,15.24,7.2,101.3
16,New York Jets,NYJ,DST,10,18.7,25.62,43.03,8.14,6.8,102.29
17,San Francisco 49ers,SF,DST,10,20.59,25.66,38.5,11.68,6,102.43
18,Denver Broncos,DEN,DST,10,19.01,26.75,36.91,14.1,6.2,102.97
18,Detroit Lions,DET,DST,10,20.96,28,39.02,11.49,3.5,102.97
20,New York Giants,NYG,DST,10,18.78,27.27,36.33,11.76,8.9,103.04
21,Miami Dolphins,MIA,DST,10,18.19,31.09,35.26,12.69,6.1,103.33
22,Oakland Raiders,OAK,DST,10,19.89,28.88,36.42,13.61,5.9,104.7
23,New Orleans Saints,NO,DST,10,24.4,19.74,49.22,8.27,3.4,105.03
24,New England Patriots,NE,DST,10,22.41,25.39,36.68,16.01,5.9,106.39
25,Carolina Panthers,CAR,DST,10,22.29,21.25,38.1,18.78,6.3,106.71
26,Philadelphia Eagles,PHI,DST,10,22.17,24.05,46.75,7.85,6.7,107.52
27,Los Angeles Rams,LAR,DST,11,22.04,24.96,40.8,14.67,6.73,109.21
28,Cleveland Browns,CLE,DST,10,20.38,30.69,41.66,15.72,6.3,114.75
29,Kansas City Chiefs,KC,DST,11,23.5,33.65,38.29,16.29,5.91,117.65
30,Atlanta Falcons,ATL,DST,10,25.35,34.85,41.98,11.52,4.2,117.9
31,Tampa Bay Buccaneers,TB,DST,10,25.16,30.6,43.96,16.59,6.7,123.01
32,Cincinnati Bengals,CIN,DST,10,26.43,33.49,42.24,15.45,7.4,125.01
