Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,6,37,111,3,9,11,6,53,2,0,0,15.4,92.4
2,Melvin Gordon,LAC,RB,6,15,92,6.1,6,10,6,33,3,2,0,12.8,76.5
3,Alvin Kamara,NO,RB,5,21,54,2.6,4,15,11,64,1,0,0,11.4,56.8
4,James Conner,PIT,RB,6,16,34,2.1,5,3,2,8,0,1,0,6.7,40.2
5,James White,NE,RB,6,6,14,2.3,0,9,7,60,4,0,0,6.4,38.4
6,David Johnson,ARI,RB,6,14,33,2.4,5,5,2,4,0,0,0,6,35.7
6,Alex Collins,BAL,RB,6,11,36,3.3,4,4,2,11,1,1,1,6,35.7
8,Kareem Hunt,KC,RB,6,15,37,2.5,4,3,1,5,1,0,0,5.9,35.2
9,Carlos Hyde,CLE,RB,6,17,33,1.9,5,1,0,0,0,1,0,5.6,33.3
10,Javorius Allen,BAL,RB,6,10,12,1.2,3,3,3,27,1,0,0,5.2,30.9
11,Saquon Barkley,NYG,RB,6,12,25,2.1,2,7,5,35,1,0,0,4.8,29
12,TJ Yeldon,JAX,RB,6,10,37,3.7,1,6,3,35,2,0,0,4.7,28.2
13,Ezekiel Elliott,DAL,RB,6,14,39,2.8,3,5,4,13,0,1,0,4.5,27.2
14,Marshawn Lynch,OAK,RB,6,14,28,2,3,5,4,5,0,0,0,4.2,25.3
15,Ito Smith,ATL,RB,6,14,38,2.7,3,2,2,13,0,1,0,4.2,25.1
15,Tevin Coleman,ATL,RB,6,7,21,3,1,4,3,20,2,0,0,4.2,25.1
15,Nyheim Hines,IND,RB,6,6,16,2.7,1,4,3,25,2,0,0,4.2,25.1
18,Joe Mixon,CIN,RB,4,12,22,1.8,2,2,2,21,1,0,0,6.1,24.3
19,Jay Ajayi,PHI,RB,4,11,28,2.5,3,2,1,4,0,1,1,5.8,23.2
20,Sony Michel,NE,RB,5,21,49,2.3,3,0,0,0,0,0,0,4.6,22.9
21,Giovani Bernard,CIN,RB,4,6,20,3.3,3,1,1,14,0,0,0,5.6,22.4
21,Wendell Smallwood,PHI,RB,6,9,26,2.9,1,5,3,28,1,0,0,3.7,22.4
23,Mike Davis,SEA,RB,5,7,40,5.7,3,0,0,0,0,0,0,4.4,22
24,Adrian Peterson,WAS,RB,5,17,37,2.2,3,0,0,0,0,0,0,4.3,21.7
25,Isaiah Crowell,NYJ,RB,6,14,36,2.6,3,0,0,0,0,0,0,3.6,21.6
26,Matt Breida,SF,RB,6,9,32,3.6,1,3,3,26,1,0,0,3.5,20.8
27,Corey Clement,PHI,RB,4,11,55,5,2,1,1,0,0,0,0,4.6,18.5
28,Tarik Cohen,CHI,RB,5,4,25,6.2,0,5,4,29,1,0,0,3.1,15.4
29,Royce Freeman,DEN,RB,6,8,24,3,2,0,0,0,0,0,0,2.4,14.4
30,Austin Ekeler,LAC,RB,6,9,19,2.1,0,3,3,24,1,0,0,2.2,13.3
31,Mark Ingram,NO,RB,1,3,4,1.3,2,0,0,0,0,0,0,12.4,12.4
32,Christian McCaffrey,CAR,RB,5,8,16,2,0,4,3,24,1,1,1,2.4,12
33,Chris Thompson,WAS,RB,4,3,1,0.3,0,4,3,24,1,0,0,2.9,11.5
34,Phillip Lindsay,DEN,RB,6,11,40,3.6,1,2,1,3,0,0,0,1.9,11.3
35,Kerryon Johnson,DET,RB,5,3,15,5,1,2,2,6,0,0,0,2,10.1
36,Zach Line,NO,FB,5,0,0,0,0,3,3,10,1,0,0,2,10
37,Frank Gore,MIA,RB,6,7,21,3,0,1,1,6,1,0,0,1.6,9.7
37,Chris Carson,SEA,RB,5,8,16,2,1,1,1,11,0,0,0,1.9,9.7
37,Jordan Howard,CHI,RB,5,10,22,2.2,1,3,2,5,0,1,1,1.9,9.7
40,Lamar Miller,HOU,RB,5,13,22,1.7,0,1,1,4,1,0,0,1.9,9.6
41,Dion Lewis,TEN,RB,6,6,11,1.8,1,1,1,2,0,0,0,1.4,8.3
42,Aaron Jones,GB,RB,4,5,21,4.2,1,0,0,0,0,0,0,2,8.1
43,Peyton Barber,TB,RB,5,10,5,0.5,0,3,1,5,1,0,0,1.6,8
44,Alfred Blue,HOU,RB,6,7,5,0.7,1,2,1,4,0,0,0,1.3,7.9
45,Kenyan Drake,MIA,RB,6,6,13,2.2,1,2,1,0,0,1,1,1.2,7.3
