Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
50,Chester Rogers,IND,WR,7,46,32,69.6,295,1,29,6.4,9.2,0,0,0,0,0,0,9.9,69.5
51,Robby Anderson,NYJ,WR,7,36,17,47.2,314,3,76,8.7,18.5,1,-9,-9,0,2,2,9.5,66.5
52,Allen Robinson,CHI,WR,6,43,25,58.1,285,2,39,6.6,11.4,0,0,0,0,0,0,10.9,65.5
53,Danny Amendola,MIA,WR,7,38,30,78.9,294,1,24,7.7,9.8,0,0,0,0,0,0,9.3,65.4
54,Marvin Jones,DET,WR,6,37,19,51.4,270,3,34,7.3,14.2,0,0,0,0,0,0,10.7,64
55,Amari Cooper,OAK,WR,6,31,22,71,280,1,36,9,12.7,1,9,9,0,0,0,10.5,62.9
56,Jakeem Grant,MIA,WR,7,23,16,69.6,216,2,52,9.4,13.5,1,5,5,0,0,0,8.9,62.1
57,Chris Hogan,NE,WR,7,30,21,70,284,2,42,9.5,13.5,0,0,0,0,0,0,8.8,61.4
58,Geronimo Allison,GB,WR,4,29,19,65.5,289,2,64,10,15.2,0,0,0,0,1,0,15,59.9
59,Ryan Grant,IND,WR,6,36,26,72.2,270,1,23,7.5,10.4,0,0,0,0,0,0,9.8,59
60,Larry Fitzgerald,ARI,WR,7,43,26,60.5,255,1,27,5.9,9.8,0,0,0,0,0,0,8.2,57.5
61,Quincy Enunwa,NYJ,WR,6,43,22,51.2,287,1,42,6.7,13,1,0,0,0,2,1,9.3,55.7
62,Marquise Goodwin,SF,WR,5,19,11,57.9,204,3,67,10.7,18.5,3,7,2.3,0,0,0,10.6,53.1
62,Josh Gordon,NE,WR,5,25,14,56,241,2,55,9.6,17.2,0,0,0,0,0,0,10.6,53.1
64,Phillip Dorsett,NE,WR,7,30,20,66.7,198,2,20,6.6,9.9,0,0,0,0,0,0,7.4,51.8
65,Courtland Sutton,DEN,WR,7,33,14,42.4,246,2,42,7.5,17.6,0,0,0,0,0,0,7.2,50.6
66,Keke Coutee,HOU,WR,4,30,21,70,196,1,22,6.5,9.3,3,0,0,0,0,0,12.4,49.6
67,Terrelle Pryor,NYJ,WR,6,22,14,63.6,235,2,44,10.7,16.8,0,0,0,0,0,0,8.2,49.5
68,Paul Richardson,WAS,WR,5,24,16,66.7,212,2,46,8.8,13.2,1,2,2,0,0,0,9.9,49.4
69,Tajae Sharpe,TEN,WR,7,24,16,66.7,222,1,19,9.2,13.9,1,16,16,0,0,0,7,48.8
