Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
51,Jordan Akins,HOU,TE,7,11,9,81.8,89,0,18,8.1,9.9,0,0,0,0,0,0,2.6,17.9
52,Tyler Higbee,LAR,TE,7,10,5,50,64,1,20,6.4,12.8,0,0,0,0,0,0,2.5,17.4
53,Ian Thomas,CAR,TE,6,16,10,62.5,72,0,27,4.5,7.2,0,0,0,0,0,0,2.9,17.2
54,Gerald Everett,LAR,TE,7,14,9,64.3,76,0,17,5.4,8.4,0,0,0,0,0,0,2.4,16.6
55,Jake Butt,DEN,TE,3,12,8,66.7,85,0,22,7.1,10.6,0,0,0,0,0,0,5.5,16.5
56,Jack Doyle,IND,TE,2,15,9,60,80,0,13,5.3,8.9,0,0,0,0,1,1,8,16
57,Jordan Thomas,HOU,TE,7,9,4,44.4,91,0,39,10.1,22.8,0,0,0,0,0,0,1.9,13.1
58,Logan Paulsen,ATL,TE,7,3,3,100,38,1,17,12.7,12.7,0,0,0,0,0,0,1.8,12.8
59,Jordan Leggett,NYJ,TE,6,7,4,57.1,23,1,10,3.3,5.8,0,0,0,0,0,0,2,12.3
60,Garrett Celek,SF,TE,7,5,3,60,29,1,11,5.8,9.7,0,0,0,0,0,0,1.7,11.9
61,Joshua Perkins,PHI,TE,7,10,5,50,67,0,30,6.7,13.4,0,0,0,0,0,0,1.7,11.7
62,AJ Derby,MIA,TE,3,3,2,66.7,35,1,19,11.7,17.5,0,0,0,0,0,0,3.8,11.5
62,Eric Tomlinson,NYJ,TE,7,10,6,60,55,0,24,5.5,9.2,0,0,0,0,0,0,1.6,11.5
64,Matt LaCosse,DEN,TE,7,9,5,55.6,55,0,17,6.1,11,0,0,0,0,0,0,1.5,10.5
65,Luke Willson,DET,TE,6,9,6,66.7,37,0,13,4.1,6.2,0,0,0,0,0,0,1.6,9.7
66,Jonnu Smith,TEN,TE,7,13,5,38.5,44,0,12,3.4,8.8,0,0,0,0,0,0,1.3,9.4
67,Delanie Walker,TEN,TE,1,7,4,57.1,52,0,16,7.4,13,0,0,0,0,0,0,9.2,9.2
68,Mo Alie-Cox,IND,TE,3,5,3,60,58,0,34,11.6,19.3,0,0,0,0,0,0,2.9,8.8
69,David Morgan,MIN,TE,6,5,5,100,36,0,13,7.2,7.2,0,0,0,0,0,0,1.4,8.6
70,Antony Auclair,TB,TE,6,5,5,100,28,0,8,5.6,5.6,0,0,0,0,0,0,1.3,7.8
71,Jermaine Gresham,ARI,TE,5,4,3,75,46,0,26,11.5,15.3,0,0,0,0,0,0,1.5,7.6
71,Tyler Kroft,CIN,TE,5,6,4,66.7,36,0,16,6,9,0,0,0,0,0,0,1.5,7.6
73,Xavier Grimble,PIT,TE,6,4,3,75,44,0,22,11,14.7,0,0,0,0,0,0,1.2,7.4
74,Rico Gathers,DAL,TE,6,6,2,33.3,46,0,32,7.7,23,0,0,0,0,0,0,1.1,6.6
75,Jacob Hollister,NE,TE,3,3,3,100,35,0,23,11.7,11.7,0,0,0,0,0,0,2.2,6.5
76,Logan Thomas,BUF,TE,5,4,3,75,31,0,24,7.8,10.3,0,0,0,0,0,0,1.2,6.1
77,Derek Carrier,OAK,TE,6,5,3,60,25,0,12,5,8.3,0,0,0,0,0,0,0.9,5.5
78,David Grinnage,JAX,TE,2,3,3,100,24,0,11,8,8,0,0,0,0,0,0,2.7,5.4
79,Lee Smith,OAK,TE,6,4,3,75,23,0,10,5.8,7.7,0,0,0,0,0,0,0.9,5.3
80,Scott Simonson,NYG,TE,7,6,2,33.3,31,0,24,5.2,15.5,0,0,0,0,0,0,0.7,5.1
81,Levine Toilolo,DET,TE,6,4,3,75,19,0,8,4.8,6.3,0,0,0,0,0,0,0.8,4.9
82,Blake Jarwin,DAL,TE,7,6,2,33.3,27,0,16,4.5,13.5,0,0,0,0,0,0,0.7,4.7
83,Anthony Firkser,TEN,TE,2,2,2,100,25,0,18,12.5,12.5,0,0,0,0,0,0,2.2,4.5
84,Seth DeValve,CLE,TE,4,1,1,100,26,0,26,26,26,0,0,0,0,0,0,0.9,3.6
84,Eric Saubert,ATL,TE,7,4,2,50,16,0,8,4,8,0,0,0,0,0,0,0.5,3.6
86,Tyrone Swoopes,SEA,TE,1,1,1,100,23,0,23,23,23,0,0,0,0,0,0,3.3,3.3
86,Tyler Conklin,MIN,TE,7,2,2,100,13,0,7,6.5,6.5,0,0,0,0,0,0,0.5,3.3
88,Hakeem Valles,DET,TE,3,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,1,3.1
89,Dion Sims,CHI,TE,6,4,2,50,9,0,9,2.2,4.5,0,0,0,0,0,0,0.5,2.9
90,Dalton Schultz,DAL,TE,2,3,1,33.3,12,0,12,4,12,0,0,0,0,0,0,1.1,2.2
91,Orson Charles,CLE,TE,7,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,0.3,1.8
92,Hayden Hurst,BAL,TE,3,5,1,20,7,0,7,1.4,7,1,0,0,0,0,0,0.6,1.7
93,Khari Lee,BUF,TE,2,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.8,1.5
94,Chris Manhertz,CAR,TE,6,2,1,50,2,0,2,1,2,0,0,0,0,0,0,0.2,1.2
95,Dwayne Allen,NE,TE,7,2,1,50,-4,0,0,-2,-4,0,0,0,0,0,0,0.1,0.6
96,James Hurst,BAL,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Gabe Holmes,ARI,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Cole Wick,SF,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Alex Ellis,KC,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Jeremy Sprinkle,WAS,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Mason Schreck,CIN,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Darrell Daniels,SEA,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Sean Culkin,LAC,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Durham Smythe,MIA,TE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Marcedes Lewis,GB,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ben Braunecker,CHI,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Johnny Mundt,LAR,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,MyCole Pruitt,TEN,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ryan Hewitt,IND,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Brian Parker,DEN,TE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Blake Bell,JAX,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Ross Dwelley,SF,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Matt Lengel,CIN,TE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
