Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,6,129,623,4.8,9,30,21,247,2,1,1,31,186
2,Melvin Gordon,LAC,RB,6,91,466,5.1,6,42,30,279,3,1,0,28.6,171.5
3,Saquon Barkley,NYG,RB,6,84,438,5.2,4,51,40,373,2,0,0,27.2,163.1
4,Alvin Kamara,NO,RB,5,62,299,4.8,5,51,38,351,1,0,0,30.4,152
5,James Conner,PIT,RB,6,103,453,4.4,7,35,26,257,0,2,1,25.2,151
6,Ezekiel Elliott,DAL,RB,6,117,586,5,3,30,23,166,1,2,1,21.7,130.2
7,Kareem Hunt,KC,RB,6,103,456,4.4,4,15,10,171,2,0,0,19.1,114.7
8,James White,NE,RB,6,29,149,5.1,1,51,37,323,4,0,0,19,114.2
9,Christian McCaffrey,CAR,RB,5,71,349,4.9,0,40,34,238,1,1,1,20.7,103.7
10,TJ Yeldon,JAX,RB,6,67,299,4.5,1,37,25,223,3,1,1,16.7,100.2
11,David Johnson,ARI,RB,6,92,296,3.2,5,27,17,135,1,2,2,15.7,94.1
12,Isaiah Crowell,NYJ,RB,6,70,430,6.1,5,10,8,48,0,0,0,15.3,91.8
13,Matt Breida,SF,RB,6,63,430,6.8,2,13,11,90,1,0,0,14,84
14,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.7,82
15,Nyheim Hines,IND,RB,6,36,113,3.1,1,38,31,185,2,0,0,13.1,78.8
16,Austin Ekeler,LAC,RB,6,41,263,6.4,0,17,14,207,3,1,1,13,78
17,Tarik Cohen,CHI,RB,5,32,170,5.3,1,25,21,259,1,1,1,15.6,77.9
18,Carlos Hyde,CLE,RB,6,114,382,3.4,5,10,6,29,0,1,0,12.8,77.1
19,Phillip Lindsay,DEN,RB,6,61,346,5.7,1,19,14,113,1,0,0,12.5,74.9
20,Sony Michel,NE,RB,5,91,400,4.4,4,7,3,18,0,0,0,15,74.8
21,Adrian Peterson,WAS,RB,5,77,339,4.4,3,10,7,136,0,1,1,14.9,74.5
21,Joe Mixon,CIN,RB,4,71,336,4.7,2,19,13,99,1,0,0,18.6,74.5
23,Alex Collins,BAL,RB,6,76,271,3.6,4,14,9,77,1,2,2,12,71.8
24,Javorius Allen,BAL,RB,6,35,97,2.8,3,30,24,149,1,1,1,11.9,71.6
25,Tevin Coleman,ATL,RB,6,71,260,3.7,1,16,13,105,2,1,0,11.8,70.5
26,Kenyan Drake,MIA,RB,6,52,210,4,1,31,21,145,1,1,1,11.2,67.5
27,Chris Thompson,WAS,RB,4,23,100,4.3,0,31,26,200,1,0,0,15.5,62
28,Dion Lewis,TEN,RB,6,60,186,3.1,1,27,23,135,0,1,1,10,60.1
29,Jalen Richard,OAK,RB,6,11,32,2.9,0,37,31,253,0,0,0,9.9,59.5
30,Chris Carson,SEA,RB,5,78,352,4.5,1,9,6,61,0,1,1,11.7,58.3
31,Bilal Powell,NYJ,RB,6,75,323,4.3,0,17,10,105,1,2,1,9.6,57.8
32,Kerryon Johnson,DET,RB,5,50,286,5.7,1,15,13,68,0,0,0,11.5,57.4
33,Giovani Bernard,CIN,RB,4,34,155,4.6,3,21,14,78,0,0,0,13.8,55.3
34,Wendell Smallwood,PHI,RB,6,43,201,4.7,1,17,11,96,1,2,1,9,53.7
35,Mike Davis,SEA,RB,5,42,193,4.6,3,11,9,41,0,0,0,10.7,53.4
35,Latavius Murray,MIN,RB,6,54,261,4.8,1,13,10,63,0,0,0,8.9,53.4
37,Royce Freeman,DEN,RB,6,58,272,4.7,3,6,4,21,0,0,0,8.6,51.3
38,Lamar Miller,HOU,RB,5,73,271,3.7,0,13,10,79,1,1,1,10,50
38,Jordan Howard,CHI,RB,5,78,272,3.5,1,13,10,78,0,1,1,10,50
40,Frank Gore,MIA,RB,6,62,303,4.9,0,5,4,53,1,0,0,8.1,48.6
41,Corey Clement,PHI,RB,4,38,155,4.1,2,13,11,100,0,2,0,12.1,48.5
42,Ty Montgomery,GB,RB,6,24,99,4.1,1,21,14,168,0,1,0,7.8,46.7
43,Kyle Juszczyk,SF,FB,6,1,12,12,0,23,17,227,1,1,1,7.6,45.9
44,LeSean McCoy,BUF,RB,5,61,243,4,0,21,13,85,0,0,0,9.2,45.8
45,Duke Johnson,CLE,RB,6,19,111,5.8,0,22,14,164,0,1,0,7.6,45.5
46,Alfred Blue,HOU,RB,6,56,188,3.4,1,15,11,94,0,0,0,7.5,45.2
47,Ito Smith,ATL,RB,6,32,102,3.2,3,11,10,66,0,1,0,7.5,44.8
48,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,11.1,44.4
49,Alfred Morris,SF,RB,6,62,228,3.7,1,10,6,66,0,2,1,6.7,40.4
50,Theo Riddick,DET,RB,5,8,30,3.8,0,30,23,138,0,0,0,8,39.8
51,Peyton Barber,TB,RB,5,63,230,3.7,0,10,6,37,1,0,0,7.7,38.7
52,Jamaal Williams,GB,RB,6,59,224,3.8,0,16,8,57,0,0,0,6.4,38.1
53,Chris Ivory,BUF,RB,6,51,129,2.5,1,7,5,104,0,0,0,5.7,34.3
54,Aaron Jones,GB,RB,4,32,188,5.9,1,6,4,41,0,0,0,8.2,32.9
55,Devontae Booker,DEN,RB,6,13,51,3.9,0,20,15,127,0,0,0,5.5,32.8
56,Nick Chubb,CLE,RB,6,16,173,10.8,2,1,0,0,0,0,0,5.4,32.3
57,Derrick Henry,TEN,RB,6,72,240,3.3,0,6,4,17,0,0,0,5,30.02
58,Jordan Wilkins,IND,RB,6,44,175,4,0,10,9,34,0,1,1,4.8,28.9
59,Dalvin Cook,MIN,RB,3,36,98,2.7,0,12,9,107,0,1,1,9.5,28.5
60,LeGarrette Blount,DET,RB,5,47,117,2.5,2,3,3,14,0,1,0,5.6,28.1
61,Rashaad Penny,SEA,RB,6,38,135,3.6,0,9,6,62,0,0,0,4.3,25.7
62,Mark Ingram,NO,RB,1,16,53,3.3,2,3,2,20,0,1,0,21.3,21.3
63,Corey Grant,JAX,RB,5,13,40,3.1,0,12,9,67,0,0,0,3.9,19.7
64,Wayne Gallman,NYG,RB,6,14,49,3.5,0,12,8,62,0,1,1,3,18.1
65,CJ Anderson,CAR,RB,5,16,84,5.2,0,3,1,24,1,0,0,3.6,17.8
66,Malcolm Brown,LAR,RB,6,23,117,5.1,0,4,2,18,0,0,0,2.9,17.5
67,Chase Edmonds,ARI,RB,6,15,43,2.9,0,10,9,39,0,0,0,2.9,17.2
68,Spencer Ware,KC,RB,6,10,47,4.7,0,8,6,59,0,0,0,2.8,16.6
69,Anthony Sherman,KC,FB,6,0,0,0,0,4,4,65,1,0,0,2.8,16.5
70,Marlon Mack,IND,RB,2,22,123,5.6,0,4,2,6,0,0,0,7.4,14.9
71,Rex Burkhead,NE,RB,3,24,86,3.6,0,6,3,31,0,1,0,4.9,14.7
71,CJ Ham,MIN,RB,6,2,6,3,0,12,8,61,0,0,0,2.4,14.7
73,Doug Martin,OAK,RB,6,27,99,3.7,0,5,4,5,0,0,0,2.4,14.4
74,Devonta Freeman,ATL,RB,2,14,68,4.9,0,7,5,23,0,0,0,7,14.1
75,Leonard Fournette,JAX,RB,2,20,71,3.6,0,4,4,19,0,0,0,6.5,13
76,Jacquizz Rodgers,TB,RB,5,9,13,1.4,0,7,6,43,0,0,0,2.3,11.6
77,Raheem Mostert,SF,RB,6,18,98,5.4,0,2,2,6,0,1,1,1.9,11.4
78,Kenneth Dixon,BAL,RB,1,13,44,3.4,1,0,0,0,0,0,0,10.4,10.4
79,Zach Line,NO,FB,5,0,0,0,0,6,3,10,1,0,0,2,10
80,Kapri Bibbs,WAS,RB,3,8,23,2.9,1,2,1,6,0,0,0,3.3,9.9
81,Marcus Murphy,BUF,RB,3,17,70,4.1,0,8,2,8,0,1,0,3.3,9.8
82,Ronald Jones II,TB,RB,2,11,32,2.9,0,5,4,15,0,0,0,4.4,8.7
83,James Develin,NE,RB,6,0,0,0,0,9,6,25,0,0,0,1.4,8.5
84,Mark Walton,CIN,RB,4,7,7,1,0,7,4,31,0,0,0,2,7.8
85,Darren Sproles,PHI,RB,1,5,10,2,0,7,4,22,0,0,0,7.2,7.2
86,Alex Armah,CAR,RB,5,4,10,2.5,1,0,0,0,0,0,0,1.4,7
87,Andy Janovich,DEN,FB,6,1,2,2,0,2,2,43,0,0,0,1.1,6.5
88,Mike Boone,MIN,RB,4,4,32,8,0,2,2,1,0,0,0,1.3,5.3
89,Mike Gillislee,NO,RB,4,16,43,2.7,0,1,1,9,0,1,1,1.3,5.2
89,CJ Prosise,SEA,RB,3,0,0,0,0,3,3,22,0,0,0,1.7,5.2
91,Rod Smith,DAL,RB,6,15,41,2.7,0,2,1,0,0,0,0,0.8,5.1
92,Damien Williams,KC,RB,6,3,1,0.3,0,3,3,18,0,0,0,0.8,4.9
93,Stevan Ridley,PIT,RB,5,10,30,3,0,1,1,5,0,0,0,0.9,4.5
94,Shaun Wilson,TB,RB,3,2,15,7.5,0,2,2,9,0,0,0,1.5,4.4
94,Keith Smith,OAK,FB,6,1,0,0,0,4,3,14,0,0,0,0.7,4.4
96,Gus Edwards,BAL,RB,1,10,42,4.2,0,0,0,0,0,0,0,4.2,4.2
97,Jeremy Hill,NE,RB,1,4,25,6.2,0,1,1,6,0,0,0,4.1,4.1
97,De'Lance Turner,BAL,RB,4,1,4,4,0,2,2,17,0,0,0,1,4.1
99,Derrick Coleman,ARI,FB,6,2,3,1.5,0,2,2,17,0,0,0,0.7,4
100,Patrick DiMarco,BUF,FB,6,0,0,0,0,1,1,24,0,0,0,0.6,3.4
101,Trenton Cannon,NYJ,RB,6,6,15,2.5,0,1,1,6,0,0,0,0.5,3.1
102,Josh Adams,PHI,RB,3,7,29,4.1,0,0,0,0,0,0,0,1,2.9
102,Roosevelt Nix,PIT,RB,6,0,0,0,0,2,1,19,0,0,0,0.5,2.9
104,Kenjon Barner,NE,RB,2,6,27,4.5,0,0,0,0,0,0,0,1.4,2.7
104,Benjamin Cunningham,CHI,RB,5,4,8,2,0,2,1,9,0,0,0,0.5,2.7
106,Roc Thomas,MIN,RB,3,6,8,1.3,0,3,1,6,0,0,0,0.8,2.4
107,Tyler Ervin,HOU,RB,6,0,0,0,0,2,1,12,0,0,0,0.4,2.2
107,Justin Jackson,LAC,RB,1,3,4,1.3,0,1,1,8,0,0,0,2.2,2.2
109,Jamaal Charles,JAX,RB,1,5,5,1,0,2,1,5,0,0,0,2,2
110,Tre Madden,SEA,RB,6,1,2,2,0,2,1,7,0,0,0,0.3,1.9
111,Jonathan Stewart,NYG,RB,3,6,17,2.8,0,0,0,0,0,0,0,0.6,1.7
112,Michael Burton,CHI,FB,3,0,0,0,0,1,1,6,0,0,0,0.5,1.6
113,Brandon Wilds,JAX,RB,3,6,15,2.5,0,0,0,0,0,0,0,0.5,1.5
113,Tommy Bohanon,JAX,FB,6,0,0,0,0,3,1,5,0,0,0,0.2,1.5
115,Jamize Olawale,DAL,FB,6,0,0,0,0,1,1,3,0,0,0,0.2,1.3
115,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,0.6,1.3
117,Jonathan Williams,NO,RB,3,3,0,0,0,1,1,1,0,0,0,0.4,1.1
118,Samaje Perine,WAS,RB,1,1,3,3,0,1,1,-3,0,0,0,1,1
119,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
120,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
121,Kalen Ballage,MIA,RB,2,2,5,2.5,0,0,0,0,0,0,0,0.2,0.5
121,Nick Bellore,DET,RB,5,0,0,0,0,1,1,-5,0,0,0,0.1,0.5
123,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
124,Dwayne Washington,NO,RB,1,2,2,1,0,0,0,0,0,0,0,0.2,0.2
125,Derek Watt,LAC,FB,6,1,1,1,0,0,0,0,0,0,0,0,0.1
126,Ricky Ortiz,ATL,RB,6,0,0,0,0,1,0,0,0,0,0,0,0
126,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
126,Brandon Bolden,MIA,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
126,David Fluellen,TEN,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
126,Senorise Perry,MIA,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
126,Alan Cross,TB,FB,5,0,0,0,0,1,0,0,0,0,0,0,0
126,Tra Carson,CIN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,Patrick Ricard,BAL,FB,5,0,0,0,0,0,0,0,0,0,0,0,0
126,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,Jaylen Samuels,PIT,FB,4,0,0,0,0,0,0,0,0,0,0,0,0
126,Detrez Newsome,LAC,RB,3,1,0,0,0,0,0,0,0,0,0,0,0
126,Gregory Howell Jr.,HOU,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
126,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,Justin Davis,LAR,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
126,Cameron Artis-Payne,CAR,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,Brian Hill,ATL,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,TJ Logan,ARI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
126,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
126,Ameer Abdullah,DET,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
126,Elijhaa Penny,NYG,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
126,Dontrell Hilliard,CLE,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
