Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
51,Gerald Everett,LAR,TE,6,12,8,66.7,81,0,17,6.8,10.1,0,0,0,0,0,0,2.7,16.1
52,Jack Doyle,IND,TE,2,15,9,60,80,0,13,5.3,8.9,0,0,0,0,1,1,8,16
53,Nick O'Leary,MIA,TE,1,4,4,100,49,1,19,12.2,12.2,0,0,0,0,0,0,14.9,14.9
54,Greg Olsen,CAR,TE,2,9,6,66.7,81,0,19,9,13.5,0,0,0,0,0,0,7,14.1
55,Jordan Thomas,HOU,TE,6,8,4,50,91,0,39,11.4,22.8,0,0,0,0,0,0,2.2,13.1
56,Logan Paulsen,ATL,TE,6,3,3,100,38,1,17,12.7,12.7,0,0,0,0,0,0,2.1,12.8
57,Jordan Leggett,NYJ,TE,5,6,4,66.7,23,1,10,3.8,5.8,0,0,0,0,0,0,2.5,12.3
58,Garrett Celek,SF,TE,6,4,3,75,29,1,11,7.2,9.7,0,0,0,0,0,0,2,11.9
59,Joshua Perkins,PHI,TE,6,10,5,50,67,0,30,6.7,13.4,0,0,0,0,0,0,2,11.7
60,AJ Derby,MIA,TE,3,3,2,66.7,35,1,19,11.7,17.5,0,0,0,0,0,0,3.8,11.5
61,Luke Stocker,TEN,TE,6,7,5,71.4,63,0,31,9,12.6,0,0,0,0,0,0,1.9,11.3
62,Eric Tomlinson,NYJ,TE,6,8,5,62.5,60,0,24,7.5,12,0,0,0,0,0,0,1.8,11
63,Delanie Walker,TEN,TE,1,7,4,57.1,52,0,16,7.4,13,0,0,0,0,0,0,9.2,9.2
64,David Morgan,MIN,TE,5,5,5,100,36,0,13,7.2,7.2,0,0,0,0,0,0,1.7,8.6
65,Michael Roberts,DET,TE,2,1,1,100,15,1,15,15,15,0,0,0,0,0,0,4.2,8.5
66,Matt LaCosse,DEN,TE,6,8,4,50,43,0,17,5.4,10.8,0,0,0,0,0,0,1.4,8.3
67,Jermaine Gresham,ARI,TE,4,4,3,75,46,0,26,11.5,15.3,0,0,0,0,0,0,1.9,7.6
67,Tyler Kroft,CIN,TE,5,6,4,66.7,36,0,16,6,9,0,0,0,0,0,0,1.5,7.6
69,Xavier Grimble,PIT,TE,6,4,3,75,44,0,22,11,14.7,0,0,0,0,0,0,1.2,7.4
70,Mo Alie-Cox,IND,TE,2,4,2,50,51,0,34,12.8,25.5,0,0,0,0,0,0,3.6,7.1
71,Luke Willson,DET,TE,5,7,4,57.1,29,0,13,4.1,7.2,0,0,0,0,0,0,1.4,6.9
72,Rico Gathers,DAL,TE,5,5,2,40,46,0,32,9.2,23,0,0,0,0,0,0,1.3,6.6
73,Jacob Hollister,NE,TE,3,3,3,100,35,0,23,11.7,11.7,0,0,0,0,0,0,2.2,6.5
74,Jonnu Smith,TEN,TE,6,10,3,30,33,0,12,3.3,11,0,0,0,0,0,0,1,6.3
75,Logan Thomas,BUF,TE,4,4,3,75,31,0,24,7.8,10.3,0,0,0,0,0,0,1.5,6.1
76,Derek Carrier,OAK,TE,6,5,3,60,25,0,12,5,8.3,0,0,0,0,0,0,0.9,5.5
77,Lee Smith,OAK,TE,6,4,3,75,23,0,10,5.8,7.7,0,0,0,0,0,0,0.9,5.3
78,Scott Simonson,NYG,TE,6,5,2,40,31,0,24,6.2,15.5,0,0,0,0,0,0,0.8,5.1
79,Levine Toilolo,DET,TE,5,4,3,75,19,0,8,4.8,6.3,0,0,0,0,0,0,1,4.9
80,Anthony Firkser,TEN,TE,2,2,2,100,25,0,18,12.5,12.5,0,0,0,0,0,0,2.2,4.5
81,Seth DeValve,CLE,TE,3,1,1,100,26,0,26,26,26,0,0,0,0,0,0,1.2,3.6
82,Tyrone Swoopes,SEA,TE,1,1,1,100,23,0,23,23,23,0,0,0,0,0,0,3.3,3.3
82,Antony Auclair,TB,TE,5,2,2,100,13,0,8,6.5,6.5,0,0,0,0,0,0,0.7,3.3
82,Tyler Conklin,MIN,TE,6,2,2,100,13,0,7,6.5,6.5,0,0,0,0,0,0,0.6,3.3
85,Hakeem Valles,DET,TE,3,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,1,3.1
86,Dion Sims,CHI,TE,5,3,2,66.7,9,0,9,3,4.5,0,0,0,0,0,0,0.6,2.9
87,Blake Jarwin,DAL,TE,6,5,1,20,11,0,11,2.2,11,0,0,0,0,0,0,0.4,2.1
88,Eric Saubert,ATL,TE,6,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,0.3,1.8
88,Orson Charles,CLE,TE,6,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,0.3,1.8
90,Hayden Hurst,BAL,TE,2,3,1,33.3,7,0,7,2.3,7,1,0,0,0,0,0,0.8,1.7
90,David Grinnage,JAX,TE,1,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
