Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Derrick Henry,TEN,RB,14,JAX,17,238,14,4,0,0,0,0,0,0,50.8,50.8
2,Ezekiel Elliott,DAL,RB,14,PHI,28,113,4,0,13,12,79,0,0,0,34.2,34.2
3,Saquon Barkley,NYG,RB,14,WAS,14,170,12.1,1,5,4,27,0,0,0,32.7,32.7
4,Christian McCaffrey,CAR,RB,14,CLE,16,63,3.9,2,7,6,38,0,0,0,28.1,28.1
5,Joe Mixon,CIN,RB,14,LAC,26,111,4.3,1,6,5,27,0,0,0,27.8,27.8
6,Aaron Jones,GB,RB,14,ATL,17,78,4.6,1,3,3,28,0,0,0,19.6,19.6
7,Dalvin Cook,MIN,RB,14,SEA,13,55,4.2,0,7,5,28,1,0,0,19.3,19.3
8,Brandon Bolden,MIA,RB,14,NE,2,60,30,2,1,1,0,0,0,0,19,19
8,Damien Williams,KC,RB,14,BAL,8,14,1.8,1,5,4,16,1,0,0,19,19
10,Nick Chubb,CLE,RB,14,CAR,13,66,5.1,1,6,4,17,0,0,0,18.3,18.3
11,Spencer Ware,KC,RB,14,BAL,15,75,5,0,5,5,54,0,0,0,17.9,17.9
12,Austin Ekeler,LAC,RB,14,CIN,15,66,4.4,1,5,2,28,0,0,0,17.4,17.4
13,Elijah McGuire,NYJ,RB,14,BUF,17,60,3.5,1,4,3,23,0,0,0,17.3,17.3
14,Lamar Miller,HOU,RB,14,IND,14,33,2.4,1,6,5,19,0,0,0,16.2,16.2
14,Jaylen Samuels,PIT,FB,14,OAK,11,28,2.5,0,7,7,64,0,0,0,16.2,16.2
16,Alvin Kamara,NO,RB,14,TB,12,51,4.2,0,6,5,36,0,0,0,15.7,15.7
17,Phillip Lindsay,DEN,RB,14,SF,14,30,2.1,1,7,4,21,0,0,0,15.1,15.1
18,Chris Carson,SEA,RB,14,MIN,22,90,4.1,1,0,0,0,0,0,0,15,15
18,Kenneth Dixon,BAL,RB,14,KC,8,59,7.4,1,1,1,21,0,0,0,15,15
20,Kenyan Drake,MIA,RB,14,NE,6,24,4,0,1,1,55,1,0,0,14.9,14.9
21,Jordan Howard,CHI,RB,14,LAR,19,101,5.3,0,1,1,2,0,0,0,14.3,14.3
22,David Johnson,ARI,RB,14,DET,15,49,3.3,0,10,8,12,0,1,0,14.1,14.1
23,Tarik Cohen,CHI,RB,14,LAR,9,69,7.7,0,4,4,20,0,0,0,12.9,12.9
24,Frank Gore,MIA,RB,14,NE,12,92,7.7,0,1,1,24,0,1,0,12.6,12.6
24,Darren Sproles,PHI,RB,14,DAL,1,2,2,0,3,3,34,1,0,0,12.6,12.6
26,Mark Ingram,NO,RB,14,TB,13,52,4,1,3,1,1,0,0,0,12.3,12.3
27,Zach Zenner,DET,RB,14,ARI,12,54,4.5,1,0,0,0,0,0,0,11.4,11.4
28,Jeffery Wilson,SF,RB,14,DEN,23,90,3.9,0,2,1,6,0,1,0,10.6,10.6
29,Ito Smith,ATL,RB,14,GB,11,60,5.5,0,4,3,14,0,0,0,10.4,10.4
30,Dion Lewis,TEN,RB,14,JAX,10,13,1.3,0,5,5,39,0,0,0,10.2,10.2
31,Theo Riddick,DET,RB,14,ARI,6,28,4.7,0,4,4,30,0,0,0,9.8,9.8
32,Jacquizz Rodgers,TB,RB,14,NO,4,16,4,0,5,4,38,0,0,0,9.4,9.4
33,Marlon Mack,IND,RB,14,HOU,14,33,2.4,1,1,0,0,0,0,0,9.3,9.3
34,Doug Martin,OAK,RB,14,PIT,16,32,2,1,0,0,0,0,0,0,9.2,9.2
35,Todd Gurley,LAR,RB,14,CHI,11,28,2.5,0,7,3,30,0,0,0,8.8,8.8
36,Alfred Blue,HOU,RB,14,IND,6,21,3.5,1,1,0,0,0,0,0,8.1,8.1
37,Trenton Cannon,NYJ,RB,14,BUF,5,3,0.6,1,1,1,4,0,0,0,7.7,7.7
38,Zach Line,NO,FB,14,TB,1,4,4,0,1,1,1,1,0,0,7.5,7.5
39,Chris Thompson,WAS,RB,14,NYG,3,23,7.7,0,5,3,15,0,0,0,6.8,6.8
40,Gus Edwards,BAL,RB,14,KC,16,67,4.2,0,0,0,0,0,0,0,6.7,6.7
41,Stevan Ridley,PIT,RB,14,OAK,5,4,0.8,1,0,0,0,0,0,0,6.4,6.4
42,Rod Smith,DAL,RB,14,PHI,4,27,6.8,0,2,2,16,0,0,0,6.3,6.3
43,James Develin,NE,RB,14,MIA,1,2,2,1,0,0,0,0,0,0,6.2,6.2
44,Leonard Fournette,JAX,RB,14,TEN,14,36,2.6,0,3,2,5,0,0,0,6.1,6.1
44,LeGarrette Blount,DET,RB,14,ARI,12,33,2.8,0,3,2,18,0,1,1,6.1,6.1
46,Sony Michel,NE,RB,14,MIA,20,57,2.8,0,0,0,0,0,0,0,5.7,5.7
47,Justin Jackson,LAC,RB,14,CIN,7,12,1.7,0,2,2,23,0,0,0,5.5,5.5
48,Peyton Barber,TB,RB,14,NO,14,42,3,0,2,1,2,0,0,0,5.4,5.4
49,Tevin Coleman,ATL,RB,14,GB,10,45,4.5,0,1,1,-4,0,0,0,5.1,5.1
50,James White,NE,RB,14,MIA,4,13,3.2,0,4,2,15,0,0,0,4.8,4.8
51,Elijhaa Penny,NYG,RB,14,WAS,5,21,4.2,0,1,1,16,0,0,0,4.7,4.7
51,Byron Marshall,WAS,RB,14,NYG,1,4,4,0,3,3,13,0,0,0,4.7,4.7
51,Nyheim Hines,IND,RB,14,HOU,3,1,0.3,0,5,3,16,0,0,0,4.7,4.7
54,Rashaad Penny,SEA,RB,14,MIN,8,44,5.5,0,0,0,0,0,0,0,4.4,4.4
55,Chris Ivory,BUF,RB,14,NYJ,12,42,3.5,0,1,0,0,0,0,0,4.2,4.2
56,Kyle Juszczyk,SF,FB,14,DEN,0,0,0,0,3,2,21,0,0,0,4.1,4.1
57,Dontrell Hilliard,CLE,RB,14,CAR,0,0,0,0,2,2,20,0,0,0,4,4
57,Giovani Bernard,CIN,RB,14,LAC,3,7,2.3,0,2,2,13,0,0,0,4,4
59,Jalen Richard,OAK,RB,14,PIT,8,24,3,0,1,1,5,0,0,0,3.9,3.9
60,Wayne Gallman,NYG,RB,14,WAS,14,38,2.7,0,2,0,0,0,0,0,3.8,3.8
61,Mike Davis,SEA,RB,14,MIN,3,22,7.3,0,1,1,5,0,0,0,3.7,3.7
62,Royce Freeman,DEN,RB,14,SF,6,36,6,0,1,0,0,0,0,0,3.6,3.6
62,Josh Adams,PHI,RB,14,DAL,7,36,5.1,0,0,0,0,0,0,0,3.6,3.6
64,Devontae Booker,DEN,RB,14,SF,0,0,0,0,2,2,11,0,0,0,3.1,3.1
65,Adrian Peterson,WAS,RB,14,NYG,10,16,1.6,0,1,1,3,0,0,0,2.9,2.9
66,Marcus Murphy,BUF,RB,14,NYJ,4,10,2.5,0,1,1,8,0,0,0,2.8,2.8
67,TJ Yeldon,JAX,RB,14,TEN,1,7,7,0,1,1,10,0,0,0,2.7,2.7
68,Justin Davis,LAR,RB,14,CHI,1,19,19,0,0,0,0,0,0,0,1.9,1.9
69,Darrel Williams,KC,RB,14,BAL,0,0,0,0,1,1,8,0,0,0,1.8,1.8
70,Jamaal Williams,GB,RB,14,ATL,4,17,4.2,0,1,0,0,0,0,0,1.7,1.7
70,Isaiah Crowell,NYJ,RB,14,BUF,2,5,2.5,0,1,1,2,0,0,0,1.7,1.7
70,Alfred Morris,SF,RB,14,DEN,2,4,2,0,1,1,3,0,0,0,1.7,1.7
73,Rex Burkhead,NE,RB,14,MIA,4,2,0.5,0,2,1,3,0,0,0,1.5,1.5
74,Chase Edmonds,ARI,RB,14,DET,3,14,4.7,0,0,0,0,0,1,0,1.4,1.4
75,Ty Montgomery,BAL,RB,14,KC,2,1,0.5,0,3,1,1,0,0,0,1.2,1.2
75,Derek Watt,LAC,FB,14,CIN,0,0,0,0,1,1,2,0,0,0,1.2,1.2
77,Carlos Hyde,JAX,RB,14,TEN,0,0,0,0,1,1,-3,0,0,0,0.7,0.7
78,Cameron Artis-Payne,CAR,RB,14,CLE,1,5,5,0,0,0,0,0,0,0,0.5,0.5
78,Brian Hill,ATL,RB,14,GB,1,5,5,0,0,0,0,0,0,0,0.5,0.5
