Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Dak Prescott,DAL,QB,14,PHI,42,54,77.8,455,8.4,3,2,104.86,4,2,0.5,0,30.4,30.4
2,Tom Brady,NE,QB,14,MIA,27,43,62.8,358,8.3,3,0,112.35,1,3,3,0,29.6,29.62
3,Andrew Luck,IND,QB,14,HOU,27,41,65.9,399,9.7,2,1,103.61,6,16,2.7,0,27.6,27.56
4,Josh Johnson,WAS,QB,14,NYG,11,16,68.8,195,12.2,1,1,104.95,7,45,6.4,1,25.3,25.3
5,Patrick Mahomes,KC,QB,14,BAL,35,53,66,377,7.1,2,1,91.47,2,-3,-1.5,0,24.8,24.78
6,Josh Allen,BUF,QB,14,NYJ,18,36,50,206,5.7,0,2,44.44,9,101,11.2,1,24.3,24.34
7,Ryan Tannehill,MIA,QB,14,NE,14,19,73.7,265,13.9,3,0,155.15,1,13,13,0,23.9,23.9
8,Derek Carr,OAK,QB,14,PIT,25,34,73.5,322,9.5,2,0,122.43,1,-1,-1,0,22.8,22.78
9,Nick Mullens,SF,QB,14,DEN,20,33,60.6,332,10.1,2,1,102.08,5,-10,-2,0,22.3,22.28
10,Matt Ryan,ATL,QB,14,GB,28,42,66.7,262,6.2,3,1,97.52,1,0,0,0,21.5,21.48
11,Aaron Rodgers,GB,QB,14,ATL,21,32,65.6,196,6.1,2,0,103.12,3,44,14.7,0,20.2,20.24
12,Jameis Winston,TB,QB,14,NO,18,38,47.4,213,5.6,2,1,71.49,5,47,9.4,0,20.2,20.22
13,Lamar Jackson,BAL,QB,14,KC,13,24,54.2,147,6.1,2,0,100.52,13,71,5.5,0,20,19.98
14,Eli Manning,NYG,QB,14,WAS,14,22,63.6,197,9,3,0,132.01,0,0,0,0,19.9,19.88
15,Carson Wentz,PHI,QB,14,DAL,22,32,68.8,228,7.1,3,0,120.31,4,-3,-0.8,0,19.8,19.82
16,Ben Roethlisberger,PIT,QB,14,OAK,25,29,86.2,282,9.7,2,0,130.17,0,0,0,0,19.3,19.28
17,Deshaun Watson,HOU,QB,14,IND,27,38,71.1,267,7,1,0,99.34,5,35,7,0,18.2,18.18
18,Drew Brees,NO,QB,14,TB,24,31,77.4,201,6.5,1,1,90.93,3,-1,-0.3,1,15.9,15.94
19,Cody Kessler,JAX,QB,14,TEN,25,43,58.1,240,5.6,1,0,81.54,5,17,3.4,0,14.3,14.3
20,Case Keenum,DEN,QB,14,SF,24,42,57.1,186,4.4,1,0,76.09,4,24,6,0,13.8,13.84
21,Baker Mayfield,CLE,QB,14,CAR,18,22,81.8,238,10.8,1,0,126.89,4,2,0.5,0,13.7,13.72
22,Philip Rivers,LAC,QB,14,CIN,19,29,65.5,220,7.6,1,0,99.78,2,7,3.5,0,13.5,13.5
23,Jeff Driskel,CIN,QB,14,LAC,18,27,66.7,170,6.3,1,0,96.22,2,12,6,0,12,12
24,Cam Newton,CAR,QB,14,CLE,26,42,61.9,265,6.3,0,1,70.04,5,23,4.6,0,11.9,11.9
25,Kirk Cousins,MIN,QB,14,SEA,20,33,60.6,208,6.3,1,0,88.95,3,5,1.7,0,11.8,11.82
26,Sam Darnold,NYJ,QB,14,BUF,16,24,66.7,170,7.1,1,1,83.68,4,10,2.5,0,10.8,10.8
27,Russell Wilson,SEA,QB,14,MIN,10,20,50,72,3.6,0,1,37.92,7,61,8.7,0,10,9.98
28,Josh Rosen,ARI,QB,14,DET,26,41,63.4,240,5.9,0,1,69.16,2,3,1.5,0,8.9,8.9
29,Mitch Trubisky,CHI,QB,14,LAR,16,30,53.3,110,3.7,1,3,33.33,6,23,3.8,0,7.7,7.7
30,Marcus Mariota,TEN,QB,14,JAX,18,24,75,162,6.8,0,1,75.35,4,13,3.2,0,6.8,6.78
31,Matthew Stafford,DET,QB,14,ARI,15,23,65.2,101,4.4,0,0,74.73,1,7,7,0,4.7,4.74
32,Jared Goff,LAR,QB,14,CHI,20,44,45.5,180,4.1,0,4,19.13,1,5,5,0,3.7,3.7
33,Joe Webb,HOU,QB,14,IND,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.3
34,Joshua Dobbs,PIT,QB,14,OAK,4,9,44.4,24,2.7,0,1,12.04,2,15,7.5,0,1.5,1.46
35,Taylor Heinicke,CAR,QB,14,CLE,1,1,100,33,33,0,0,118.75,0,0,0,0,1.3,1.32
36,Josh McCown,NYJ,QB,14,BUF,0,1,0,0,0,0,0,39.58,0,0,0,0,0,0
36,Robert Griffin III,BAL,QB,14,KC,0,2,0,0,0,0,0,39.58,0,0,0,0,0,0
36,Brock Osweiler,MIA,QB,14,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Deshone Kizer,GB,QB,14,ATL,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
40,Mark Sanchez,WAS,QB,14,NYG,6,14,42.9,38,2.7,0,2,10.71,0,0,0,0,-0.5,-0.48
41,Taysom Hill,NO,QB,14,TB,0,0,0,0,0,0,0,0,1,-6,-6,0,-0.6,-0.6
42,Kyle Lauletta,NYG,QB,14,WAS,0,5,0,0,0,0,1,0,1,-2,-2,0,-1.2,-1.2
