Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,11,NO,28,4,6600,18.84
2,Travis Kelce,KC,TE,11,LAR,18,18,6500,18.46
3,Greg Olsen,CAR,TE,11,DET,25,16,5000,12.35
4,Jack Doyle,IND,TE,11,TEN,1,1,4200,11.08
5,Jared Cook,OAK,TE,11,ARI,13,5,3900,10.18
6,Evan Engram,NYG,TE,11,TB,31,31,4100,10.16
7,Austin Hooper,ATL,TE,11,DAL,4,20,4500,10.09
8,Jimmy Graham,GB,TE,11,SEA,9,7,4000,9.89
9,OJ Howard,TB,TE,11,NYG,16,9,4900,9.85
10,Trey Burton,CHI,TE,11,MIN,7,17,3800,9.76
11,Vance McDonald,PIT,TE,11,JAX,6,27,4000,9.33
12,Jordan Reed,WAS,TE,11,HOU,8,21,3800,9.24
13,Kyle Rudolph,MIN,TE,11,CHI,3,11,3600,8.54
14,Eric Ebron,IND,TE,11,TEN,1,1,4300,8.26
15,Ricky Seals-Jones,ARI,TE,11,OAK,29,29,2900,8.09
16,Jeff Heuerman,DEN,TE,11,LAC,10,15,3700,7.39
17,CJ Uzomah,CIN,TE,11,BAL,2,14,3400,7.25
18,Nick Vannett,SEA,TE,11,GB,14,2,2800,7.03
19,Benjamin Watson,NO,TE,11,PHI,12,3,3500,6.98
20,Mark Andrews,BAL,TE,11,CIN,32,28,2600,6.15
21,James O'Shaughnessy,JAX,TE,11,PIT,15,26,2600,6.1
22,Ryan Griffin,HOU,TE,11,WAS,11,8,2500,5.28
23,Gerald Everett,LAR,TE,11,KC,27,25,2600,4.8
24,Jesse James,PIT,TE,11,JAX,6,27,2700,4.72
25,Vernon Davis,WAS,TE,11,HOU,8,21,2800,4.55
26,Jonnu Smith,TEN,TE,11,IND,20,22,2700,4.5
27,Cameron Brate,TB,TE,11,NYG,16,9,2600,4.47
28,Mo Alie-Cox,IND,TE,11,TEN,1,1,2500,4.43
29,Geoff Swaim,DAL,TE,11,ATL,30,13,2700,4.38
30,Ed Dickson,SEA,TE,11,GB,14,2,2700,4.37
31,Antonio Gates,LAC,TE,11,DEN,19,23,2500,4.33
32,Dallas Goedert,PHI,TE,11,NO,28,4,2600,3.65
33,Hayden Hurst,BAL,TE,11,CIN,32,28,2500,3.64
34,Virgil Green,LAC,TE,11,DEN,19,23,2500,3.6
35,Jordan Thomas,HOU,TE,11,WAS,11,8,2700,3.58
36,Tyler Higbee,LAR,TE,11,KC,27,25,2600,3.47
37,Josh Hill,NO,TE,11,PHI,12,3,2500,3.4
38,Michael Roberts,DET,TE,11,CAR,24,32,2500,3.17
39,Rhett Ellison,NYG,TE,11,TB,31,31,2500,3.1
40,Maxx Williams,BAL,TE,11,CIN,32,28,2500,2.92
41,Jermaine Gresham,ARI,TE,11,OAK,29,29,2600,2.91
42,Luke Willson,DET,TE,11,CAR,24,32,2500,2.83
43,Nick Boyle,BAL,TE,11,CIN,32,28,2500,2.66
44,Lance Kendricks,GB,TE,11,SEA,9,7,2500,2.64
45,Demetrius Harris,KC,TE,11,LAR,18,18,2500,2.53
46,Luke Stocker,TEN,TE,11,IND,20,22,2500,2.45
47,Jordan Akins,HOU,TE,11,WAS,11,8,2500,2.24
48,Blake Bell,JAX,TE,11,PIT,15,26,2500,2.21
49,David Morgan,MIN,TE,11,CHI,3,11,2500,1.96
50,Matt LaCosse,DEN,TE,11,LAC,10,15,2500,1.95
51,Matt Lengel,CIN,TE,11,BAL,2,14,2500,1.83
52,Jordan Franks,CIN,TE,11,BAL,2,14,2500,1.76
53,Erik Swoope,IND,TE,11,TEN,1,1,2500,1.59
54,Levine Toilolo,DET,TE,11,CAR,24,32,2500,1.57
55,Blake Jarwin,DAL,TE,11,ATL,30,13,2500,1.12
56,Derek Carrier,OAK,TE,11,ARI,13,5,2500,1.04
56,Dion Sims,CHI,TE,11,MIN,7,17,2500,1.04
58,Rico Gathers,DAL,TE,11,ATL,30,13,2500,1.02
59,Dalton Schultz,DAL,TE,11,ATL,30,13,2500,0.93
60,Eric Saubert,ATL,TE,11,DAL,4,20,2500,0.92
61,Ian Thomas,CAR,TE,11,DET,25,16,2500,0.73
62,Marcedes Lewis,GB,TE,11,SEA,9,7,2500,0.71
63,Anthony Firkser,TEN,TE,11,IND,20,22,2500,0.66
64,Logan Paulsen,ATL,TE,11,DAL,4,20,2500,0.61
65,Xavier Grimble,PIT,TE,11,JAX,6,27,2500,0.52
66,Tyler Conklin,MIN,TE,11,CHI,3,11,2500,0.46
67,John Phillips,ARI,TE,11,OAK,29,29,2500,0.43
68,Jeremy Sprinkle,WAS,TE,11,HOU,8,21,2500,0.4
69,Jerell Adams,HOU,TE,11,WAS,11,8,null,0.34
70,Lee Smith,OAK,TE,11,ARI,13,5,2500,0.33
71,MyCole Pruitt,TEN,TE,11,IND,20,22,2500,0.28
72,Antony Auclair,TB,TE,11,NYG,16,9,2500,0.27
73,Adam Shaheen,CHI,TE,11,MIN,7,17,2500,0.22
74,Joshua Perkins,PHI,TE,11,NO,28,4,2500,0.21
75,Ben Braunecker,CHI,TE,11,MIN,7,17,2500,0.2
76,Darrell Daniels,SEA,TE,11,GB,14,2,2500,0.19
77,Chris Manhertz,CAR,TE,11,DET,25,16,2500,0.12
77,Scott Simonson,NYG,TE,11,TB,31,31,2500,0.12
79,Brian Parker,DEN,TE,11,LAC,10,15,2500,0.09
80,Will Dissly,SEA,TE,11,GB,14,2,2500,0
80,Tyrone Swoopes,SEA,TE,11,GB,14,2,null,0
80,Hakeem Valles,DET,TE,11,CAR,24,32,null,0
80,Delanie Walker,TEN,TE,11,IND,20,22,2500,0
80,Ross Travis,IND,TE,11,TEN,1,1,null,0
80,Michael Hoomanawanui,NO,TE,11,PHI,12,3,null,0
80,Richard Rodgers,PHI,TE,11,NO,28,4,2500,0
80,Garrett Griffin,NO,TE,11,PHI,12,3,null,0
80,Garrett Dickerson,NYG,TE,11,TB,31,31,null,0
80,Tyler Eifert,CIN,TE,11,BAL,2,14,2500,0
80,Tyler Kroft,CIN,TE,11,BAL,2,14,2500,0
80,Mason Schreck,CIN,TE,11,BAL,2,14,null,0
80,Cethan Carter,CIN,TE,11,BAL,2,14,null,0
80,Gabe Holmes,ARI,TE,11,OAK,29,29,null,0
80,Jake Butt,DEN,TE,11,LAC,10,15,null,0
80,Sean Culkin,LAC,TE,11,DEN,19,23,2500,0
80,Troy Fumagalli,DEN,TE,11,LAC,10,15,null,0
80,Ben Koyack,JAX,TE,11,PIT,15,26,2500,0
80,Niles Paul,JAX,TE,11,PIT,15,26,2500,0
80,Austin Seferian-Jenkins,JAX,TE,11,PIT,15,26,2500,0
80,David Grinnage,JAX,TE,11,PIT,15,26,2500,0
80,Ryan Malleck,PIT,TE,11,JAX,6,27,null,0
80,Bucky Hodges,PIT,TE,11,JAX,6,27,null,0
80,Alex Ellis,KC,TE,11,LAR,18,18,null,0
