Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
65,Anthony Sherman,KC,FB,7,0,0,0,0,2,2,14,0,0,0,0.5,3.4
66,Corey Grant,JAX,RB,5,0,0,0,0,2,2,11,0,0,0,0.6,3.1
67,Spencer Ware,KC,RB,7,7,14,2,0,2,1,4,0,0,0,0.4,2.8
67,Kyle Juszczyk,SF,FB,7,1,-5,-5,0,4,2,13,0,0,0,0.4,2.8
69,Marcus Murphy,BUF,RB,4,2,2,1,0,2,2,5,0,0,0,0.7,2.7
70,Devontae Booker,DEN,RB,7,0,0,0,0,2,1,9,0,0,0,0.3,1.9
71,Darren Sproles,PHI,RB,1,2,5,2.5,0,1,1,3,0,0,0,1.8,1.8
72,Damien Williams,KC,RB,7,0,0,0,0,1,1,7,0,0,0,0.2,1.7
73,Shaun Wilson,TB,RB,3,0,0,0,0,1,1,5,0,0,0,0.5,1.5
74,LeSean McCoy,BUF,RB,6,7,14,2,0,0,0,0,0,0,0,0.2,1.4
75,Jamize Olawale,DAL,FB,7,0,0,0,0,1,1,3,0,0,0,0.2,1.3
76,Rod Smith,DAL,RB,7,2,2,1,0,1,1,0,0,0,0,0.2,1.2
76,Keith Smith,OAK,FB,6,1,0,0,0,1,1,2,0,0,0,0.2,1.2
78,CJ Anderson,CAR,RB,6,3,11,3.7,0,0,0,0,0,0,0,0.2,1.1
78,Doug Martin,OAK,RB,6,3,11,3.7,0,0,0,0,0,0,0,0.2,1.1
80,Leonard Fournette,JAX,RB,2,3,10,3.3,0,0,0,0,0,0,0,0.5,1
81,James Develin,NE,RB,7,0,0,0,0,1,1,-1,0,0,0,0.1,0.9
82,Mike Gillislee,NO,RB,4,2,8,4,0,0,0,0,0,0,0,0.2,0.8
82,Kenjon Barner,NE,RB,3,3,8,2.7,0,0,0,0,0,0,0,0.3,0.8
84,Jeremy McNichols,IND,RB,1,1,7,7,0,0,0,0,0,0,0,0.7,0.7
85,Dalvin Cook,MIN,RB,3,4,5,1.2,0,0,0,0,0,0,0,0.2,0.5
85,Wayne Gallman,NYG,RB,7,2,5,2.5,0,2,0,0,0,0,0,0.1,0.5
85,Nick Bellore,DET,RB,6,0,0,0,0,1,1,-5,0,0,0,0.1,0.5
88,Devonta Freeman,ATL,RB,2,3,4,1.3,0,1,0,0,0,0,0,0.2,0.4
88,Bilal Powell,NYJ,RB,7,10,4,0.4,0,1,0,0,0,0,0,0.1,0.4
88,Brandon Wilds,JAX,RB,3,1,4,4,0,0,0,0,0,0,0,0.1,0.4
88,Mark Walton,CIN,RB,5,1,4,4,0,0,0,0,0,0,0,0.1,0.4
92,Robert Turbin,IND,RB,2,1,3,3,0,0,0,0,0,0,0,0.2,0.3
93,Stevan Ridley,PIT,RB,5,1,2,2,0,0,0,0,0,0,0,0,0.2
93,Roc Thomas,MIN,RB,4,2,2,1,0,2,0,0,0,0,0,0,0.2
95,Ricky Ortiz,ATL,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Jonathan Stewart,NYG,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
95,Taiwan Jones,BUF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Brandon Bolden,MIA,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
