Team,Home,PointSpread,OverUnder
PIT,TRUE,-4,51.5
TB,TRUE,-3,51.5
NE,FALSE,-6.5,46.5
CHI,TRUE,-6.5,45
NO,FALSE,-4.5,54
ATL,FALSE,-4,50.5
IND,TRUE,-3,47
KC,TRUE,-16.5,50
NYJ,TRUE,-7.5,36.5
LAC,FALSE,-10,50.5
LAR,TRUE,-10,51.5
GB,TRUE,-10,47.5
PHI,TRUE,-6.5,43
SF,TRUE,-3,43.5
CAR,FALSE,4,51.5
WAS,FALSE,3,51.5
TEN,TRUE,6.5,46.5
DET,FALSE,6.5,45
CIN,TRUE,4.5,54
CLE,TRUE,4,50.5
JAX,FALSE,3,47
ARI,FALSE,16.5,50
BUF,FALSE,7.5,36.5
OAK,TRUE,10,50.5
SEA,FALSE,10,51.5
MIA,FALSE,10,47.5
DAL,FALSE,6.5,43
NYG,FALSE,3,43.5
