Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,11,55,175,3.2,13,15,8,69,3,0,0,12.2,134.4
2,Alvin Kamara,NO,RB,10,39,121,3.1,10,20,16,106,3,0,0,12.1,120.7
3,Kareem Hunt,KC,RB,11,27,69,2.6,7,9,6,54,3,0,0,7.1,78.3
4,Melvin Gordon,LAC,RB,9,18,100,5.6,6,12,7,28,3,2,0,8.6,77.8
5,James White,NE,RB,10,15,26,1.7,3,15,11,80,6,0,0,7.6,75.6
6,James Conner,PIT,RB,10,29,85,2.9,7,7,6,36,1,1,0,7,70.1
7,Saquon Barkley,NYG,RB,10,30,78,2.6,5,11,8,45,2,0,0,6.4,64.3
8,Alex Collins,BAL,RB,10,21,94,4.5,7,4,2,11,1,1,1,6,59.5
9,Christian McCaffrey,CAR,RB,10,22,50,2.3,4,7,6,54,3,1,1,5.7,57.4
10,David Johnson,ARI,RB,10,20,50,2.5,6,7,4,12,1,0,0,5.2,52.2
11,Joe Mixon,CIN,RB,8,19,47,2.5,5,4,3,25,1,0,0,5.8,46.2
12,Ezekiel Elliott,DAL,RB,10,25,65,2.6,4,11,6,27,1,1,0,4.5,45.2
13,Adrian Peterson,WAS,RB,10,26,45,1.7,5,2,2,15,1,1,1,4.3,43
14,Javorius Allen,BAL,RB,10,11,12,1.1,3,6,6,36,2,0,0,4.1,40.8
15,Tevin Coleman,ATL,RB,10,13,37,2.8,1,8,7,47,3,0,0,3.9,39.4
16,Marlon Mack,IND,RB,6,19,69,3.6,4,2,2,11,0,0,0,6.3,38
17,Jordan Howard,CHI,RB,10,20,61,3,5,3,2,5,0,1,1,3.8,37.6
18,Matt Breida,SF,RB,10,19,51,2.7,2,4,4,37,2,0,0,3.7,36.8
19,TJ Yeldon,JAX,RB,10,11,41,3.7,1,7,4,41,3,0,0,3.6,36.2
20,Kerryon Johnson,DET,RB,10,18,58,3.2,3,6,3,19,1,0,0,3.5,34.7
21,Carlos Hyde,JAX,RB,9,17,33,1.9,5,2,0,0,0,1,0,3.7,33.3
22,Ito Smith,ATL,RB,10,17,58,3.4,4,2,2,13,0,1,0,3.3,33.1
23,Aaron Jones,GB,RB,8,14,74,5.3,4,3,1,1,0,0,0,4.1,32.5
24,Tarik Cohen,CHI,RB,10,9,42,4.7,1,8,5,35,2,0,0,3.1,30.7
25,Mike Davis,SEA,RB,9,11,52,4.7,3,1,1,3,1,0,0,3.4,30.5
26,Duke Johnson,CLE,RB,10,3,1,0.3,0,5,4,38,3,0,0,3,29.9
27,Derrick Henry,TEN,RB,10,20,51,2.6,4,1,1,-6,0,0,0,3,29.5
27,Nyheim Hines,IND,RB,10,15,43,2.9,1,5,4,32,2,0,0,3,29.5
27,Phillip Lindsay,DEN,RB,10,20,52,2.6,3,5,4,23,0,0,0,3,29.5
30,Isaiah Crowell,NYJ,RB,10,16,43,2.7,4,0,0,0,0,0,0,2.8,28.3
31,Royce Freeman,DEN,RB,8,14,41,2.9,4,0,0,0,0,0,0,3.5,28.1
32,Mark Ingram,NO,RB,6,14,38,2.7,4,0,0,0,0,0,0,4.6,27.8
