Rank,Name,Team,Position,Week,Opponent,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Seattle Seahawks,SEA,DST,3,CHI,3.82,10.5,4.7,8.6,0,27.62
2,Arizona Cardinals,ARI,DST,3,SF,9.28,9.2,5.3,6.9,0,30.68
3,Seattle Seahawks,SEA,DST,7,SF,4.96,10.4,8.1,13,0,36.46
4,Seattle Seahawks,SEA,DST,8,DAL,8.18,19.3,7.4,4.6,0,39.48
5,Denver Broncos,DEN,DST,1,BAL,2.68,19.7,10.5,6.8,0,39.68
6,Denver Broncos,DEN,DST,8,GB,6.18,15.7,12.7,5.2,0,39.78
7,Arizona Cardinals,ARI,DST,13,LAR,4.64,8.4,21.4,6.6,0,41.04
8,Seattle Seahawks,SEA,DST,13,MIN,3.92,11.7,20.3,5.7,0,41.62
9,New England Patriots,NE,DST,14,HOU,5.26,15.1,18.6,3,0,41.96
10,Green Bay Packers,GB,DST,4,SF,11.1,4.8,18.9,7.3,0,42.1
11,Los Angeles Rams,LAR,DST,8,SF,9.28,8.1,18.4,10.7,0,46.48
12,Kansas City Chiefs,KC,DST,11,LAC,6.92,8.5,28.2,3.5,0,47.12
13,Detroit Lions,DET,DST,11,OAK,7.56,12.9,19.8,7.6,0,47.86
14,Tampa Bay Buccaneers,TB,DST,10,DAL,6.64,9.6,19.6,12.4,0,48.24
15,Baltimore Ravens,BAL,DST,13,MIA,8.54,19.6,17.8,2.8,0,48.74
16,Buffalo Bills,BUF,DST,16,DAL,6.34,13.1,25.5,4.2,0,49.14
17,Houston Texans,HOU,DST,8,TEN,4.84,18,12.7,16,0,51.54
18,Carolina Panthers,CAR,DST,10,TEN,8.8,18.1,14.3,11.1,0,52.3
19,Denver Broncos,DEN,DST,13,LAC,7.08,19.4,9,17.1,0,52.58
20,Houston Texans,HOU,DST,15,IND,9.5,8.9,31.2,3.8,0,53.4
21,Denver Broncos,DEN,DST,14,OAK,13,3.1,15.9,21.6,0,53.6
22,Green Bay Packers,GB,DST,14,DAL,4.16,25.2,15.7,9,0,54.06
23,Baltimore Ravens,BAL,DST,1,DEN,5.9,12.9,33.1,2.5,0,54.4
24,Tennessee Titans,TEN,DST,5,BUF,23.36,10.2,19.26,1.7,0,54.52
25,Seattle Seahawks,SEA,DST,16,LAR,8.52,22,22.6,1.5,0,54.62
26,Washington Redskins,WAS,DST,2,LAR,10.1,11.7,20.7,12.2,0,54.7
27,Houston Texans,HOU,DST,10,CIN,9.98,17.9,19.8,7.3,0,54.98
28,Baltimore Ravens,BAL,DST,11,LAR,7.44,14.6,13.9,19.4,0,55.34
29,Cincinnati Bengals,CIN,DST,9,CLE,13.82,21.2,12.6,7.8,0,55.42
30,Pittsburgh Steelers,PIT,DST,3,LAR,7.88,11.5,31.4,4.9,0,55.68
31,Seattle Seahawks,SEA,DST,4,DET,8.12,18.6,22.2,7.8,0,56.72
32,Arizona Cardinals,ARI,DST,16,GB,11.1,16.1,25,4.9,0,57.1
33,Atlanta Falcons,ATL,DST,16,CAR,15.28,17.3,16.8,8,0,57.38
34,Chicago Bears,CHI,DST,10,LAR,7,23.8,20.7,6.9,0,58.4
35,Green Bay Packers,GB,DST,5,LAR,5.84,24.5,23.1,5.4,0,58.84
36,Carolina Panthers,CAR,DST,14,ATL,6.3,13.2,33.2,6.6,0,59.3
37,Washington Redskins,WAS,DST,13,DAL,8.62,15.3,24.3,11.7,0,59.92
38,Seattle Seahawks,SEA,DST,15,CLE,11.14,19.5,17.4,11.9,0,59.94
39,New England Patriots,NE,DST,5,DAL,8.28,28.8,16,7.3,0,60.38
40,Dallas Cowboys,DAL,DST,12,CAR,17.82,12.3,18.4,12,0,60.52
41,Houston Texans,HOU,DST,12,NO,8.12,18.3,25.2,9.3,0,60.92
42,Cincinnati Bengals,CIN,DST,10,HOU,11.98,11,26.5,11.6,0,61.08
43,San Francisco 49ers,SF,DST,1,MIN,9.84,18.2,21.8,11.6,0,61.44
44,Los Angeles Chargers,LAC,DST,13,DEN,9.74,17.1,23.8,11,0,61.64
45,Buffalo Bills,BUF,DST,5,TEN,11.18,24.5,17.5,8.7,0,61.88
46,Cincinnati Bengals,CIN,DST,13,CLE,7.6,14.6,27.2,12.6,0,62
46,Jacksonville Jaguars,JAX,DST,1,CAR,13.5,17.4,27.1,4,0,62
46,Dallas Cowboys,DAL,DST,7,NYG,6.4,21.2,28.6,5.8,0,62
49,Dallas Cowboys,DAL,DST,2,PHI,10.86,16.4,30.1,4.7,0,62.06
50,Seattle Seahawks,SEA,DST,14,BAL,9.76,11.4,41,0,0,62.16
51,Kansas City Chiefs,KC,DST,10,DEN,8.04,14,32.1,8.1,0,62.24
51,Kansas City Chiefs,KC,DST,16,CLE,18.24,21.9,11.6,10.5,0,62.24
53,Cleveland Browns,CLE,DST,14,SF,13.66,12.8,26.5,9.3,0,62.26
54,Dallas Cowboys,DAL,DST,1,NYG,8.36,22.5,20.4,11.4,0,62.66
