TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
49ers,26.9,1401,4.1,75,22.1,31,6.4,80,16.5
Bears,19,1082,3.7,81,27.9,40,7.4,80,14.8
Bengals,30.5,1925,4.8,57,14.2,28,5.7,69,14.1
Bills,24.6,1362,4,92,26.9,31,7.1,75,17.2
Broncos,21.7,1549,4.5,74,21.7,40,7.9,85,16.7
Browns,25.5,1733,4.7,78,21.2,30,5.3,75,13.3
Buccaneers,29.5,1552,4.8,77,23.8,34,7.2,83,17.5
Cardinals,25.2,1813,4.4,98,24,39,8.4,79,17
Chargers,20.8,1392,4.4,63,19.8,32,6.7,72,15.1
Chiefs,27,1662,5.1,67,20.4,42,7.3,84,14.6
Colts,23.1,1338,3.8,94,27,35,7.4,69,14.5
Cowboys,18.9,1129,3.6,77,24.7,35,7.6,84,18.2
Dolphins,25.6,1813,4.8,63,16.6,22,4.8,55,12
Eagles,22.7,1386,4.9,78,27.6,34,6.3,109,20.3
Falcons,28.2,1706,5,49,14.3,27,5.6,55,11.4
Giants,25.5,1583,4.4,68,18.8,24,5.1,66,14
Jaguars,21,1565,4.5,67,19.1,25,5.7,67,15.2
Jets,25.4,1716,4.6,65,17.4,28,5.7,86,17.4
Lions,24.5,1498,4.6,59,18.2,37,8.4,67,15.3
Packers,23.6,1641,4.6,65,18.1,40,8.5,69,14.6
Panthers,25.5,1271,4.2,93,30.6,30,6.3,63,13.2
Patriots,22.5,1469,4.9,56,18.6,24,4.6,80,15.2
Raiders,29.8,1879,4.8,43,11.1,11,2.8,39,9.9
Rams,24.1,1615,5.1,75,23.7,34,7.2,82,17.4
Ravens,18.5,1141,3.8,78,25.7,38,7.4,89,17.4
Redskins,22.8,1460,4.5,61,18.7,34,6.9,75,15.2
Saints,21.8,1010,3.6,79,28.4,41,8.1,82,16.3
Seahawks,20.5,1478,5,65,21.9,33,6.9,80,16.8
Steelers,23.5,1260,4,85,27.2,45,8.8,96,18.8
Texans,19.9,1146,3.6,76,24.1,36,7,79,15.4
Titans,19.5,1497,4.4,72,21,33,7.1,74,15.9
Vikings,22.4,1404,3.9,77,21.4,38,8.5,74,16.5
