Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,13,16.91,18.88,29.97,14.48,4.69,84.94
2,Buffalo Bills,BUF,DST,13,13.99,27.16,29.38,8.48,7,86.02
3,Minnesota Vikings,MIN,DST,13,17.23,22.72,30.02,10.69,6.23,86.88
4,Jacksonville Jaguars,JAX,DST,13,17.36,21.92,29.28,13.18,5.62,87.36
5,Dallas Cowboys,DAL,DST,13,17.87,21.08,29.47,15.18,5.62,89.22
6,Chicago Bears,CHI,DST,13,15.87,20.05,39.28,9.78,5.69,90.68
7,Tennessee Titans,TEN,DST,13,17.32,19.22,40.8,7.67,6.08,91.08
8,Los Angeles Chargers,LAC,DST,13,16.35,26.1,33.3,10.57,5.08,91.39
9,Indianapolis Colts,IND,DST,13,18.88,25.62,30.61,14.43,6.69,96.24
10,Houston Texans,HOU,DST,13,18.6,21.85,35.97,15.11,5.23,96.75
11,Arizona Cardinals,ARI,DST,13,15.87,31.14,34.68,9.52,6.15,97.36
12,Seattle Seahawks,SEA,DST,13,18.52,26.78,39.6,8.38,4.15,97.43
13,Green Bay Packers,GB,DST,13,18.28,23.9,41.59,8.67,6.08,98.52
14,Detroit Lions,DET,DST,13,19.07,27.92,37.23,10.18,4.46,98.88
15,Pittsburgh Steelers,PIT,DST,13,20.45,20.52,37.86,16.02,5.85,100.7
16,New York Giants,NYG,DST,13,18.44,28.16,33.51,12.58,8.38,101.07
17,New Orleans Saints,NO,DST,13,23.46,19.38,47.11,8.72,3.77,102.44
18,San Francisco 49ers,SF,DST,13,20.8,25.42,40.04,10.34,6.15,102.76
19,Los Angeles Rams,LAR,DST,13,20.17,24.42,37.32,13.88,7,102.79
20,New York Jets,NYJ,DST,13,19.47,24.27,42.91,9.12,7.38,103.15
21,Washington Redskins,WAS,DST,13,21.05,25.58,40.96,10.38,5.77,103.73
22,Denver Broncos,DEN,DST,13,19.18,24.75,37.97,15.67,6.54,104.11
23,New England Patriots,NE,DST,13,21.12,26.06,37.02,14.15,5.85,104.2
24,Carolina Panthers,CAR,DST,13,21.87,20.39,40.9,16.18,7,106.34
25,Oakland Raiders,OAK,DST,13,21.14,27.27,34.63,17.08,6.54,106.66
26,Miami Dolphins,MIA,DST,13,21.08,28.4,37.29,14.58,6.38,107.74
27,Philadelphia Eagles,PHI,DST,13,20.99,26.47,44.52,9.23,7.77,108.98
28,Cleveland Browns,CLE,DST,13,19.93,29.39,39.82,15.42,7.23,111.8
29,Atlanta Falcons,ATL,DST,13,24.21,31.78,40.2,10.07,6.08,112.34
30,Kansas City Chiefs,KC,DST,13,23.28,32.39,37.34,16.95,6.38,116.34
31,Tampa Bay Buccaneers,TB,DST,13,23.08,30.82,41.16,15,6.38,116.45
32,Cincinnati Bengals,CIN,DST,13,24.22,33.48,38.89,14.1,7.85,118.55
