Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Saquon Barkley,NYG,RB,11,TB,27,142,5.3,2,3,2,10,1,0,0,38.2,38.2
2,Ezekiel Elliott,DAL,RB,11,ATL,23,122,5.3,1,8,7,79,0,1,0,36.1,36.1
3,Aaron Jones,GB,RB,11,SEA,11,40,3.6,1,6,5,63,1,0,0,27.3,27.3
4,Phillip Lindsay,DEN,RB,11,LAC,11,79,7.2,2,5,4,27,0,0,0,26.6,26.6
5,Mark Ingram,NO,RB,11,PHI,16,103,6.4,2,0,0,0,0,0,0,25.3,25.3
6,Gus Edwards,BAL,RB,11,CIN,17,115,6.8,1,0,0,0,0,0,0,22.5,22.5
7,Leonard Fournette,JAX,RB,11,PIT,28,95,3.4,1,2,2,46,0,0,0,22.1,22.1
8,Peyton Barber,TB,RB,11,NYG,18,106,5.9,1,2,2,4,0,0,0,22,22
9,Melvin Gordon,LAC,RB,11,DEN,18,69,3.8,0,6,6,87,0,0,0,21.6,21.6
10,Kareem Hunt,KC,RB,11,LAR,14,70,5,0,4,3,41,1,0,0,20.1,20.1
11,David Johnson,ARI,RB,11,OAK,25,137,5.5,0,3,1,17,0,0,0,19.4,19.4
12,Alvin Kamara,NO,RB,11,PHI,13,71,5.5,0,1,1,37,1,0,0,17.8,17.8
13,Kerryon Johnson,DET,RB,11,CAR,15,87,5.8,1,2,2,10,0,0,0,17.7,17.7
14,Adrian Peterson,WAS,RB,11,HOU,16,51,3.2,2,0,0,0,0,1,0,17.1,17.1
15,Christian McCaffrey,CAR,RB,11,DET,13,53,4.1,0,8,6,57,0,0,0,17,17
16,Josh Adams,PHI,RB,11,NO,7,53,7.6,1,6,3,19,0,0,0,16.2,16.2
17,Joe Mixon,CIN,RB,11,BAL,12,14,1.2,1,3,3,38,0,0,0,14.2,14.2
18,Marlon Mack,IND,RB,11,TEN,16,61,3.8,1,2,1,8,0,0,0,13.9,13.9
19,Lamar Miller,HOU,RB,11,WAS,20,86,4.3,0,5,3,22,0,0,0,13.8,13.8
20,Chris Carson,SEA,RB,11,GB,17,83,4.9,1,0,0,0,0,1,1,13.3,13.3
21,Todd Gurley,LAR,RB,11,KC,12,55,4.6,0,3,3,39,0,0,0,12.4,12.4
22,Jalen Richard,OAK,RB,11,ARI,11,61,5.5,0,4,3,32,0,1,0,12.3,12.3
23,Tevin Coleman,ATL,RB,11,DAL,8,58,7.2,0,3,3,27,0,0,0,11.5,11.5
24,James Conner,PIT,RB,11,JAX,9,25,2.8,0,9,6,24,0,0,0,10.9,10.9
25,Royce Freeman,DEN,RB,11,LAC,7,23,3.3,1,1,1,7,0,0,0,10,10
26,Jordan Wilkins,IND,RB,11,TEN,4,30,7.5,1,0,0,0,0,0,0,9,9
27,Austin Ekeler,LAC,RB,11,DEN,6,29,4.8,0,2,2,40,0,0,0,8.9,8.9
28,Theo Riddick,DET,RB,11,CAR,1,0,0,0,7,5,30,0,0,0,8,8
29,Alex Collins,BAL,RB,11,CIN,7,18,2.6,1,0,0,0,0,0,0,7.8,7.8
30,Jordan Howard,CHI,RB,11,MIN,18,63,3.5,0,1,1,2,0,0,0,7.5,7.5
31,Mike Davis,SEA,RB,11,GB,4,26,6.5,0,2,2,24,0,0,0,7,7
