Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,11,LAR,33,46,71.7,478,10.4,6,3,117.57,6,28,4.7,0,43.9,43.92
2,Jared Goff,LAR,QB,11,KC,31,49,63.3,413,8.4,4,0,117.13,4,6,1.5,1,40.1,40.12
3,Drew Brees,NO,QB,11,PHI,22,30,73.3,363,12.1,4,0,153.19,0,0,0,0,33.5,33.52
4,Cam Newton,CAR,QB,11,DET,25,37,67.6,357,9.6,3,1,114.36,2,2,1,0,28.5,28.48
5,Ben Roethlisberger,PIT,QB,11,JAX,27,47,57.4,314,6.7,2,3,65.38,2,1,0.5,1,26.7,26.66
6,Philip Rivers,LAC,QB,11,DEN,28,43,65.1,401,9.3,2,2,91.33,1,-4,-4,0,24.6,24.64
7,Aaron Rodgers,GB,QB,11,SEA,21,30,70,332,11.1,2,0,128.75,1,3,3,0,24.6,24.58
8,Andrew Luck,IND,QB,11,TEN,23,29,79.3,297,10.2,3,0,143.82,0,0,0,0,23.9,23.88
9,Lamar Jackson,BAL,QB,11,CIN,13,19,68.4,150,7.9,0,1,70.07,27,117,4.3,0,19.7,19.7
10,Andy Dalton,CIN,QB,11,BAL,19,36,52.8,211,5.9,2,0,89,2,29,14.5,0,19.3,19.34
11,Kirk Cousins,MIN,QB,11,CHI,30,46,65.2,262,5.7,2,2,76.54,1,5,5,0,19,18.98
12,Russell Wilson,SEA,QB,11,GB,21,31,67.7,225,7.3,2,0,110.28,5,17,3.4,0,18.6,18.6
13,Eli Manning,NYG,QB,11,TB,17,18,94.4,231,12.8,2,0,155.79,1,-1,-1,0,17.1,17.14
14,Mitch Trubisky,CHI,QB,11,MIN,20,31,64.5,165,5.3,1,2,61.9,10,43,4.3,0,16.9,16.9
15,Jameis Winston,TB,QB,11,NYG,12,16,75,199,12.4,2,1,129.95,5,16,3.2,0,16.6,16.56
16,Derek Carr,OAK,QB,11,ARI,19,31,61.3,192,6.2,2,0,100.47,0,0,0,0,15.7,15.68
17,Josh Rosen,ARI,QB,11,OAK,9,20,45,136,6.8,3,2,67.92,1,0,0,0,15.4,15.44
18,Dak Prescott,DAL,QB,11,ATL,22,32,68.8,208,6.5,0,0,86.46,4,5,1.2,1,14.8,14.82
19,Matt Ryan,ATL,QB,11,DAL,24,34,70.6,291,8.6,1,1,94.12,1,1,1,0,14.7,14.74
20,Matthew Stafford,DET,QB,11,CAR,23,37,62.2,220,5.9,1,0,87.67,3,6,2,0,13.4,13.4
21,Ryan Fitzpatrick,TB,QB,11,NYG,13,21,61.9,167,8,0,3,47.22,4,14,3.5,1,11.1,11.08
22,Deshaun Watson,HOU,QB,11,WAS,16,24,66.7,208,8.7,1,2,72.92,3,7,2.3,0,11,11.02
23,Colt McCoy,WAS,QB,11,HOU,6,12,50,54,4.5,1,0,90.28,5,35,7,0,9.7,9.66
24,Case Keenum,DEN,QB,11,LAC,19,32,59.4,205,6.4,0,0,78.26,0,0,0,0,8.2,8.2
25,Blaine Gabbert,TEN,QB,11,IND,11,16,68.8,118,7.4,1,1,84.9,0,0,0,0,7.7,7.72
26,Alex Smith,WAS,QB,11,HOU,12,27,44.4,135,5,0,2,29.09,4,33,8.2,0,6.7,6.7
27,Blake Bortles,JAX,QB,11,PIT,10,18,55.6,104,5.8,0,0,72.45,2,17,8.5,0,4.9,4.86
28,Marcus Mariota,TEN,QB,11,IND,10,13,76.9,85,6.5,0,1,61.38,4,17,4.2,0,4.1,4.1
29,Carson Wentz,PHI,QB,11,NO,19,33,57.6,156,4.7,0,3,31.88,1,6,6,0,3.8,3.84
30,Taysom Hill,NO,QB,11,PHI,1,2,50,10,5,0,0,64.58,3,4,1.3,0,0.8,0.8
31,Robert Griffin III,BAL,QB,11,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Jeff Driskel,CIN,QB,11,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Taylor Heinicke,CAR,QB,11,DET,0,1,0,0,0,0,0,39.58,0,0,0,0,0,0
31,Joe Webb,HOU,QB,11,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Teddy Bridgewater,NO,QB,11,PHI,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
36,Jacoby Brissett,IND,QB,11,TEN,1,2,50,-2,-1,0,0,56.25,3,-3,-1,0,-0.4,-0.38
