Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Eric Ebron,IND,TE,5,NE,15,9,60,105,2,28,7,11.7,0,0,0,0,0,0,34.5,34.5
2,Jared Cook,OAK,TE,4,CLE,13,8,61.5,110,2,24,8.5,13.8,0,0,0,0,0,0,34,34
3,Travis Kelce,KC,TE,2,PIT,10,7,70,109,2,31,10.9,15.6,0,0,0,0,0,0,32.9,32.9
4,Trey Burton,CHI,TE,7,NE,11,9,81.8,126,1,22,11.5,14,0,0,0,0,0,0,30.6,30.6
5,Jared Cook,OAK,TE,1,LAR,12,9,75,180,0,45,15,20,0,0,0,0,0,0,30,30
5,Zach Ertz,PHI,TE,5,MIN,11,10,90.9,110,1,23,10,11,0,0,0,0,0,0,30,30
7,Travis Kelce,KC,TE,9,CLE,9,7,77.8,99,2,21,11,14.1,0,0,0,0,0,0,28.9,28.9
8,Jesse James,PIT,TE,2,KC,5,5,100,138,1,46,27.6,27.6,0,0,0,0,0,0,27.8,27.8
9,George Kittle,SF,TE,4,LAC,8,6,75,125,1,82,15.6,20.8,0,0,0,0,0,0,27.5,27.5
10,Rob Gronkowski,NE,TE,1,HOU,8,7,87.5,123,1,30,15.4,17.6,0,0,0,0,1,1,27.3,27.3
11,Zach Ertz,PHI,TE,7,CAR,11,9,81.8,138,0,27,12.5,15.3,0,0,0,0,0,0,25.8,25.8
12,Jeff Heuerman,DEN,TE,9,HOU,11,10,90.9,83,1,14,7.5,8.3,0,0,0,0,0,0,24.3,24.3
13,Vance McDonald,PIT,TE,3,TB,5,4,80,112,1,75,22.4,28,0,0,0,0,0,0,24.2,24.2
13,Zach Ertz,PHI,TE,4,TEN,14,10,71.4,112,0,24,8,11.2,0,0,0,0,0,0,24.2,24.2
15,George Kittle,SF,TE,9,OAK,4,4,100,108,1,71,27,27,0,0,0,0,0,0,23.8,23.8
16,Will Dissly,SEA,TE,1,DEN,5,3,60,105,1,66,21,35,0,0,0,0,0,0,22.5,22.5
17,Travis Kelce,KC,TE,3,SF,10,8,80,114,0,25,11.4,14.2,0,0,0,0,0,0,22.4,22.4
18,Austin Hooper,ATL,TE,6,TB,10,9,90,71,1,14,7.1,7.9,0,0,0,0,0,0,22.1,22.1
19,OJ Howard,TB,TE,9,CAR,6,4,66.7,53,2,31,8.8,13.2,0,0,0,0,0,0,21.3,21.3
20,George Kittle,SF,TE,7,LAR,8,5,62.5,98,1,35,12.2,19.6,0,0,0,0,0,0,20.8,20.8
20,Travis Kelce,KC,TE,4,DEN,12,7,58.3,78,1,29,6.5,11.1,0,0,0,0,0,0,20.8,20.8
22,Zach Ertz,PHI,TE,2,TB,13,11,84.6,94,0,34,7.2,8.5,0,0,0,0,0,0,20.4,20.4
23,Dallas Goedert,PHI,TE,3,IND,7,7,100,73,1,19,10.4,10.4,0,0,0,0,0,0,20.3,20.3
24,Travis Kelce,KC,TE,8,DEN,10,6,60,79,1,18,7.9,13.2,0,0,0,0,0,0,19.9,19.9
