Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Jordan Franks,CIN,TE,8,TB,1,1.5,0,100,100,100,4.2,420
2,Seth DeValve,CLE,TE,8,PIT,5,7.8,0,40,40,40,10.8,216
3,Erik Swoope,IND,TE,7,BUF,6,9.1,0,16.7,16.7,16.7,8.7,145
4,Michael Roberts,DET,TE,2,SF,7,9.1,0,14.3,14.3,14.3,8.5,121.4
5,Michael Roberts,DET,TE,7,MIA,19,29.7,0,15.8,15.8,15.8,19.8,104.2
6,Erik Swoope,IND,TE,5,NE,14,16.9,0,21.4,21.4,21.4,13.4,95.7
7,Eric Ebron,IND,TE,8,OAK,17,21.8,0,17.6,17.6,17.6,12.7,74.7
8,Ed Dickson,SEA,TE,8,DET,20,31.7,0,10,10,10,13.4,67
9,Vance McDonald,PIT,TE,3,TB,32,48.5,0,15.6,12.5,15.6,24.2,75.6
10,Tyler Eifert,CIN,TE,4,ATL,19,26,0,21.1,21.1,21.1,13.8,72.6
11,George Kittle,SF,TE,9,OAK,33,60,0,12.1,12.1,12.1,23.8,72.1
12,Eric Ebron,IND,TE,2,WAS,17,27.9,0,23.5,17.6,23.5,11.6,68.2
13,Will Dissly,SEA,TE,1,DEN,33,57.9,0,15.2,9.1,15.2,22.5,68.2
14,OJ Howard,TB,TE,9,CAR,37,55.2,0,16.2,10.8,16.2,21.3,57.6
15,Rico Gathers,DAL,TE,5,HOU,7,11.3,0,14.3,14.3,14.3,4.2,60
16,Jesse James,PIT,TE,2,KC,45,54.9,0,11.1,11.1,11.1,27.8,61.8
17,Jared Cook,OAK,TE,8,IND,31,62,0,16.1,12.9,16.1,17.4,56.1
18,Chris Herndon IV,NYJ,TE,7,MIN,24,33.8,0,29.2,16.7,29.2,14.2,59.2
19,Chris Herndon IV,NYJ,TE,6,IND,28,39.4,0,7.1,7.1,7.1,13.6,48.6
20,Travis Kelce,KC,TE,2,PIT,57,98.3,0,17.5,12.3,17.5,32.9,57.7
21,Eric Ebron,IND,TE,5,NE,59,71.1,0,25.4,15.3,25.4,34.5,58.5
22,Antonio Gates,LAC,TE,4,SF,23,33.8,0,21.7,8.7,21.7,10.7,46.5
22,Lance Kendricks,GB,TE,5,DET,18,22.2,0,11.1,11.1,11.1,8.8,48.9
22,Gerald Everett,LAR,TE,9,NO,18,30,0,27.8,16.7,27.8,9.8,54.4
25,George Kittle,SF,TE,4,LAC,50,83.3,0,16,12,16,27.5,55
25,Benjamin Watson,NO,TE,9,LAR,33,46.5,0,12.1,9.1,12.1,15.2,46.1
27,Travis Kelce,KC,TE,9,CLE,61,95.3,0,14.8,11.5,14.8,28.9,47.4
27,OJ Howard,TB,TE,6,ATL,34,51.5,0,11.8,11.8,11.8,16.2,47.6
29,Jordan Thomas,HOU,TE,3,NYG,15,22.1,0,13.3,13.3,13.3,7.3,48.7
30,Jason Croom,BUF,TE,3,MIN,25,37.3,0,4,4,4,9.6,38.4
30,Mo Alie-Cox,IND,TE,8,OAK,25,32.1,0,4,4,4,9.6,38.4
32,Cameron Brate,TB,TE,6,ATL,22,33.3,0,4.5,4.5,4.5,8.5,38.6
33,OJ Howard,TB,TE,2,PHI,46,79.3,0,8.7,6.5,8.7,18.6,40.4
34,Trey Burton,CHI,TE,4,TB,45,73.8,0,8.9,4.4,8.9,16.6,36.9
35,Dallas Goedert,PHI,TE,8,JAX,30,48.4,0,3.3,3.3,3.3,10.2,34
36,George Kittle,SF,TE,7,LAR,52,89.7,0,15.4,9.6,15.4,20.8,40
36,Jeff Heuerman,DEN,TE,9,HOU,47,71.2,0,23.4,21.3,23.4,24.3,51.7
38,Jared Cook,OAK,TE,4,CLE,76,82.6,0,17.1,10.5,17.1,34,44.7
38,Cameron Brate,TB,TE,3,PIT,31,41.9,0,12.9,9.7,12.9,12.4,40
40,Eric Ebron,IND,TE,1,CIN,37,45.1,0,13.5,10.8,13.5,15.1,40.8
40,Vernon Davis,WAS,TE,6,CAR,36,51.4,0,8.3,8.3,8.3,13.8,38.3
42,Zach Ertz,PHI,TE,5,MIN,57,96.6,0,19.3,17.5,19.3,30,52.6
43,Hayden Hurst,BAL,TE,8,CAR,30,44.1,0,10,6.7,10,10.9,36.3
44,Benjamin Watson,NO,TE,7,BAL,35,49.3,0,17.1,17.1,17.1,16.3,46.6
45,Seth DeValve,CLE,TE,5,BAL,9,11.2,0,11.1,11.1,11.1,3.6,40
46,Mo Alie-Cox,IND,TE,6,NYJ,12,17.4,0,16.7,8.3,16.7,4.4,36.7
47,Erik Swoope,IND,TE,6,NYJ,22,31.9,0,9.1,4.5,9.1,7.2,32.7
48,Chris Herndon IV,NYJ,TE,8,CHI,27,50,0,7.4,3.7,7.4,8.6,31.9
48,Demetrius Harris,KC,TE,3,SF,26,34.2,0,11.5,3.8,11.5,8.3,31.9
48,Jordan Leggett,NYJ,TE,4,JAX,26,47.3,0,15.4,11.5,15.4,10.3,39.6
51,Dallas Goedert,PHI,TE,7,CAR,37,55.2,0,13.5,10.8,13.5,14.3,38.6
52,Jordan Thomas,HOU,TE,8,MIA,54,88.5,0,7.4,7.4,7.4,18.9,35
53,Mike Gesicki,MIA,TE,7,DET,16,28.6,0,18.8,18.8,18.8,7.4,46.2
54,Garrett Celek,SF,TE,2,DET,30,46.9,0,6.7,6.7,6.7,10.2,34
55,Darren Fells,CLE,TE,4,OAK,40,48.8,0,5,2.5,5,11.9,29.8
56,Jared Cook,OAK,TE,1,LAR,67,90.5,0,17.9,13.4,17.9,30,44.8
57,Trey Burton,CHI,TE,7,NE,70,85.4,0,15.7,12.9,15.7,30.6,43.7
57,Logan Paulsen,ATL,TE,4,CIN,29,41.4,0,3.4,3.4,3.4,8.7,30
59,Eric Ebron,IND,TE,6,NYJ,49,71,2,14.3,10.2,16.3,17,34.7
60,Jordan Reed,WAS,TE,1,ARI,41,51.9,0,12.2,9.8,12.2,14.8,36.1
61,Mark Andrews,BAL,TE,7,NO,26,38.2,0,3.8,3.8,3.8,7.8,30
62,Erik Swoope,IND,TE,1,CIN,5,6.1,0,20,20,20,2.3,46
63,Travis Kelce,KC,TE,8,DEN,55,94.8,0,18.2,10.9,18.2,19.9,36.2
64,Jacob Hollister,NE,TE,2,JAX,14,23,0,21.4,21.4,21.4,6.5,46.4
65,Niles Paul,JAX,TE,2,NE,9,12.7,0,11.1,11.1,11.1,3.2,35.6
66,Austin Hooper,ATL,TE,6,TB,54,80.6,0,18.5,16.7,18.5,22.1,40.9
67,Dallas Goedert,PHI,TE,3,IND,55,67.1,0,12.7,12.7,12.7,20.3,36.9
67,OJ Howard,TB,TE,8,CIN,53,60.2,0,7.5,7.5,7.5,16.8,31.7
69,Cameron Brate,TB,TE,4,CHI,37,58.7,0,10.8,8.1,10.8,11.9,32.2
70,Luke Stocker,TEN,TE,7,LAC,30,42.3,0,6.7,6.7,6.7,9.1,30.3
71,Nick Vannett,SEA,TE,9,LAC,48,59.3,0,16.7,12.5,16.7,17.2,35.8
72,AJ Derby,MIA,TE,2,NYJ,34,56.7,0,5.9,2.9,5.9,8.9,26.2
73,Jack Doyle,IND,TE,8,OAK,57,73.1,0,12.3,10.5,12.3,19,33.3
74,Greg Olsen,CAR,TE,9,TB,60,96.8,0,10,10,10,19.6,32.7
75,Ricky Seals-Jones,ARI,TE,3,CHI,42,84,0,7.1,2.4,7.1,10.5,25
75,CJ Uzomah,CIN,TE,3,CAR,35,53.8,0,5.7,5.7,5.7,9.9,28.3
77,Austin Hooper,ATL,TE,2,CAR,53,84.1,0,9.4,9.4,9.4,16.9,31.9
78,Josh Hill,NO,TE,5,WAS,38,57.6,0,5.3,5.3,5.3,10.4,27.4
79,Trey Burton,CHI,TE,9,BUF,40,78.4,0,7.5,5,7.5,10.8,27
79,Mark Andrews,BAL,TE,2,CIN,35,41.2,0,11.4,8.6,11.4,10.7,30.6
79,Demetrius Harris,KC,TE,7,CIN,35,50,0,5.7,2.9,5.7,8.7,24.9
82,Mark Andrews,BAL,TE,3,DEN,27,37.5,0,11.1,7.4,11.1,7.9,29.3
