Team,Home,PointSpread,OverUnder
NO,FALSE,-7.5,52.5
LAR,FALSE,-10,54.5
GB,TRUE,-14,44.5
HOU,TRUE,-6,48
IND,FALSE,-4,47.5
MIA,TRUE,-5,40
ATL,TRUE,-1,48.5
DEN,FALSE,-4.5,44
CHI,FALSE,-4.5,44
CAR,FALSE,-3.5,55
TEN,TRUE,-7.5,40.5
KC,FALSE,-15.5,55
NE,TRUE,-5.5,48.5
SEA,TRUE,-10,46
PIT,TRUE,-3.5,52
PHI,TRUE,-6,43.5
DAL,TRUE,7.5,52.5
DET,TRUE,10,54.5
ARI,FALSE,14,44.5
CLE,FALSE,6,48
JAX,TRUE,4,47.5
BUF,FALSE,5,40
BAL,FALSE,1,48.5
CIN,TRUE,4.5,44
NYG,TRUE,4.5,44
TB,TRUE,3.5,55
NYJ,FALSE,7.5,40.5
OAK,TRUE,15.5,55
MIN,FALSE,5.5,48.5
SF,FALSE,10,46
LAC,FALSE,3.5,52
WAS,FALSE,6,43.5
