TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
49ers,21.5,1728,4.5,101,26.2,44,8.7,112,22.2
Bears,27.4,1679,4.2,77,19.1,30,6.2,58,11.9
Bengals,24.1,1455,4.6,76,24,30,5.7,60,11.3
Bills,15.4,1746,4.2,91,21.8,40,8.5,93,19.7
Broncos,21.9,1725,5,66,19.2,32,6,90,16.8
Browns,22.1,1697,4.6,86,23.3,38,7.1,72,13.5
Buccaneers,24.6,1368,4,74,21.4,37,6.4,101,17.4
Cardinals,13.7,1153,3.7,83,26.5,42,8.9,94,19.9
Chargers,28.2,1706,4.8,66,18.7,29,6,81,16.9
Chiefs,35.6,1602,4.7,58,17,25,4.6,95,17.6
Colts,26.6,1511,4.2,59,16.6,16,2.8,69,11.9
Cowboys,19.7,1833,4.7,86,21.9,51,10,101,19.8
Dolphins,21.1,1577,4.8,86,26.2,45,10.1,93,20.9
Eagles,22.2,1384,4,82,24,36,6.5,92,16.7
Falcons,25.4,1270,4.2,100,33.3,40,6.8,103,17.6
Giants,21.9,1424,4.7,98,32.7,46,8.3,92,16.6
Jaguars,16.1,1567,4.3,75,20.4,44,8.3,99,18.8
Jets,20.9,1471,4,82,22.3,31,6.3,69,14
Lions,20.3,1444,4.2,80,23.3,37,6.9,74,13.8
Packers,23.7,1494,5,78,26,46,7.8,89,15.1
Panthers,23.8,1884,5.3,60,16.9,29,5.7,64,12.7
Patriots,26.7,1633,4.1,47,11.7,19,3.6,63,11.8
Raiders,18.6,1387,4.2,84,25.6,48,8.8,86,15.8
Rams,32,1807,4.8,72,19.1,31,5.7,68,12.5
Ravens,24.4,1986,4.3,54,11.6,27,5,60,11.2
Redskins,18.9,1592,4.3,94,25.5,38,7.7,88,17.7
Saints,32.8,1784,4.2,50,11.8,16,3.4,46,9.7
Seahawks,25.9,2168,4.7,76,16.6,42,10,82,19.6
Steelers,27.4,1315,4.3,54,17.6,20,3.3,56,9.1
Texans,25.1,1825,4.3,105,25,52,10.8,116,24
Titans,19.1,1831,4.5,97,23.6,44,10.3,68,15.9
Vikings,23.1,1330,4.2,77,24.5,34,5.9,86,14.9
