Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Josh Rosen,4500.0,11.05,19.46,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,8.9,19.9,ARI,33.0,15.583333333333334,28.0,55.7,170.16666666666666,6.1,0.8333333333333334,1.1666666666666667,66.34,1.5833333333333333,7.416666666666667,4.7,0.0,9.6,1.25,2.9166666666666665,42.9,10.916666666666666,3.7,0.5,0.0,92.98,0.0,0.0,0.0,0.0,2.6,56.0,81.6,2.8,0.0,52.8,52.8,17.2,18.029214673626555,10.103146360868967
Mike Glennon,4200.0,0.19,19.46,24.5,60.642857142857146,363.07142857142856,6.0,20.357142857142858,11.857142857142858,39.2,3.2142857142857144,60.0,6.8,16.9,469,65.2,239.78571428571428,7.2,11.0,1.9285714285714286,92,True,14.0,44.5,15.25,13.7,56.01302083333333,242.88958333333332,4.3,15.127083333333333,12.2015625,30.4,1.7125,70.8,8.9,19.9,ARI,52.0,10.0,14.0,71.4,111.0,7.9,1.0,0.0,118.45,0.0,0.0,0.0,0.0,8.4,2.0,3.0,66.7,10.0,3.3,1.0,0.0,111.11,0.0,0.0,0.0,0.0,4.4,17.0,2.5,0.0,0.0,82.4,82.4,49.6,13.6872509753105,10.382127666093423
Matt Ryan,6100.0,19.51,20.92,24.6,60.71337209302326,352.5523255813954,5.8,20.166279069767445,11.65639534883721,39.9,3.0034883720930234,71.4,6.2,13.1,481,67.4,250.57674418604654,7.3,10.8,2.002325581395349,98,False,-3.5,43.5,23.5,25.4,63.214606741573036,378.85955056179773,6.0,22.046629213483147,12.842696629213483,45.6,3.1393258426966293,63.6,6.8,17.6,ATL,2.0,26.857142857142858,38.42857142857143,69.9,307.64285714285717,8.0,2.142857142857143,0.42857142857142855,107.62,2.0,8.5,4.2,0.21428571428571427,24.1,3.0714285714285716,4.785714285714286,64.2,24.285714285714285,5.1,1.4285714285714286,0.07142857142857142,110.07,0.35714285714285715,-0.42857142857142855,-1.2,0.21428571428571427,8.1,65.9,98.7,3.0,0.0,61.3,61.3,36.5,24.17056369764119,19.758869428136553
Matt Schaub,4000.0,0.07,20.92,24.6,60.71337209302326,352.5523255813954,5.8,20.166279069767445,11.65639534883721,39.9,3.0034883720930234,71.4,6.2,13.1,481,67.4,250.57674418604654,7.3,10.8,2.002325581395349,98,False,-3.5,43.5,23.5,25.4,63.214606741573036,378.85955056179773,6.0,22.046629213483147,12.842696629213483,45.6,3.1393258426966293,63.6,6.8,17.6,ATL,57.0,1.6666666666666667,2.3333333333333335,71.4,6.666666666666667,2.9,0.0,0.0,74.11,0.3333333333333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.4,7.7,7.7,69.2,69.2,8.5,12.51954830122441,3.1923435529462934
Lamar Jackson,6000.0,18.36,16.47,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,5.0,11.2,BAL,32.0,5.214285714285714,8.857142857142858,58.9,58.42857142857143,6.6,0.35714285714285715,0.21428571428571427,81.99,8.142857142857142,40.42857142857143,5.0,0.21428571428571427,8.9,0.6428571428571429,1.3571428571428572,47.4,4.357142857142857,3.2,0.2857142857142857,0.0,94.52,2.0714285714285716,6.357142857142857,3.1,0.21428571428571427,3.2,32.0,42.6,25.4,0.4,53.1,53.6,27.8,17.861881809922146,14.574943520330503
Joe Flacco,4600.0,0.86,16.47,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,5.0,11.2,BAL,29.0,25.77777777777778,42.111111111111114,61.2,273.8888888888889,6.5,1.3333333333333333,0.6666666666666666,84.15,2.111111111111111,5.0,2.4,0.0,16.7,2.6666666666666665,5.111111111111111,52.2,16.555555555555557,3.2,1.1111111111111112,0.1111111111111111,89.58,0.3333333333333333,0.0,0.0,0.0,5.0,71.1,60.9,3.0,0.0,62.2,62.2,23.5,18.685120790440138,17.13042346162209
Robert Griffin III,4300.0,0.0,16.47,21.3,60.540604026845635,329.36375838926176,5.4,19.798993288590605,12.436912751677852,40.8,3.216442953020134,55.6,6.6,15.0,478,64.4,225.57986577181208,6.6,10.2,1.501006711409396,87,False,4.5,43.0,19.25,24.4,71.69736070381231,370.29325513196477,5.2,23.469794721407624,14.59706744868035,47.5,3.7208211143695014,61.5,5.0,11.2,BAL,58.0,0.6666666666666666,2.0,33.3,7.0,3.5,0.0,0.0,44.44,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,0.0,0.0,28.6,28.6,4.0,8.4851426596225,1.969867075846528
Josh Allen,5800.0,17.9,20.69,22.1,63.3058064516129,371.99290322580646,5.9,21.101935483870967,12.261935483870968,40.7,3.065483870967742,62.8,4.6,15.7,536,62.3,256.00354838709677,6.7,10.8,1.9961290322580645,87,False,13.0,45.0,16.0,15.4,63.677209302325586,294.24744186046513,4.6,17.62046511627907,13.752558139534884,31.8,2.292093023255814,56.2,8.5,19.7,BUF,27.0,13.2,25.3,52.2,163.3,6.5,0.6,0.9,65.54,7.5,50.6,6.7,0.6,17.3,0.8,2.1,38.1,4.3,2.0,0.2,0.1,58.23,1.8,9.3,5.2,0.6,5.6,59.6,67.7,12.6,0.2,55.0,55.2,29.0,16.682929702426243,17.721587415248376
Matt Barkley,4200.0,0.18,20.69,22.1,63.3058064516129,371.99290322580646,5.9,21.101935483870967,12.261935483870968,40.7,3.065483870967742,62.8,4.6,15.7,536,62.3,256.00354838709677,6.7,10.8,1.9961290322580645,87,False,13.0,45.0,16.0,15.4,63.677209302325586,294.24744186046513,4.6,17.62046511627907,13.752558139534884,31.8,2.292093023255814,56.2,8.5,19.7,BUF,50.0,15.0,25.0,60.0,232.0,9.3,2.0,0.0,117.42,3.0,-2.0,-0.7,0.0,17.1,4.0,7.0,57.1,33.0,4.7,2.0,0.0,108.93,1.0,0.0,0.0,0.0,9.3,73.0,16.7,4.1,0.0,38.4,38.4,23.4,11.09420547821315,13.537426550618326
Derek Anderson,4000.0,0.0,20.69,22.1,63.3058064516129,371.99290322580646,5.9,21.101935483870967,12.261935483870968,40.7,3.065483870967742,62.8,4.6,15.7,536,62.3,256.00354838709677,6.7,10.8,1.9961290322580645,87,False,13.0,45.0,16.0,15.4,63.677209302325586,294.24744186046513,4.6,17.62046511627907,13.752558139534884,31.8,2.292093023255814,56.2,8.5,19.7,BUF,51.0,21.0,35.0,60.0,232.5,6.6,0.0,2.0,55.95,0.5,-0.5,-1.0,0.0,6.2,1.0,1.5,66.7,2.5,1.7,0.0,0.0,70.14,0.0,0.0,0.0,0.0,0.1,59.0,21.1,0.8,0.0,60.2,60.2,10.6,10.393511660813662,10.508537345075021
