Name,DraftKingsSalary,FantasyPointsDraftKings,DPointsAllowed,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointSnapPercentageDraftKings,PLSProjections,RFProjections
Eric Tomlinson,2500.0,1.23,9.44,23.6,63.31359516616315,349.22296072507555,5.5,20.177643504531723,13.332930513595167,36.9,3.422356495468278,58.3,8.2,14.0,459,63.4,225.09123867069488,6.9,10.8,1.711178247734139,95,True,3.0,46.0,21.5,20.9,61.48321917808219,299.04178082191777,4.9,15.961301369863012,13.59931506849315,32.6,2.71986301369863,44.7,32.99623287671233,56.2,193.7544520547945,5.9,10.5,1.0736301369863013,67,77.0,NYJ,1.0,0.5714285714285714,57.1,5.142857142857143,0.0,5.1,9.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,38.1,0.0,4.2,2.4,4.2,4.5,2.876669730560149,1.8978665664536303
Jared Cook,5300.0,12.28,14.98,21.4,65.13043478260869,378.83010033444816,5.8,20.39799331103679,13.383946488294313,39.0,2.791304347826087,56.4,7.8,16.6,499,64.1,258.3745819397993,7.2,11.3,1.7892976588628762,90,True,2.5,44.5,21.0,18.6,62.45307692307693,344.3861538461539,5.5,18.88615384615385,12.447692307692309,36.8,2.9330769230769236,53.7,35.55461538461539,68.2,245.16230769230773,6.9,10.1,1.3592307692307695,94,5.0,OAK,6.642857142857143,4.5,67.7,60.57142857142857,0.42857142857142855,9.1,13.5,0.0,0.0,0.0,0.0,14.0,1.0714285714285714,0.7142857142857143,66.7,4.928571428571429,0.21428571428571427,4.6,6.9,0.0,0.0,0.0,0.0,2.5,49.4,75.4,0.0,13.5,9.1,13.5,28.3,13.990567566111846,12.02215230299739
Lee Smith,2500.0,1.87,14.98,21.4,65.13043478260869,378.83010033444816,5.8,20.39799331103679,13.383946488294313,39.0,2.791304347826087,56.4,7.8,16.6,499,64.1,258.3745819397993,7.2,11.3,1.7892976588628762,90,True,2.5,44.5,21.0,18.6,62.45307692307693,344.3861538461539,5.5,18.88615384615385,12.447692307692309,36.8,2.9330769230769236,53.7,35.55461538461539,68.2,245.16230769230773,6.9,10.1,1.3592307692307695,94,55.0,OAK,0.7857142857142857,0.7142857142857143,90.9,5.214285714285714,0.21428571428571427,6.6,7.3,0.0,0.0,0.0,0.0,2.5,0.2857142857142857,0.2857142857142857,100.0,0.5,0.21428571428571427,1.8,1.8,0.0,0.0,0.0,0.0,1.6,17.4,26.5,0.0,4.5,4.1,4.5,14.5,1.708820816189566,2.3294584275738592
Derek Carrier,2500.0,1.38,14.98,21.4,65.13043478260869,378.83010033444816,5.8,20.39799331103679,13.383946488294313,39.0,2.791304347826087,56.4,7.8,16.6,499,64.1,258.3745819397993,7.2,11.3,1.7892976588628762,90,True,2.5,44.5,21.0,18.6,62.45307692307693,344.3861538461539,5.5,18.88615384615385,12.447692307692309,36.8,2.9330769230769236,53.7,35.55461538461539,68.2,245.16230769230773,6.9,10.1,1.3592307692307695,94,72.0,OAK,0.8571428571428571,0.5,58.3,4.785714285714286,0.07142857142857142,5.6,9.6,0.0,0.0,0.0,0.0,1.4,0.14285714285714285,0.07142857142857142,50.0,0.42857142857142855,0.07142857142857142,3.0,6.0,0.0,0.0,0.0,0.0,0.5,14.1,21.5,0.0,6.1,3.6,6.1,10.0,2.698468208067969,1.6330599696212107
Zach Ertz,5900.0,15.8,14.9,20.1,64.5202846975089,347.06476868327405,5.4,19.098576512455516,14.162989323843417,39.9,2.718149466192171,73.7,7.0,15.5,516,64.9,258.65338078291813,7.0,10.8,1.716725978647687,90,True,-2.5,46.0,24.25,22.2,63.74469453376206,354.4861736334405,5.6,21.12926045016077,12.491961414790996,38.3,3.711897106109325,57.7,36.762057877813504,69.5,255.69260450160772,7.0,10.0,1.5704180064308682,96,2.0,PHI,9.714285714285714,7.214285714285714,74.3,74.14285714285714,0.42857142857142855,7.6,10.3,0.0,0.0,0.0,0.0,18.1,1.6428571428571428,0.8571428571428571,52.2,7.0,0.42857142857142855,4.3,8.2,0.0,0.0,0.0,0.0,4.1,62.4,93.1,0.0,15.6,11.6,15.6,28.9,18.817225463091884,13.785226865165289
Dallas Goedert,2600.0,5.32,14.9,20.1,64.5202846975089,347.06476868327405,5.4,19.098576512455516,14.162989323843417,39.9,2.718149466192171,73.7,7.0,15.5,516,64.9,258.65338078291813,7.0,10.8,1.716725978647687,90,True,-2.5,46.0,24.25,22.2,63.74469453376206,354.4861736334405,5.6,21.12926045016077,12.491961414790996,38.3,3.711897106109325,57.7,36.762057877813504,69.5,255.69260450160772,7.0,10.0,1.5704180064308682,96,23.0,PHI,2.7142857142857144,1.9285714285714286,71.1,19.785714285714285,0.2857142857142857,7.3,10.3,0.0,0.0,0.0,0.0,5.6,0.42857142857142855,0.2857142857142857,66.7,1.5714285714285714,0.21428571428571427,3.7,5.5,0.0,0.0,0.0,0.0,1.7,30.9,46.1,0.0,8.8,6.2,8.8,18.2,6.438227575824421,4.362231870611706
Richard Rodgers,2500.0,0.59,14.9,20.1,64.5202846975089,347.06476868327405,5.4,19.098576512455516,14.162989323843417,39.9,2.718149466192171,73.7,7.0,15.5,516,64.9,258.65338078291813,7.0,10.8,1.716725978647687,90,True,-2.5,46.0,24.25,22.2,63.74469453376206,354.4861736334405,5.6,21.12926045016077,12.491961414790996,38.3,3.711897106109325,57.7,36.762057877813504,69.5,255.69260450160772,7.0,10.0,1.5704180064308682,96,111.0,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.4,0.0,0.0,0.0,0.0,0.0,1.9935068711418618,0.8583039430128472
Vance McDonald,4100.0,8.5,9.19,20.9,60.05171232876712,342.2732876712329,5.7,20.184246575342463,11.666780821917808,40.5,3.006164383561644,61.9,8.4,16.2,493,67.5,262.96780821917804,7.5,11.0,1.7893835616438354,96,False,5.5,53.5,24.0,27.4,65.7171875,405.36302083333334,6.2,23.832291666666666,12.130208333333332,45.3,3.0682291666666663,76.7,42.384375,66.5,311.53229166666665,7.4,11.1,2.2119791666666666,94,9.0,PIT,4.846153846153846,3.5384615384615383,73.0,40.15384615384615,0.3076923076923077,8.3,11.3,0.0,0.0,0.0,0.0,9.6,0.6153846153846154,0.38461538461538464,62.5,2.923076923076923,0.23076923076923078,4.8,7.6,0.0,0.0,0.0,0.0,2.1,37.6,54.9,0.0,12.9,9.4,12.9,25.4,9.5878080009972,9.071427278411326
Jesse James,2800.0,4.44,9.19,20.9,60.05171232876712,342.2732876712329,5.7,20.184246575342463,11.666780821917808,40.5,3.006164383561644,61.9,8.4,16.2,493,67.5,262.96780821917804,7.5,11.0,1.7893835616438354,96,False,5.5,53.5,24.0,27.4,65.7171875,405.36302083333334,6.2,23.832291666666666,12.130208333333332,45.3,3.0682291666666663,76.7,42.384375,66.5,311.53229166666665,7.4,11.1,2.2119791666666666,94,18.0,PIT,2.7142857142857144,2.142857142857143,78.9,30.214285714285715,0.14285714285714285,11.1,14.1,0.0,0.0,0.0,0.0,6.2,0.2857142857142857,0.14285714285714285,50.0,1.0714285714285714,0.07142857142857142,3.8,7.5,0.0,0.0,0.0,0.0,0.7,37.4,53.7,0.0,7.3,5.7,7.3,16.7,6.934619722961141,5.241857678890842
Xavier Grimble,2500.0,0.49,9.19,20.9,60.05171232876712,342.2732876712329,5.7,20.184246575342463,11.666780821917808,40.5,3.006164383561644,61.9,8.4,16.2,493,67.5,262.96780821917804,7.5,11.0,1.7893835616438354,96,False,5.5,53.5,24.0,27.4,65.7171875,405.36302083333334,6.2,23.832291666666666,12.130208333333332,45.3,3.0682291666666663,76.7,42.384375,66.5,311.53229166666665,7.4,11.1,2.2119791666666666,94,87.0,PIT,0.42857142857142855,0.35714285714285715,83.3,5.0,0.0,11.7,14.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,15.2,0.0,4.1,3.4,4.1,7.4,1.3789451814667242,1.2573467379260408
