Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Josh Johnson,WAS,QB,1,29,29,46.8,24.1,0,79.3,79.3,25.3,87.2
2,Patrick Mahomes,KC,QB,13,872,67.1,100,6.1,0,61.4,61.4,396.5,45.5
3,Ryan Fitzpatrick,TB,QB,8,428,53.5,46.3,8.4,0,65.9,65.9,190.84,44.6
4,Cam Newton,CAR,QB,13,826,63.5,98.8,11.6,0,65.1,65.1,298.86,36.2
5,Drew Brees,NO,QB,13,838,64.5,97.7,3.3,0.1,53,53,302.12,36.1
6,Philip Rivers,LAC,QB,13,779,59.9,97.4,2.1,0,54.6,54.6,275.12,35.3
7,Matt Ryan,ATL,QB,13,859,66.1,99,2.9,0,61.4,61.4,312.14,36.3
8,Ben Roethlisberger,PIT,QB,13,880,67.7,96.7,2.7,0.1,64.9,64.9,321.38,36.5
9,Andrew Luck,IND,QB,13,900,69.2,98.1,3.4,0.2,62.4,62.6,305.56,34
10,Aaron Rodgers,GB,QB,13,845,65,98.3,4.1,0,62.7,62.7,268.2,31.7
11,Mitch Trubisky,CHI,QB,11,737,67,83.6,7.7,0,55.4,55.4,247.76,33.6
12,Jared Goff,LAR,QB,13,873,67.2,98.9,4.4,0,56.8,56.8,293.46,33.6
13,Jameis Winston,TB,QB,8,497,62.1,68.4,8.2,0,62.6,62.6,168.56,33.9
14,Ryan Tannehill,MIA,QB,8,420,52.5,67.1,6.2,0,53.1,53.1,129.42,30.8
15,Russell Wilson,SEA,QB,13,850,65.4,100,6.1,0.1,46.9,46.9,255.02,30
16,Deshaun Watson,HOU,QB,13,898,69.1,99.9,8.2,0,53,53,273.92,30.5
17,Andy Dalton,CIN,QB,11,627,57,83.2,2.6,0,60.8,60.8,191.54,30.5
18,Kirk Cousins,MIN,QB,13,864,66.5,100,4.3,0.1,65,65,266.62,30.9
18,Colt McCoy,WAS,QB,3,100,33.3,11.8,10,0,64,64,30.18,30.2
20,Lamar Jackson,BAL,QB,13,371,28.5,38.1,25.6,0.5,52.8,53.4,106.98,28.8
21,Carson Wentz,PHI,QB,11,724,65.8,90.2,4.7,0.1,60.2,60.2,221.66,30.6
21,Jeff Driskel,CIN,QB,6,196,32.7,23.9,5.6,0,56.6,56.6,54.2,27.7
23,Dak Prescott,DAL,QB,13,874,67.2,99.3,7.7,0.1,55.5,55.6,245.5,28.1
24,Tom Brady,NE,QB,13,901,69.3,98.5,2.6,0.1,55.6,55.6,262.1,29.1
25,Josh Allen,BUF,QB,9,528,58.7,65,12.5,0.2,55.5,55.7,153.16,29
26,Baker Mayfield,CLE,QB,11,712,64.7,79.4,4.1,0.1,56.9,57,199.98,28.1
27,Jimmy Garoppolo,SF,QB,3,197,65.7,99.5,4.1,0,49.2,49.2,51.02,25.9
28,Marcus Mariota,TEN,QB,12,681,56.8,84,9,0.1,52.9,52.9,182.2,26.8
29,Eli Manning,NYG,QB,13,810,62.3,97.8,1.5,0,58,58,215.2,26.6
30,Nick Mullens,SF,QB,5,340,68,100,4.4,0,55.6,55.6,93.96,27.6
31,Blake Bortles,JAX,QB,11,706,64.2,80.9,7.1,0,59.3,59.3,191.38,27.1
31,Matt Barkley,BUF,QB,1,73,73,19.7,4.1,0,38.4,38.4,17.08,23.4
33,Derek Carr,OAK,QB,13,846,65.1,98.6,2.4,0,56.3,56.3,221.36,26.2
34,Tyrod Taylor,CLE,QB,4,185,46.2,22.7,8.6,0,54.6,54.6,43.42,23.5
35,CJ Beathard,SF,QB,6,340,56.7,38.8,5.6,0,55.3,55.3,87.98,25.9
36,Joe Flacco,BAL,QB,9,640,71.1,65.7,3,0,62.2,62.2,150.1,23.5
37,Alex Smith,WAS,QB,10,651,65.1,77,6.3,0,56.7,56.7,147,22.6
38,Case Keenum,DEN,QB,13,854,65.7,99.9,2.1,0,55.2,55.2,196.06,23
39,Matthew Stafford,DET,QB,13,864,66.5,99.2,2.7,0,56.1,56.1,200.78,23.2
40,Chase Daniel,CHI,QB,5,147,29.4,16.7,8.8,0.7,61.2,61.2,32.7,22.2
41,Brock Osweiler,MIA,QB,7,340,48.6,44.7,2.4,0,54.7,54.7,75.98,22.3
42,Cody Kessler,JAX,QB,3,167,55.7,19.1,7.2,0,65.3,65.3,33.14,19.8
43,Sam Darnold,NYJ,QB,10,618,61.8,76.3,5.5,0,56.1,56.1,132.26,21.4
44,Taylor Heinicke,CAR,QB,5,9,1.8,1.1,22.2,0,66.7,66.7,1.64,18.2
45,Josh Rosen,ARI,QB,11,620,56.4,82.1,2.7,0,53.4,53.4,112.5,18.1
46,Taysom Hill,NO,QB,13,151,11.6,17.6,21.9,3.3,27.2,29.1,26.46,17.5
47,Blaine Gabbert,TEN,QB,5,130,26,17.6,2.3,0,49.2,49.2,20.5,15.8
48,Nick Foles,PHI,QB,2,151,75.5,17.3,2.6,0.7,57.6,57.6,26.24,17.4
49,Josh McCown,NYJ,QB,4,192,48,23.7,2.6,0,59.9,59.9,24.76,12.9
50,Sam Bradford,ARI,QB,3,135,45,26,1.5,0,60.7,60.7,18.7,13.9
51,Nathan Peterman,BUF,QB,4,148,37,22.4,6.8,0,61.5,61.5,19.84,13.4
52,Derek Anderson,BUF,QB,2,118,59,24.1,0.8,0,60.2,60.2,12.5,10.6
53,Robert Griffin III,BAL,QB,3,21,7,4.1,0,0,28.6,28.6,0.84,4
54,Joe Webb,HOU,QB,13,35,2.7,3.9,0,8.6,5.7,8.6,3.3,9.4
55,Geno Smith,LAC,QB,4,22,5.5,2.8,27.3,0,45.5,45.5,0.72,3.3
56,Joshua Dobbs,PIT,QB,5,30,6,3.3,13.3,0,53.3,53.3,1.82,6.1
57,AJ McCarron,OAK,QB,2,12,6,1.4,25,0,50,50,0.12,1
57,Matt Schaub,ATL,QB,2,10,5,1.2,10,10,90,90,1.1,11
57,Sean Mannion,LAR,QB,1,10,10,1.1,30,0,30,30,0.1,1
60,Mark Sanchez,WAS,QB,2,65,32.5,38.2,1.5,0,55.4,55.4,3.32,5.1
61,Cooper Rush,DAL,QB,1,6,6,0.7,0,0,0,0,0,0
62,Brian Hoyer,NE,QB,3,14,4.7,1.5,42.9,0,50,50,-0.02,-0.1
63,Jacoby Brissett,IND,QB,4,18,4.5,2,38.9,0,61.1,61.1,-0.62,-3.4
64,Teddy Bridgewater,NO,QB,4,19,4.8,2.2,36.8,0,42.1,42.1,-0.7,-3.7
65,Brandon Weeden,HOU,QB,1,1,1,0.1,100,0,100,100,-0.1,-10
65,Chad Kelly,DEN,QB,1,1,1,0.2,100,0,100,100,-0.1,-10
67,Kyle Lauletta,NYG,QB,1,18,18,4.7,5.6,0,33.3,33.3,-1.2,-6.7
68,Deshone Kizer,GB,QB,2,15,7.5,1.7,6.7,0,53.3,53.3,0.1,0.7
69,Matt Cassel,DET,QB,1,7,7,0.8,14.3,0,100,100,-0.54,-7.7
