Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Brandon Bolden,MIA,RB,13,7,0.5,0.9,42.9,14.3,57.1,57.1,20,285.7
2,Justin Davis,LAR,RB,9,1,0.1,0.1,100,0,100,100,1.9,190
3,Zach Zenner,DET,RB,5,28,5.6,8.2,57.1,3.6,60.7,60.7,15.6,55.7
4,Nick Chubb,CLE,RB,13,294,22.6,32.8,49,7.5,54.4,56.5,173,58.8
5,Kenneth Dixon,BAL,RB,3,62,20.7,26.7,46.8,3.2,50,50,30.7,49.5
6,Melvin Gordon,LAC,RB,10,451,45.1,59.7,33.9,13.3,43.7,47.2,263.5,58.4
7,Phillip Lindsay,DEN,RB,13,393,30.2,46,42.7,9.9,50.1,52.7,215.7,54.9
8,Derrick Henry,TEN,RB,13,293,22.5,36.1,49.5,5.1,53.9,54.9,147.32,50.3
9,Justin Jackson,LAC,RB,6,60,10,17.2,45,8.3,53.3,53.3,31,51.7
10,Sony Michel,NE,RB,10,251,25.1,29.9,65.3,4.4,68.1,69.7,120.6,48
11,Alvin Kamara,NO,RB,13,569,43.8,66.3,30.4,15.8,42.7,46.2,313.4,55.1
12,Kareem Hunt,KC,RB,11,505,45.9,64.2,35.8,6.9,41,42.8,236.2,46.8
13,Matt Breida,SF,RB,12,311,25.9,35.5,42.4,8,49.2,50.5,154.3,49.6
14,Aaron Jones,GB,RB,11,369,33.5,51,35,9.5,42,44.4,174.6,47.3
15,Leonard Fournette,JAX,RB,6,204,34,41.8,51,8.3,58.8,59.3,94.9,46.5
16,Todd Gurley,LAR,RB,13,762,58.6,86.3,32,8.9,38.5,40.9,356.7,46.8
16,Saquon Barkley,NYG,RB,13,673,51.8,81.3,31.1,14.3,42.6,45.3,351.3,52.2
16,Adrian Peterson,WAS,RB,13,394,30.3,46.6,51.3,5.3,55.6,56.6,174.2,44.2
19,Mark Ingram,NO,RB,9,266,29.6,45.9,41.4,7.9,47.4,49.2,122.5,46.1
20,Raheem Mostert,SF,RB,9,89,9.9,15,38.2,7.9,44.9,46.1,39.6,44.5
21,Marlon Mack,IND,RB,9,303,33.7,50.2,43.2,6.3,47.2,49.5,128.6,42.4
22,Isaiah Crowell,NYJ,RB,13,333,25.6,41.1,42.9,8.4,49.2,51.4,146.7,44.1
23,Austin Ekeler,LAC,RB,13,333,25.6,41.6,29.4,15.6,41.1,45,158,47.4
24,Tarik Cohen,CHI,RB,13,405,31.2,45.9,20.5,20,36.3,40.7,213.34,52.7
25,Darren Sproles,PHI,RB,3,60,20,11.6,16.7,16.7,28.3,33.3,28,46.7
26,Chris Carson,SEA,RB,11,338,30.7,43.1,53,5,56.8,58,142.1,42
27,Rashaad Penny,SEA,RB,13,176,13.5,20.7,46,6.8,51.1,52.8,72.8,41.4
28,CJ Anderson,OAK,RB,9,55,6.1,8.6,43.6,5.5,45.5,49.1,19.8,36
29,Royce Freeman,DEN,RB,11,221,20.1,25.8,46.2,3.6,48.4,49.8,80.1,36.2
30,Joe Mixon,CIN,RB,11,472,42.9,63.1,38.1,10.2,46.2,48.3,200.9,42.6
31,Jay Ajayi,PHI,RB,4,121,30.2,42,37.2,5,41.3,42.1,44.4,36.7
32,Josh Adams,PHI,RB,10,184,18.4,28.5,45.1,4.3,47.3,49.5,61.7,33.5
33,James Conner,PIT,RB,12,689,57.4,75.7,29.2,9.9,36.7,39,284.6,41.3
34,James White,NE,RB,13,519,39.9,56.7,15.4,20.6,30.1,36,237.6,45.8
35,Kerryon Johnson,DET,RB,10,347,34.7,39.8,34,11.2,43.2,45.2,146.4,42.2
35,LeGarrette Blount,DET,RB,13,231,17.8,26.5,54.1,4.3,57.6,58.4,80.7,34.9
37,Kenyan Drake,MIA,RB,13,436,33.5,57.4,23.4,13.8,32.8,37.2,176.9,40.6
38,Marshawn Lynch,OAK,RB,6,211,35.2,50.4,42.7,9.5,49.8,52.1,82,38.9
39,Alex Collins,BAL,RB,10,311,31.1,37.8,36.7,6.8,41.5,43.4,111.6,35.9
40,Christine Michael,IND,RB,1,3,3,0.8,66.7,0,66.7,66.7,0.9,30
41,Christian McCaffrey,CAR,RB,13,815,62.7,97.5,22,12.1,32.5,34.1,340.7,41.8
42,Ezekiel Elliott,DAL,RB,13,783,60.2,89,34.2,10.3,42.5,44.6,315.5,40.3
43,Jaylen Samuels,PIT,FB,11,103,9.4,11.3,22.3,15.5,35.9,37.9,43.7,42.4
44,Doug Martin,OAK,RB,13,258,19.8,30.1,46.9,7.4,53.1,54.3,90.3,35
44,Malcolm Brown,LAR,RB,12,123,10.2,13.9,35,5.7,39,40.7,39.4,32
