Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Robert Tonyan Jr.,GB,TE,13,30,2.3,3.5,0,10,6.7,10,13.9,46.3
2,Erik Swoope,IND,TE,7,78,11.1,10.2,0,12.8,10.3,12.8,34.7,44.5
3,Jordan Franks,CIN,TE,3,11,3.7,5.9,0,27.3,18.2,27.3,5.7,51.8
4,Anthony Firkser,TEN,TE,7,94,13.4,22.7,0,17,17,17,42.1,44.8
5,Eric Ebron,IND,TE,13,537,41.3,58.6,0.6,17.9,11.5,18.6,202.6,37.7
6,Will Dissly,SEA,TE,4,127,31.8,49.2,0,11,6.3,11,38.6,30.4
7,Travis Kelce,KC,TE,13,834,64.2,95.6,0,14.7,10.3,14.7,275.9,33.1
8,Seth DeValve,CLE,TE,10,67,6.7,9.9,0,9,6,9,17.3,25.8
9,OJ Howard,TB,TE,10,436,43.6,60.8,0,11,7.8,11,120.5,27.6
10,Jared Cook,OAK,TE,13,639,49.2,74.5,0,13.8,9.5,13.8,191.5,30
11,Dan Arnold,NO,TE,8,114,14.2,17.3,0,14.9,10.5,14.9,33,28.9
12,George Kittle,SF,TE,13,754,58,86,0.1,13.5,9.3,13.7,215.3,28.6
13,Tyler Eifert,CIN,TE,4,132,33,49.1,0,14.4,11.4,14.4,38.9,29.5
14,Gerald Everett,LAR,TE,13,250,19.2,28.3,0,14.8,9.2,14.8,67.6,27
15,Mo Alie-Cox,IND,TE,6,131,21.8,20.7,0,8.4,4.6,8.4,29.2,22.3
16,Michael Roberts,DET,TE,8,159,19.9,23.3,0,12.6,5.7,12.6,37,23.3
17,Zach Ertz,PHI,TE,13,815,62.7,93.1,0,15.8,12,15.8,247.6,30.4
18,Matt Lengel,CIN,TE,5,47,9.4,14.6,0,12.8,6.4,12.8,10.7,22.8
19,Antonio Gates,LAC,TE,13,268,20.6,33.5,0,12.7,7.8,12.7,62.8,23.4
20,Mark Andrews,BAL,TE,13,338,26,34.7,0,11.5,7.7,11.5,76.4,22.6
21,Vance McDonald,PIT,TE,12,466,38.8,56.4,0,12.9,9.4,12.9,114.9,24.7
22,Cameron Brate,TB,TE,13,400,30.8,43.2,0,10,6.2,10,83.3,20.8
23,Adam Shaheen,CHI,TE,2,46,23,21.8,0,4.3,4.3,4.3,8.5,18.5
24,Evan Engram,NYG,TE,8,337,42.1,52.2,0.3,11.3,8,11.6,72.4,21.5
25,Delanie Walker,TEN,TE,1,39,39,56.5,0,17.9,10.3,17.9,9.2,23.6
26,Chris Herndon IV,NYJ,TE,11,412,37.5,50.9,0,10.2,7,10.2,82.9,20.1
27,Jordan Reed,WAS,TE,13,511,39.3,60.5,0,16.4,10.6,16.4,120.8,23.6
28,Dallas Goedert,PHI,TE,13,394,30.3,45,0,9.1,6.3,9.1,75.5,19.2
29,Greg Olsen,CAR,TE,9,429,47.7,61.5,0,8.9,6.3,8.9,80.1,18.7
30,Rob Gronkowski,NE,TE,10,663,66.3,77.9,0,9.4,6.5,9.4,129.7,19.6
31,Austin Hooper,ATL,TE,13,695,53.5,80.1,0,11.4,9.2,11.4,145.7,21
31,Vernon Davis,WAS,TE,13,417,32.1,49.3,0,7.9,5.5,7.9,72.1,17.3
33,Demetrius Harris,KC,TE,12,309,25.8,37.9,0,7.1,3.9,7.1,46.4,15
33,Ed Dickson,SEA,TE,7,207,29.6,44.2,0,3.9,3.4,3.9,30,14.5
35,Benjamin Watson,NO,TE,13,420,32.3,49,0,9.3,7.4,9.3,76.7,18.3
36,Trey Burton,CHI,TE,13,716,55.1,81.2,0.1,8.2,5.7,8.4,121.2,16.9
37,Jesse James,PIT,TE,13,501,38.5,55.1,0,7.4,5.8,7.4,85.4,17
37,Jordan Thomas,HOU,TE,13,418,32.2,46.5,0,5.7,4.3,5.7,62.7,15
39,Jack Doyle,IND,TE,6,330,55,81.1,0,10,7.9,10,61.5,18.6
40,Jimmy Graham,GB,TE,13,645,49.6,75,0,11.9,7.1,11.9,115.9,18
41,Niles Paul,JAX,TE,6,103,17.2,25.8,1,12.6,10.7,13.6,19.5,18.9
42,David Njoku,CLE,TE,13,720,55.4,80.3,0,10.1,6.5,10.1,112.4,15.6
43,David Grinnage,JAX,TE,3,68,22.7,37.8,0,11.8,8.8,11.8,12.1,17.8
44,Jason Croom,BUF,TE,12,282,23.5,32.5,0,8.5,5.3,8.5,40.7,14.4
44,Jake Butt,DEN,TE,3,97,32.3,46.6,0,12.4,8.2,12.4,16.5,17
44,Jacob Hollister,NE,TE,7,59,8.4,9.1,0,8.5,6.8,8.5,9.2,15.6
44,Tyrone Swoopes,SEA,TE,1,26,26,20.5,0,3.8,3.8,3.8,3.3,12.7
48,AJ Derby,MIA,TE,4,124,31,24.2,0,4,2.4,4,13.8,11.1
49,Nick Vannett,SEA,TE,12,441,36.8,56.1,0,8.4,5.7,8.4,61.1,13.9
