Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
2,Leonte Carroo,MIA,WR,6,39,6.5,11.2,2.6,7.7,7.7,10.3,18.8,48.2
3,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
4,Cordarrelle Patterson,NE,WR,13,209,16.1,22.8,18.2,11,26.3,29.2,84.6,40.5
5,Tavon Austin,DAL,WR,6,106,17.7,13,5.7,9.4,12.3,15.1,37.5,35.4
5,Brandon Zylstra,MIN,WR,13,8,0.6,0.9,0,12.5,12.5,12.5,3.3,41.2
7,Tyreek Hill,KC,WR,13,760,58.5,87.2,2.1,15,11.8,17.1,299.2,39.4
8,Curtis Samuel,CAR,WR,10,293,29.3,41.7,2,15,11.9,17.1,108,36.9
9,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
10,DeSean Jackson,TB,WR,11,424,38.5,45.8,1.2,16.5,10.6,17.7,156.5,36.9
11,Aldrick Robinson,MIN,WR,11,171,15.5,23.8,0,15.8,8.8,15.8,57.7,33.7
12,Davante Adams,GB,WR,13,803,61.8,93.4,0,17.2,11.5,17.2,295.6,36.8
12,Julio Jones,ATL,WR,13,711,54.7,81.9,0.3,20.3,13.5,20.5,293.1,41.2
14,AJ Green,CIN,WR,9,459,51,60.9,0,16.8,10,16.8,156.4,34.1
14,Tommylee Lewis,NO,WR,4,48,12,15.8,0,4.2,4.2,4.2,12.8,26.7
16,Keenan Allen,LAC,WR,13,674,51.8,84.2,1.3,18.1,14.4,19.4,248.9,36.9
16,T.Y. Hilton,IND,WR,11,600,54.5,78.4,0,16.3,10.3,16.3,208.6,34.8
18,Michael Thomas,NO,WR,13,757,58.2,88.2,0,15.6,13.5,15.6,278.8,36.8
19,Calvin Ridley,ATL,WR,13,526,40.5,60.6,1.1,14.3,10.8,15.4,169.4,32.2
19,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
21,Adam Thielen,MIN,WR,13,838,64.5,97,0.4,17.1,12.6,17.4,311.4,37.2
22,Odell Beckham Jr,NYG,WR,12,716,59.7,86.5,0.7,17.3,11.7,18.3,246.34,34.4
23,JuJu Smith-Schuster,PIT,WR,13,768,59.1,84.4,0.1,17.1,12,17.2,274.7,35.8
24,Antonio Brown,PIT,WR,13,866,66.6,95.2,0,16.4,10,16.5,276.3,31.9
25,Isaiah McKenzie,BUF,WR,5,137,27.4,38.9,6.6,10.9,14.6,17.5,40,29.2
26,Derrick Willies,CLE,WR,5,30,6,7.7,0,16.7,10,16.7,9.1,30.3
27,Mike Evans,TB,WR,13,778,59.8,84.1,0,14.3,9,14.3,243.7,31.3
28,Will Fuller,HOU,WR,7,375,53.6,77,0,12,8.5,12,115.3,30.7
29,Amari Cooper,DAL,WR,12,674,56.2,79.2,0.1,12.5,9.3,12.6,208,30.9
30,Mike Williams,LAC,WR,13,489,37.6,61.1,0.8,9.8,7,10.6,125.2,25.6
31,Golden Tate,PHI,WR,12,516,43,67.5,0.8,19.2,13,20,169,32.8
32,Emmanuel Sanders,DEN,WR,12,658,54.8,84.3,0.6,14.9,11.6,15.7,207.22,31.5
33,Tyler Lockett,SEA,WR,13,716,55.1,84.2,1.5,8.7,8.4,10.2,189,26.4
34,Stefon Diggs,MIN,WR,12,710,59.2,82.2,1.3,17.9,13.7,19.2,234.8,33.1
35,Russell Shepard,NYG,WR,11,149,13.5,21.3,0,10.1,5.4,10.1,36,24.2
36,DeAndre Hopkins,HOU,WR,13,893,68.7,99.3,0.1,13.9,9.6,14.1,262.4,29.4
36,Tyler Boyd,CIN,WR,13,734,56.5,89.4,0.3,14,10.2,14.4,216.3,29.5
36,Keith Kirkwood,NO,WR,5,138,27.6,43.4,0,10.9,6.5,10.9,34.4,24.9
39,Jalen Tolliver,ARI,WR,1,12,12,17.1,0,16.7,16.7,16.7,4.2,35
40,Dwayne Harris,OAK,WR,12,29,2.4,3.7,6.9,20.7,27.6,27.6,11.2,38.6
41,Geronimo Allison,GB,WR,5,241,48.2,59.1,0,12.4,8.3,12.4,62.3,25.9
42,Chris Godwin,TB,WR,13,564,43.4,61,0,13.7,8.9,13.7,155.9,27.6
42,Dante Pettis,SF,WR,10,378,37.8,56.9,0.3,9.3,5.3,9.5,88.1,23.3
44,D.J. Moore,CAR,WR,13,530,40.8,63.4,2.3,12.1,11.1,14.3,142.6,26.9
45,Robert Woods,LAR,WR,13,854,65.7,96.7,1.8,13,10.1,14.8,225.4,26.4
46,Marcus Johnson,IND,WR,5,95,19,26.2,1.1,8.4,7.4,9.5,22,23.2
47,Julian Edelman,NE,WR,9,574,63.8,88.3,1.2,14.1,11.3,15.7,158.12,27.5
48,Brandin Cooks,LAR,WR,13,800,61.5,90.6,0.9,12.1,9.1,13,213.9,26.7
48,Josh Gordon,NE,WR,11,577,52.5,70.4,0,11.8,6.9,11.8,141.8,24.6
50,Ted Ginn,NO,WR,4,170,42.5,60.9,1.8,12.9,8.8,14.7,41.1,24.2
51,Sammy Watkins,KC,WR,10,462,46.2,53,1.1,11.9,9.7,13,121.1,26.2
52,Marquise Goodwin,SF,WR,9,391,43.4,54.7,1,8.7,5.9,9.7,82.8,21.2
53,Robert Foster,BUF,WR,10,272,27.2,41.4,0,9.9,5.5,9.9,63,23.2
54,John Brown,BAL,WR,13,639,49.2,65.6,0.5,13.3,6.4,13.8,141.6,22.2
54,David Moore,SEA,WR,13,468,36,55.1,0.2,9.2,4.9,9.4,96.8,20.7
54,Jaron Brown,SEA,WR,12,294,24.5,34.6,0,5.8,4.1,5.8,57,19.4
57,Rashard Higgins,CLE,WR,10,368,36.8,48.7,0,10.3,7.3,10.3,83.6,22.7
58,Adam Humphries,TB,WR,13,639,49.2,69.1,0.3,12.7,9.2,13,152.9,23.9
58,Marvin Jones,DET,WR,9,538,59.8,72.8,0,11.5,6.5,11.5,118.8,22.1
58,Anthony Miller,CHI,WR,12,518,43.2,63.1,0.6,9.8,6.6,10.6,110.72,21.4
61,Dede Westbrook,JAX,WR,13,665,51.2,76.2,1.1,12.2,9,13.2,156,23.5
61,Christian Kirk,ARI,WR,12,542,45.2,79.1,0.6,12.5,8.5,13.1,123.5,22.8
63,Kenny Golladay,DET,WR,13,794,61.1,91.2,0.1,12.1,7.3,12.2,179.7,22.6
63,Corey Davis,TEN,WR,13,721,55.5,88.9,0.7,13,8.2,13.7,165.9,23
63,Kenny Stills,MIA,WR,12,601,50.1,79.1,0,8.7,5.3,8.7,126.4,21
