Team,Home,PointSpread,OverUnder
TEN,TRUE,-10.5,37
LAC,TRUE,-4.5,43
MIA,TRUE,-4,38.5
NE,TRUE,-13,45
ATL,FALSE,-3.5,43.5
CLE,TRUE,-10,44.5
DAL,TRUE,-7.5,47.5
MIN,FALSE,-5.5,42.5
IND,TRUE,-10,47
GB,FALSE,-3,46
PHI,TRUE,-2.5,46
LAR,FALSE,-14,44.5
CHI,FALSE,-4,42.5
NO,TRUE,-5.5,53.5
KC,FALSE,-2.5,53
DEN,FALSE,-2.5,44.5
WAS,FALSE,10.5,37
BAL,FALSE,4.5,43
JAX,FALSE,4,38.5
BUF,FALSE,13,45
CAR,TRUE,3.5,43.5
CIN,FALSE,10,44.5
TB,FALSE,7.5,47.5
DET,TRUE,5.5,42.5
NYG,FALSE,10,47
NYJ,TRUE,3,46
HOU,FALSE,2.5,46
ARI,TRUE,14,44.5
SF,TRUE,4,42.5
PIT,FALSE,5.5,53.5
SEA,TRUE,2.5,53
OAK,TRUE,2.5,44.5
