Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,LeSean McCoy,BUF,RB,6,SF,5,42,8.4,3,0,0,0,0,0,0,22.2,22.2
2,Matt Forte,NYJ,RB,2,BUF,8,37,4.6,3,0,0,0,0,0,0,21.7,21.7
3,Le'Veon Bell,PIT,RB,14,BUF,9,36,4,3,0,0,0,0,0,0,21.6,21.6
4,Tevin Coleman,ATL,RB,3,NO,6,30,5,3,0,0,0,0,0,0,21,21
4,Melvin Gordon,LAC,RB,7,ATL,4,15,3.8,2,1,1,5,1,0,0,21,21
6,John Kuhn,NO,FB,4,LAC,2,2,1,2,2,2,7,1,0,0,20.9,20.9
7,Latavius Murray,OAK,RB,9,DEN,6,19,3.2,3,0,0,0,0,0,0,19.9,19.9
8,LeGarrette Blount,NE,RB,10,SEA,7,18,2.6,3,0,0,0,0,0,0,19.8,19.8
9,Rob Kelley,WAS,RB,11,GB,5,17,3.4,3,0,0,0,0,0,0,19.7,19.7
10,David Johnson,ARI,RB,16,SEA,8,12,1.5,3,0,0,0,0,0,0,19.2,19.2
11,Jordan Howard,CHI,RB,13,SF,3,8,2.7,3,0,0,0,0,0,0,18.8,18.8
12,Carlos Hyde,SF,RB,3,SEA,8,32,4,2,1,1,2,0,0,0,18.4,18.4
13,Mark Ingram,NO,RB,16,TB,5,32,6.4,2,1,1,-2,0,0,0,18,18
14,Bilal Powell,NYJ,RB,14,SF,3,22,7.3,2,2,2,14,0,0,0,17.6,17.6
15,DeMarco Murray,TEN,RB,1,MIN,1,-2,-2,0,5,3,24,2,0,0,17.2,17.2
16,Ryan Mathews,PHI,RB,10,ATL,8,28,3.5,2,0,0,0,0,0,0,16.8,16.8
17,Lamar Miller,HOU,RB,6,IND,4,12,3,1,2,2,13,1,0,0,16.5,16.5
18,LeGarrette Blount,NE,RB,16,NYJ,15,39,2.6,2,0,0,0,0,0,0,15.9,15.9
18,James White,NE,RB,6,CIN,0,0,0,0,2,2,19,2,0,0,15.9,15.9
20,Theo Riddick,DET,RB,5,PHI,0,0,0,0,2,2,18,2,0,0,15.8,15.8
21,Devonta Freeman,ATL,RB,15,SF,5,29,5.8,2,1,1,8,0,1,1,15.7,15.7
21,Terrance West,BAL,RB,13,MIA,1,9,9,1,2,2,8,1,0,0,15.7,15.7
23,Matt Forte,NYJ,RB,8,CLE,5,9,1.8,2,1,1,15,0,0,0,15.4,15.4
23,Chris Thompson,WAS,RB,16,CHI,1,7,7,1,1,1,17,1,0,0,15.4,15.4
25,David Johnson,ARI,RB,5,SF,9,32,3.6,2,1,0,0,0,0,0,15.2,15.2
