Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Le'Veon Bell,PIT,RB,14,BUF,38,236,6.2,3,5,4,62,0,0,0,54.8,54.8
2,Ezekiel Elliott,DAL,RB,10,PIT,21,114,5.4,2,2,2,95,1,0,0,43.9,43.9
3,Melvin Gordon,LAC,RB,9,TEN,32,196,6.1,1,4,4,65,0,0,0,39.1,39.1
4,David Johnson,ARI,RB,13,WAS,18,84,4.7,1,12,9,91,1,1,0,38.5,38.5
5,DeAngelo Williams,PIT,RB,1,WAS,26,143,5.5,2,9,6,28,0,0,0,38.1,38.1
6,David Johnson,ARI,RB,11,MIN,22,103,4.7,1,11,7,57,1,0,0,38,38
7,Bilal Powell,NYJ,RB,14,SF,29,145,5,2,5,5,34,0,0,0,37.9,37.9
8,David Johnson,ARI,RB,6,NYJ,22,111,5,3,6,3,27,0,0,0,37.8,37.8
9,Devonta Freeman,ATL,RB,15,SF,20,139,7,3,2,2,16,0,1,1,37.5,37.5
10,LeSean McCoy,BUF,RB,6,SF,19,140,7.4,3,3,2,2,0,1,0,37.2,37.2
11,Le'Veon Bell,PIT,RB,11,CLE,28,146,5.2,1,9,8,55,0,1,0,37.1,37.1
12,Jay Ajayi,MIA,RB,6,PIT,25,204,8.2,2,2,1,3,0,0,0,36.7,36.7
13,David Johnson,ARI,RB,5,SF,27,157,5.8,2,6,3,28,0,1,0,36.5,36.5
14,Melvin Gordon,LAC,RB,7,ATL,22,68,3.1,2,7,6,53,1,0,0,36.1,36.1
15,Spencer Ware,KC,RB,1,LAC,11,70,6.4,1,8,7,129,0,0,0,35.9,35.9
16,Lamar Miller,HOU,RB,6,IND,24,149,6.2,1,4,3,29,1,0,0,35.8,35.8
17,Ezekiel Elliott,DAL,RB,5,CIN,15,134,8.9,2,4,3,37,0,0,0,35.1,35.1
