Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Juwan Thompson,DEN,RB,8,LAC,1,1.5,100,0,100,100,6.1,610
2,Alex Collins,SEA,RB,6,ATL,2,3,50,50,100,100,8.1,405
3,Dwayne Washington,DET,RB,1,IND,2,3.1,100,0,100,100,6.1,305
4,Christine Michael,GB,RB,15,CHI,5,8.2,80,0,80,80,10.5,210
4,Kenjon Barner,PHI,RB,9,NYG,3,4,33.3,0,33.3,33.3,6.3,210
6,Mike Gillislee,BUF,RB,2,NYJ,4,7.5,0,25,25,25,8.8,220
7,Kenyan Drake,MIA,RB,16,BUF,7,10.1,57.1,0,57.1,57.1,11.6,165.7
8,Kapri Bibbs,DEN,RB,9,OAK,9,16.1,22.2,11.1,33.3,33.3,15,166.7
9,Jalen Richard,OAK,RB,1,NO,10,13.7,30,20,50,50,17.5,175
10,Travaris Cadet,NO,RB,16,TB,5,7,0,40,40,40,9.6,192
11,Damien Williams,MIA,RB,7,BUF,6,8.2,66.7,16.7,66.7,83.3,7.6,126.7
12,Jordan Todman,IND,RB,12,PIT,3,4.8,100,0,100,100,3.7,123.3
13,Jeremy Hill,CIN,RB,7,CLE,21,34.4,42.9,9.5,52.4,52.4,30.2,143.8
13,Knile Davis,KC,RB,4,PIT,1,1.3,100,300,300,400,3.2,320
15,Damien Williams,MIA,RB,10,LAC,12,23.5,16.7,8.3,25,25,15,125
16,Alfred Morris,DAL,RB,3,CHI,7,10.3,71.4,14.3,85.7,85.7,9.1,130
17,Shaun Draughn,SF,RB,11,NE,9,14.5,0,33.3,33.3,33.3,13.3,147.8
18,Kerwynn Williams,ARI,RB,14,MIA,3,4.3,100,0,100,100,3.4,113.3
19,Alfred Morris,DAL,RB,13,MIN,1,1.9,100,0,100,100,1.1,110
20,Ryan Mathews,PHI,RB,10,ATL,26,32.9,73.1,7.7,80.8,80.8,32.9,126.5
21,Corey Grant,JAX,RB,2,LAC,7,10.6,0,14.3,14.3,14.3,8.5,121.4
22,Devonta Freeman,ATL,RB,15,SF,30,44.1,66.7,6.7,73.3,73.3,37.5,125
23,Derrick Henry,TEN,RB,15,KC,17,25.8,52.9,0,52.9,52.9,17.8,104.7
24,Kerwynn Williams,ARI,RB,15,NO,12,20.3,25,0,25,25,12.3,102.5
25,Lance Dunbar,DAL,RB,3,CHI,6,8.8,16.7,0,16.7,16.7,6.1,101.7
26,Tevin Coleman,ATL,RB,3,NO,27,42.2,44.4,11.1,55.6,55.6,29.9,110.7
27,Tevin Coleman,ATL,RB,7,LAC,14,21.5,57.1,7.1,64.3,64.3,14.4,102.9
28,Theo Riddick,DET,RB,1,IND,24,36.9,29.2,20.8,50,50,27.8,115.8
29,Deandre Washington,OAK,RB,16,IND,25,32.9,48,4,52,52,24.7,98.8
30,Ryan Mathews,PHI,RB,9,NYG,8,10.7,62.5,12.5,75,75,8.5,106.2
31,Mack Brown,WAS,RB,16,CHI,15,22.4,53.3,6.7,60,60,15,100
31,Jalen Richard,OAK,RB,11,HOU,12,22.6,25,25,50,50,14.2,118.3
33,Jalen Richard,OAK,RB,16,IND,15,19.7,40,20,60,60,16.9,112.7
34,Jamize Olawale,OAK,FB,11,HOU,16,30.2,12.5,18.8,31.2,31.2,17.7,110.6
35,Ezekiel Elliott,DAL,RB,10,PIT,43,66.2,48.8,4.7,53.5,53.5,43.9,102.1
36,Ryan Mathews,PHI,RB,8,DAL,8,10.3,50,12.5,62.5,62.5,8.1,101.2
37,Mark Ingram,NO,RB,9,SF,33,37.9,45.5,6.1,51.5,51.5,34.1,103.3
38,Damien Williams,MIA,RB,5,TEN,8,18.2,12.5,25,37.5,37.5,9,112.5
39,Carlos Hyde,SF,RB,14,NYJ,30,52.6,56.7,3.3,60,60,30,100
40,Tevin Coleman,ATL,RB,5,DEN,26,38.8,23.1,23.1,38.5,46.2,29.3,112.7
41,Derrick Henry,TEN,RB,12,CHI,14,24.1,57.1,0,57.1,57.1,12,85.7
42,CJ Spiller,SEA,RB,4,NYJ,9,15,22.2,33.3,44.4,55.6,9.7,107.8
43,Kenjon Barner,PHI,RB,3,PIT,12,18.5,66.7,0,66.7,66.7,10.2,85
43,Ka'Deem Carey,CHI,RB,5,IND,2,3,50,50,100,100,2.7,135
45,Tevin Coleman,ATL,RB,16,CAR,23,36.5,39.1,13,52.2,52.2,22.5,97.8
46,Peyton Barber,TB,RB,7,SF,17,22.7,70.6,0,70.6,70.6,14.4,84.7
47,Tevin Coleman,ATL,RB,14,LAR,21,36.2,38.1,14.3,47.6,52.4,19.5,92.9
48,LeGarrette Blount,NE,RB,7,PIT,31,54.4,77.4,3.2,80.6,80.6,29.4,94.8
49,Mike Gillislee,BUF,RB,13,OAK,21,29.2,38.1,0,38.1,38.1,16.9,80.5
50,Darren Sproles,PHI,RB,3,PIT,24,36.9,8.3,25,33.3,33.3,27.7,115.4
51,Rob Kelley,WAS,RB,11,GB,41,60.3,58.5,4.9,58.5,63.4,34.7,84.6
51,Damien Williams,MIA,RB,3,CLE,11,16.4,9.1,27.3,36.4,36.4,11.5,104.5
53,Melvin Gordon,LAC,RB,1,KC,23,31.5,60.9,0,60.9,60.9,17.7,77
54,John Kuhn,NO,FB,4,LAC,25,34.2,12,8,20,20,21.2,84.8
55,Chris Ivory,JAX,RB,12,BUF,15,22.1,60,6.7,66.7,66.7,12.5,83.3
56,Spencer Ware,KC,RB,1,LAC,34,47.9,32.4,23.5,52.9,55.9,35.9,105.6
57,Rob Kelley,WAS,RB,7,DET,10,13.7,40,10,50,50,8.6,86
58,Terron Ward,ATL,RB,15,SF,7,10.3,85.7,0,85.7,85.7,5.2,74.3
59,CJ Prosise,SEA,RB,11,PHI,19,28.4,21.1,15.8,31.6,36.8,16.1,84.7
60,Ryan Mathews,PHI,RB,2,CHI,21,29.2,42.9,4.8,47.6,47.6,16.5,78.6
61,Ezekiel Elliott,DAL,RB,16,DET,29,50.9,41.4,3.4,44.8,44.8,22.2,76.6
62,Latavius Murray,OAK,RB,9,DEN,43,48.9,46.5,2.3,48.8,48.8,34.7,80.7
62,Chris Thompson,WAS,RB,16,CHI,22,32.8,13.6,4.5,18.2,18.2,16.7,75.9
64,Jamaal Charles,KC,RB,6,OAK,15,23.4,60,13.3,73.3,73.3,12.7,84.7
65,Travaris Cadet,NO,RB,15,ARI,15,17.4,6.7,33.3,40,40,15.6,104
66,LeSean McCoy,BUF,RB,15,CLE,41,61.2,46.3,7.3,53.7,53.7,34.9,85.1
67,Devonta Freeman,ATL,RB,3,NO,38,59.4,36.8,13.2,50,50,34.7,91.3
