Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1628,Lucky Whitehead,DAL,WR,8,PHI,0,0,0,0,0,0,0,0,1,17,17,0,1,0,1.7,1.7
1628,Jaron Brown,ARI,WR,4,LAR,5,1,20,7,0,7,1.4,7,0,0,0,0,0,0,1.7,1.7
1628,Darrius Heyward-Bey,PIT,WR,2,CIN,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.7,1.7
1628,Dontrelle Inman,LAC,WR,2,JAX,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,1.7,1.7
1628,Rashad Greene,JAX,WR,2,LAC,3,1,33.3,7,0,7,2.3,7,0,0,0,0,0,0,1.7,1.7
1628,Quan Bray,IND,WR,2,DEN,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Rod Streater,SF,WR,14,NYJ,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Jermaine Kearse,SEA,WR,14,GB,6,1,16.7,7,0,7,1.2,7,0,0,0,0,0,0,1.7,1.7
1628,Brenton Bersin,CAR,WR,13,SEA,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Justin Hunter,BUF,WR,8,NE,5,1,20,7,0,7,1.4,7,0,0,0,0,0,0,1.7,1.7
1628,Roger Lewis,NYG,WR,7,LAR,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Bennie Fowler,DEN,WR,7,HOU,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Alex Erickson,CIN,WR,12,BAL,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Jeff Janis,GB,WR,12,PHI,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Alex Erickson,CIN,WR,11,BUF,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.7,1.7
1628,Quincy Enunwa,NYJ,WR,10,LAR,6,1,16.7,7,0,7,1.2,7,0,0,0,0,0,0,1.7,1.7
1628,Geronimo Allison,GB,WR,15,CHI,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
1628,Dorial Green-Beckham,PHI,WR,16,NYG,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.7,1.7
1646,Chris Moore,BAL,WR,4,OAK,4,1,25,6,0,6,1.5,6,0,0,0,0,0,0,1.6,1.6
1646,Braxton Miller,HOU,WR,1,CHI,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
1646,Dontrelle Inman,LAC,WR,1,KC,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
1646,Marquise Goodwin,BUF,WR,3,ARI,5,1,20,6,0,6,1.2,6,0,0,0,0,0,0,1.6,1.6
1646,Russell Shepard,TB,WR,3,LAR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Charles Johnson,MIN,WR,14,JAX,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Chris Harper,SF,WR,13,CHI,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Brandon Coleman,NO,WR,6,CAR,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Taylor Gabriel,ATL,WR,6,SEA,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Charone Peake,NYJ,WR,5,PIT,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Brandon LaFell,CIN,WR,8,WAS,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Jeremy Butler,LAC,WR,12,HOU,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Cecil Shorts,TB,WR,12,SEA,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
1646,Paul Richardson,SEA,WR,11,PHI,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
1646,Seth Roberts,OAK,WR,11,HOU,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
1646,Jordan Taylor,DEN,WR,9,OAK,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Pharoh Cooper,LAR,WR,10,NYJ,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Tavarres King,NYG,WR,10,CIN,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Mike Thomas,LAR,WR,15,SEA,4,1,25,6,0,6,1.5,6,0,0,0,0,0,0,1.6,1.6
1646,Michael Floyd,NE,WR,16,NYJ,2,1,50,6,0,6,3,6,0,0,0,0,0,0,1.6,1.6
1646,Cobi Hamilton,PIT,WR,16,BAL,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
1646,Mike Thomas,LAR,WR,14,ATL,1,1,100,16,0,16,16,16,0,0,0,0,1,1,1.6,1.6
1668,Lucky Whitehead,DAL,WR,12,WAS,0,0,0,0,0,0,0,0,1,15,15,0,0,0,1.5,1.5
1668,DeSean Jackson,WAS,WR,4,CLE,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
1668,Aaron Burbridge,SF,WR,4,DAL,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
1668,Charles Johnson,MIN,WR,1,TEN,6,1,16.7,5,0,5,0.8,5,0,0,0,0,0,0,1.5,1.5
1668,Kamar Aiken,BAL,WR,3,JAX,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Ryan Grant,WAS,WR,2,DAL,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
