Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Danny Woodhead,LAC,RB,15,MIA,3,-1,-0.3,1,4,4,48,3,0,0,32.7,32.7
2,Devonta Freeman,ATL,RB,3,DAL,8,29,3.6,3,2,2,4,0,0,0,23.3,23.3
3,Jeremy Hill,CIN,RB,4,KC,4,17,4.2,3,0,0,0,0,0,0,21.7,21.7
4,Doug Martin,TB,RB,5,JAX,5,11,2.2,2,1,1,10,1,0,0,21.1,21.1
5,Jamaal Charles,KC,RB,3,GB,4,22,5.5,3,0,0,0,0,0,0,20.2,20.2
6,LeGarrette Blount,NE,RB,3,JAX,9,9,1,3,0,0,0,0,0,0,18.9,18.9
7,Carlos Hyde,SF,RB,1,MIN,5,40,8,2,1,1,8,0,0,0,17.8,17.8
8,Chris Ivory,NYJ,RB,1,CLE,7,31,4.4,2,1,1,9,0,0,0,17,17
9,Marcel Reece,OAK,FB,1,CIN,0,0,0,0,2,2,20,2,0,0,16,16
10,James White,NE,RB,11,BUF,1,6,6,1,2,1,20,1,0,0,15.6,15.6
10,Patrick DiMarco,ATL,FB,11,IND,0,0,0,0,2,2,16,2,0,0,15.6,15.6
12,Danny Woodhead,LAC,RB,1,DET,6,18,3,2,2,1,7,0,0,0,15.5,15.5
13,Arian Foster,HOU,RB,7,MIA,5,17,3.4,1,1,1,7,1,0,0,15.4,15.4
13,Danny Woodhead,LAC,RB,7,OAK,0,0,0,0,3,2,14,2,0,0,15.4,15.4
15,Ahmad Bradshaw,IND,RB,11,ATL,1,2,2,0,2,2,9,2,0,0,15.1,15.1
16,DeAngelo Williams,PIT,RB,9,OAK,9,28,3.1,2,0,0,0,0,0,0,14.8,14.8
16,DeMarco Murray,PHI,RB,1,ATL,3,13,4.3,1,2,1,5,1,0,0,14.8,14.8
16,Chris Ivory,NYJ,RB,9,JAX,4,2,0.5,2,1,1,16,0,0,0,14.8,14.8
19,Todd Gurley,LAR,RB,14,DET,3,26,8.7,2,0,0,0,0,0,0,14.6,14.6
20,DeAngelo Williams,PIT,RB,2,SF,5,24,4.8,2,0,0,0,0,0,0,14.4,14.4
21,Bishop Sankey,TEN,RB,1,TB,1,1,1,1,1,1,12,1,0,0,14.3,14.3
22,Devonta Freeman,ATL,RB,4,HOU,2,22,11,2,0,0,0,0,0,0,14.2,14.2
23,Lamar Miller,MIA,RB,9,BUF,3,4,1.3,2,1,1,6,0,0,0,14,14
24,Jonathan Stewart,CAR,RB,6,SEA,5,19,3.8,2,0,0,0,0,0,0,13.9,13.9
25,Ronnie Hillman,DEN,RB,8,GB,4,17,4.2,2,1,0,0,0,0,0,13.7,13.7
25,Mike Tolbert,CAR,FB,7,PHI,2,5,2.5,1,1,1,2,1,0,0,13.7,13.7
27,Jeremy Hill,CIN,RB,15,SF,9,16,1.8,2,0,0,0,0,0,0,13.6,13.6
28,Jeremy Hill,CIN,RB,1,OAK,8,15,1.9,2,0,0,0,0,0,0,13.5,13.5
28,DeAngelo Williams,PIT,RB,14,CIN,7,15,2.1,2,0,0,0,0,0,0,13.5,13.5
30,Todd Gurley,LAR,RB,7,CLE,3,14,4.7,2,0,0,0,0,0,0,13.4,13.4
31,Ka'Deem Carey,CHI,RB,16,TB,1,1,1,1,1,1,1,1,0,0,13.2,13.2
32,Khiry Robinson,NO,RB,7,IND,4,11,2.8,2,0,0,0,0,0,0,13.1,13.1
32,Tim Hightower,NO,RB,16,JAX,6,11,1.8,2,0,0,0,0,0,0,13.1,13.1
34,Spencer Ware,KC,RB,11,LAC,5,10,2,2,0,0,0,0,0,0,13,13
34,Mark Ingram,NO,RB,6,ATL,5,10,2,2,0,0,0,0,0,0,13,13
36,Chris Johnson,ARI,RB,3,SF,4,9,2.2,2,0,0,0,0,0,0,12.9,12.9
37,David Johnson,ARI,RB,15,PHI,3,8,2.7,2,0,0,0,0,0,0,12.8,12.8
38,Frank Gore,IND,RB,3,TEN,3,7,2.3,2,0,0,0,0,0,0,12.7,12.7
39,David Johnson,ARI,RB,5,DET,2,6,3,2,0,0,0,0,0,0,12.6,12.6
39,DeAngelo Williams,PIT,RB,16,BAL,4,6,1.5,2,0,0,0,0,0,0,12.6,12.6
41,Isaiah Crowell,CLE,RB,14,SF,6,4,0.7,2,0,0,0,0,0,0,12.4,12.4
42,Jeremy Hill,CIN,RB,11,ARI,2,3,1.5,2,0,0,0,0,0,0,12.3,12.3
43,Joseph Randle,DAL,RB,3,ATL,2,2,1,2,0,0,0,0,0,0,12.2,12.2
44,Theo Riddick,DET,RB,12,PHI,1,3,3,0,3,3,28,1,0,0,12.1,12.1
45,Shane Vereen,NYG,RB,15,CAR,0,0,0,0,3,3,17,1,0,0,10.7,10.7
46,Jamaal Charles,KC,RB,1,HOU,2,16,8,0,2,2,8,1,0,0,10.4,10.4
47,Kyle Juszczyk,BAL,FB,5,CLE,0,0,0,0,4,2,23,1,0,0,10.3,10.3
48,LeGarrette Blount,NE,RB,10,NYG,8,31,3.9,1,1,1,1,0,0,0,10.2,10.2
49,Jonathan Stewart,CAR,RB,10,TEN,7,41,5.9,1,0,0,0,0,0,0,10.1,10.1
50,Ameer Abdullah,DET,RB,15,NO,2,25,12.5,1,1,1,5,0,0,0,10,10
50,Le'Veon Bell,PIT,RB,4,BAL,2,14,7,1,2,2,6,0,0,0,10,10
52,Matt Forte,CHI,RB,1,GB,4,10,2.5,1,4,2,9,0,0,0,9.9,9.9
52,Chris Ivory,NYJ,RB,7,NE,3,7,2.3,0,2,2,12,1,0,0,9.9,9.9
54,Matt Forte,CHI,RB,6,DET,9,20,2.2,1,2,1,8,0,0,0,9.8,9.8
55,Lorenzo Taliaferro,BAL,RB,2,OAK,1,7,7,1,2,2,10,0,0,0,9.7,9.7
56,Giovani Bernard,CIN,RB,6,BUF,4,36,9,1,0,0,0,0,0,0,9.6,9.6
57,Mark Ingram,NO,RB,13,CAR,3,13,4.3,1,1,1,11,0,1,0,9.4,9.4
57,Jeremy Langford,CHI,RB,11,DEN,1,2,2,1,4,2,12,0,0,0,9.4,9.4
59,Dion Lewis,NE,RB,5,DAL,2,13,6.5,0,1,1,10,1,0,0,9.3,9.3
59,Fred Jackson,SEA,RB,13,MIN,0,0,0,0,2,2,13,1,0,0,9.3,9.3
61,Danny Woodhead,LAC,RB,9,CHI,3,7,2.3,0,2,1,14,1,0,0,9.1,9.1
61,Jonathan Stewart,CAR,RB,11,WAS,3,9,3,0,1,1,12,1,0,0,9.1,9.1
61,Chris Thompson,WAS,RB,3,NYG,0,0,0,0,2,2,11,1,1,0,9.1,9.1
61,Mike Tolbert,CAR,FB,11,WAS,3,6,2,0,2,2,5,1,0,0,9.1,9.1
65,Alfred Blue,HOU,RB,3,TB,5,30,6,1,0,0,0,0,0,0,9,9
65,Justin Forsett,BAL,RB,5,CLE,3,17,5.7,1,1,1,3,0,0,0,9,9
67,Adrian Peterson,MIN,RB,3,LAC,6,28,4.7,1,0,0,0,0,0,0,8.8,8.8
67,Brandon Bolden,NE,RB,9,WAS,0,0,0,0,1,1,18,1,0,0,8.8,8.8
67,CJ Spiller,NO,RB,8,NYG,1,9,9,0,1,1,9,1,0,0,8.8,8.8
67,Jeremy Langford,CHI,RB,10,LAR,5,13,2.6,1,1,1,5,0,0,0,8.8,8.8
71,Latavius Murray,OAK,RB,3,CLE,8,27,3.4,1,0,0,0,0,0,0,8.7,8.7
71,Justin Forsett,BAL,RB,7,ARI,2,13,6.5,1,1,1,4,0,0,0,8.7,8.7
71,TJ Yeldon,JAX,RB,13,TEN,4,14,3.5,1,1,1,3,0,0,0,8.7,8.7
74,Jonathan Stewart,CAR,RB,8,IND,4,26,6.5,1,0,0,0,0,0,0,8.6,8.6
74,Zac Stacy,NYJ,RB,4,MIA,2,4,2,1,1,1,12,0,0,0,8.6,8.6
74,David Johnson,ARI,RB,11,CIN,0,0,0,0,1,1,16,1,0,0,8.6,8.6
74,LeSean McCoy,BUF,RB,12,KC,1,6,6,0,2,1,10,1,0,0,8.6,8.6
74,Arian Foster,HOU,RB,6,JAX,2,2,1,0,2,1,14,1,0,0,8.6,8.6
74,Dion Lewis,NE,RB,8,MIA,0,0,0,0,2,1,16,1,0,0,8.6,8.6
74,Charcandrick West,KC,RB,8,DET,3,8,2.7,1,3,1,8,0,0,0,8.6,8.6
74,Bilal Powell,NYJ,RB,14,TEN,0,0,0,0,1,1,16,1,0,0,8.6,8.6
74,Jerick McKinnon,MIN,RB,15,CHI,1,-1,-1,0,1,1,17,1,0,0,8.6,8.6
83,LeSean McCoy,BUF,RB,3,MIA,1,5,5,0,1,1,10,1,0,0,8.5,8.5
83,Ameer Abdullah,DET,RB,3,DEN,1,-1,-1,0,1,1,16,1,0,0,8.5,8.5
83,Alfred Blue,HOU,RB,12,NO,2,11,5.5,1,1,1,4,0,0,0,8.5,8.5
83,James Starks,GB,RB,6,LAC,3,10,3.3,0,2,1,5,1,0,0,8.5,8.5
87,Devonta Freeman,ATL,RB,5,WAS,5,24,4.8,1,1,0,0,0,1,0,8.4,8.4
87,Eddie Lacy,GB,RB,1,CHI,4,9,2.2,1,1,1,5,0,0,0,8.4,8.4
87,Charles Sims,TB,RB,11,PHI,0,0,0,0,2,1,14,1,0,0,8.4,8.4
87,Lamar Miller,MIA,RB,10,PHI,1,1,1,0,2,1,13,1,0,0,8.4,8.4
91,Tim Hightower,NO,RB,14,TB,6,23,3.8,1,0,0,0,0,0,0,8.3,8.3
91,Fozzy Whittaker,CAR,RB,14,ATL,3,23,7.7,1,0,0,0,0,0,0,8.3,8.3
91,Charles Sims,TB,RB,4,CAR,1,3,3,0,1,1,10,1,0,0,8.3,8.3
91,Devonta Freeman,ATL,RB,6,NO,0,0,0,0,1,1,13,1,0,0,8.3,8.3
91,Jeremy Hill,CIN,RB,6,BUF,0,0,0,0,1,1,13,1,0,0,8.3,8.3
91,Ryan Mathews,PHI,RB,10,MIA,3,8,2.7,1,1,1,5,0,0,0,8.3,8.3
91,James Starks,GB,RB,14,DAL,1,0,0,0,1,1,13,1,0,0,8.3,8.3
98,Terron Ward,ATL,RB,4,HOU,5,22,4.4,1,0,0,0,0,0,0,8.2,8.2
98,Javorius Allen,BAL,RB,12,CLE,1,-1,-1,0,1,1,13,1,0,0,8.2,8.2
98,Mike Tolbert,CAR,FB,13,NO,0,0,0,0,1,1,12,1,0,0,8.2,8.2
98,Chris Thompson,WAS,RB,16,PHI,0,0,0,0,1,1,12,1,0,0,8.2,8.2
102,Dion Lewis,NE,RB,2,BUF,3,21,7,1,0,0,0,0,0,0,8.1,8.1
102,Todd Gurley,LAR,RB,10,CHI,4,21,5.2,1,0,0,0,0,0,0,8.1,8.1
102,Shane Vereen,NYG,RB,5,SF,2,9,4.5,0,1,1,2,1,0,0,8.1,8.1
102,Le'Veon Bell,PIT,RB,3,LAR,3,2,0.7,1,2,1,9,0,0,0,8.1,8.1
102,LeGarrette Blount,NE,RB,6,IND,0,0,0,0,1,1,11,1,0,0,8.1,8.1
102,Chris Polk,HOU,RB,13,BUF,0,0,0,0,1,1,11,1,0,0,8.1,8.1
108,Mark Ingram,NO,RB,2,TB,4,20,5,1,0,0,0,0,0,0,8,8
108,Jay Ajayi,MIA,RB,15,LAC,2,20,10,1,0,0,0,0,0,0,8,8
108,Damien Williams,MIA,RB,2,JAX,0,0,0,0,1,1,10,1,0,0,8,8
108,David Johnson,ARI,RB,13,LAR,3,0,0,0,2,1,10,1,1,0,8,8
112,Giovani Bernard,CIN,RB,4,KC,2,19,9.5,1,0,0,0,0,0,0,7.9,7.9
112,Darren McFadden,DAL,RB,3,ATL,3,19,6.3,1,0,0,0,0,0,0,7.9,7.9
112,Jamize Olawale,OAK,FB,9,PIT,1,19,19,1,0,0,0,0,0,0,7.9,7.9
112,Ronnie Hillman,DEN,RB,12,NE,1,19,19,1,0,0,0,0,0,0,7.9,7.9
112,Matt Forte,CHI,RB,13,SF,2,19,9.5,1,0,0,0,0,0,0,7.9,7.9
112,David Johnson,ARI,RB,16,GB,3,19,6.3,1,1,0,0,0,0,0,7.9,7.9
112,Charcandrick West,KC,RB,10,DEN,2,19,9.5,1,0,0,0,0,0,0,7.9,7.9
112,Mike Gillislee,BUF,RB,14,PHI,1,19,19,1,0,0,0,0,0,0,7.9,7.9
112,James White,NE,RB,16,NYJ,0,0,0,0,1,1,9,1,0,0,7.9,7.9
112,Matt Forte,CHI,RB,15,MIN,1,5,5,0,1,1,4,1,0,0,7.9,7.9
122,Ryan Mathews,PHI,RB,9,DAL,2,18,9,1,0,0,0,0,0,0,7.8,7.8
122,CJ Anderson,DEN,RB,12,NE,2,18,9,1,0,0,0,0,0,0,7.8,7.8
122,Ty Montgomery,GB,RB,3,KC,0,0,0,0,1,1,8,1,0,0,7.8,7.8
122,Ahmad Bradshaw,IND,RB,9,DEN,3,0,0,0,1,1,8,1,0,0,7.8,7.8
126,Matt Jones,WAS,RB,2,LAR,4,17,4.2,1,0,0,0,0,0,0,7.7,7.7
126,Mark Ingram,NO,RB,3,CAR,3,17,5.7,1,0,0,0,0,0,0,7.7,7.7
126,Matt Forte,CHI,RB,14,WAS,2,17,8.5,1,0,0,0,0,0,0,7.7,7.7
126,Matt Forte,CHI,RB,5,KC,0,0,0,0,1,1,7,1,0,0,7.7,7.7
126,Duke Johnson,CLE,RB,9,CIN,2,-5,-2.5,0,1,1,12,1,0,0,7.7,7.7
131,Dion Lewis,NE,RB,3,JAX,4,16,4,1,0,0,0,0,0,0,7.6,7.6
131,Thomas Rawls,SEA,RB,13,MIN,5,16,3.2,1,0,0,0,0,0,0,7.6,7.6
131,Jeremy Hill,CIN,RB,13,CLE,7,16,2.3,1,1,0,0,0,0,0,7.6,7.6
131,Darren McFadden,DAL,RB,13,WAS,4,16,4,1,0,0,0,0,0,0,7.6,7.6
131,Darren Sproles,PHI,RB,14,BUF,2,16,8,1,0,0,0,0,0,0,7.6,7.6
131,TJ Yeldon,JAX,RB,5,TB,1,2,2,0,2,1,4,1,0,0,7.6,7.6
131,Theo Riddick,DET,RB,5,ARI,0,0,0,0,1,1,6,1,0,0,7.6,7.6
131,Shane Vereen,NYG,RB,9,TB,3,2,0.7,0,1,1,4,1,0,0,7.6,7.6
139,Chris Ivory,NYJ,RB,4,MIA,2,15,7.5,1,0,0,0,0,0,0,7.5,7.5
139,LeGarrette Blount,NE,RB,9,WAS,7,15,2.1,1,0,0,0,0,1,0,7.5,7.5
139,Orleans Darkwa,NYG,RB,7,DAL,1,15,15,1,0,0,0,0,0,0,7.5,7.5
139,Isaiah Crowell,CLE,RB,16,KC,3,15,5,1,0,0,0,0,0,0,7.5,7.5
139,Denard Robinson,JAX,RB,14,IND,5,15,3,1,1,0,0,0,0,0,7.5,7.5
139,Fred Jackson,SEA,RB,2,GB,0,0,0,0,1,1,5,1,0,0,7.5,7.5
139,Frank Gore,IND,RB,13,PIT,3,-4,-1.3,0,1,1,9,1,0,0,7.5,7.5
139,Rex Burkhead,CIN,RB,14,PIT,0,0,0,0,1,1,5,1,0,0,7.5,7.5
147,Charcandrick West,KC,RB,7,PIT,7,14,2,1,2,0,0,0,0,0,7.4,7.4
147,Doug Martin,TB,RB,14,NO,1,14,14,1,0,0,0,0,0,0,7.4,7.4
147,Lamar Miller,MIA,RB,14,NYG,1,14,14,1,0,0,0,0,0,0,7.4,7.4
147,Roy Helu,OAK,RB,4,CHI,0,0,0,0,1,1,4,1,0,0,7.4,7.4
147,Zach Line,MIN,FB,15,CHI,0,0,0,0,1,1,4,1,0,0,7.4,7.4
147,Michael Burton,DET,FB,15,NO,0,0,0,0,1,1,4,1,0,0,7.4,7.4
153,David Johnson,ARI,RB,2,CHI,1,13,13,1,0,0,0,0,0,0,7.3,7.3
153,Ryan Mathews,PHI,RB,5,NO,2,-3,-1.5,1,1,1,6,0,0,0,7.3,7.3
153,Marcel Reece,OAK,FB,5,DEN,0,0,0,0,1,1,3,1,0,0,7.3,7.3
153,Dexter McCluster,TEN,RB,6,MIA,0,0,0,0,1,1,3,1,0,0,7.3,7.3
153,Devonta Freeman,ATL,RB,15,JAX,4,0,0,1,2,1,3,0,0,0,7.3,7.3
158,Antonio Andrews,TEN,RB,3,IND,4,12,3,1,0,0,0,0,0,0,7.2,7.2
158,Frank Gore,IND,RB,9,DEN,5,12,2.4,1,0,0,0,0,0,0,7.2,7.2
158,Joique Bell,DET,RB,12,PHI,3,12,4,1,0,0,0,0,0,0,7.2,7.2
158,Thomas Rawls,SEA,RB,12,PIT,4,12,3,1,0,0,0,0,0,0,7.2,7.2
158,Marshawn Lynch,SEA,RB,7,SF,6,12,2,1,0,0,0,0,0,0,7.2,7.2
158,DeMarco Murray,PHI,RB,6,NYG,1,12,12,1,0,0,0,0,0,0,7.2,7.2
158,Todd Gurley,LAR,RB,16,SEA,2,12,6,1,0,0,0,0,0,0,7.2,7.2
158,Adrian Peterson,MIN,RB,14,ARI,2,12,6,1,0,0,0,0,0,0,7.2,7.2
158,Bilal Powell,NYJ,RB,15,DAL,1,12,12,1,0,0,0,0,0,0,7.2,7.2
158,Jalston Fowler,TEN,RB,12,OAK,1,1,1,0,1,1,1,1,0,0,7.2,7.2
158,Shane Vereen,NYG,RB,8,NO,0,0,0,0,2,1,2,1,0,0,7.2,7.2
