Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Spencer Ware,KC,RB,8,DET,3,4.6,66.7,0,66.7,66.7,7.2,240
2,David Johnson,ARI,RB,1,NO,5,8.1,0,40,20,40,12.5,250
3,Rex Burkhead,CIN,RB,14,PIT,3,5.2,0,33.3,33.3,33.3,7.5,250
4,David Johnson,ARI,RB,5,DET,6,13,50,0,50,50,12.6,210
5,Jerick McKinnon,MIN,RB,16,NYG,14,20,50,21.4,64.3,71.4,23.7,169.3
5,Taiwan Jones,OAK,RB,8,NYJ,8,12.7,25,12.5,37.5,37.5,13.4,167.5
7,Anthony Dixon,BUF,RB,1,IND,4,6.8,75,0,75,75,6.1,152.5
8,Lamar Miller,MIA,RB,7,HOU,24,38.1,58.3,12.5,70.8,70.8,41.6,173.3
9,Ka'Deem Carey,CHI,RB,16,TB,10,14.1,70,10,80,80,14.7,147
10,Ka'Deem Carey,CHI,RB,13,SF,6,7.7,83.3,0,83.3,83.3,7.7,128.3
11,Will Tukuafu,SEA,FB,10,ARI,5,8.2,40,0,40,40,6.2,124
12,Joseph Randle,DAL,RB,3,ATL,23,42.6,60.9,8.7,69.6,69.6,30.5,132.6
13,David Johnson,ARI,RB,11,CIN,7,11.7,28.6,28.6,57.1,57.1,10.6,151.4
14,Theo Riddick,DET,RB,1,LAC,8,17,0,25,25,25,11.7,146.2
15,Ryan Mathews,PHI,RB,7,CAR,16,19.3,37.5,18.8,56.2,56.2,21.1,131.9
16,Fred Jackson,SEA,RB,2,GB,5,8.3,0,40,40,40,8.6,172
17,Robert Turbin,DAL,RB,14,GB,10,19.2,70,0,70,70,11.1,111
18,Brandon Bolden,NE,RB,12,DEN,14,21.2,28.6,28.6,57.1,57.1,19.5,139.3
19,Karlos Williams,BUF,RB,9,MIA,21,38.2,42.9,0,42.9,42.9,26,123.8
20,Matt Jones,WAS,RB,10,NO,23,37.1,47.8,13,60.9,60.9,30.7,133.5
21,Danny Woodhead,LAC,RB,15,MIA,29,36.7,27.6,20.7,48.3,48.3,36,124.1
22,Mike Gillislee,BUF,RB,14,PHI,9,12.2,33.3,11.1,44.4,44.4,10,111.1
23,Brandon Bolden,NE,RB,9,WAS,10,12.5,10,40,40,50,12.9,129
24,Jamize Olawale,OAK,FB,9,PIT,8,11.4,12.5,0,12.5,12.5,7.9,98.8
25,Andre Ellington,ARI,RB,5,DET,13,28.3,23.1,0,23.1,23.1,12.3,94.6
26,James White,NE,RB,11,BUF,18,26.9,11.1,16.7,22.2,27.8,18.6,103.3
