Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,David Johnson,ARI,RB,15,PHI,29,187,6.4,3,4,4,42,0,0,0,47.9,47.9
2,Devonta Freeman,ATL,RB,3,DAL,30,141,4.7,3,5,5,52,0,0,0,45.3,45.3
3,Thomas Rawls,SEA,RB,11,SF,30,209,7,1,3,3,46,1,0,0,43.5,43.5
4,Lamar Miller,MIA,RB,7,HOU,14,175,12.5,1,3,3,61,1,0,0,41.6,41.6
5,DeAngelo Williams,PIT,RB,9,OAK,27,170,6.3,2,4,2,55,0,0,0,41.5,41.5
6,Jeremy Langford,CHI,RB,10,LAR,20,73,3.6,1,9,7,109,1,0,0,40.2,40.2
7,Doug Martin,TB,RB,5,JAX,24,123,5.1,2,3,3,35,1,0,0,39.8,39.8
8,Devonta Freeman,ATL,RB,6,NO,13,100,7.7,1,10,8,56,1,0,0,38.6,38.6
9,Javorius Allen,BAL,RB,13,MIA,17,63,3.7,0,13,12,107,1,0,0,38,38
10,Devonta Freeman,ATL,RB,4,HOU,14,68,4.9,3,6,5,81,0,0,0,37.9,37.9
11,Danny Woodhead,LAC,RB,15,MIA,8,10,1.2,1,6,6,50,3,0,0,36,36
12,Adrian Peterson,MIN,RB,12,ATL,29,158,5.4,2,4,2,29,0,0,0,35.7,35.7
12,Devonta Freeman,ATL,RB,5,WAS,27,153,5.7,1,8,7,44,0,1,0,35.7,35.7
14,Todd Gurley,LAR,RB,7,CLE,19,128,6.7,2,5,4,35,0,0,0,35.3,35.3
14,DeAngelo Williams,PIT,RB,16,BAL,17,100,5.9,2,6,6,53,0,1,1,35.3,35.3
16,Carlos Hyde,SF,RB,1,MIN,26,168,6.5,2,2,2,14,0,0,0,35.2,35.2
17,Tim Hightower,NO,RB,16,JAX,27,122,4.5,2,3,3,47,0,0,0,34.9,34.9
18,CJ Anderson,DEN,RB,12,NE,15,113,7.5,2,4,4,40,0,0,0,34.3,34.3
19,Lamar Miller,MIA,RB,9,BUF,12,44,3.7,2,7,7,97,0,0,0,33.1,33.1
19,Danny Woodhead,LAC,RB,7,OAK,5,26,5.2,0,12,11,75,2,0,0,33.1,33.1
21,Adrian Peterson,MIN,RB,10,OAK,26,203,7.8,1,3,2,13,0,0,0,32.6,32.6
22,Chris Ivory,NYJ,RB,6,WAS,20,146,7.3,1,3,3,50,0,0,0,31.6,31.6
22,Matt Jones,WAS,RB,2,LAR,19,123,6.5,2,3,3,23,0,1,1,31.6,31.6
24,Isaiah Crowell,CLE,RB,14,SF,20,145,7.2,2,1,1,9,0,0,0,31.4,31.4
25,DeAngelo Williams,PIT,RB,2,SF,20,77,3.8,3,5,4,15,0,0,0,31.2,31.2
25,Jamaal Charles,KC,RB,3,GB,11,49,4.5,3,7,5,33,0,0,0,31.2,31.2
27,Charcandrick West,KC,RB,10,DEN,24,69,2.9,1,5,3,92,1,0,0,31.1,31.1
28,Chris Johnson,ARI,RB,3,SF,22,110,5,2,2,1,40,0,0,0,31,31
28,Le'Veon Bell,PIT,RB,4,BAL,22,129,5.9,1,7,7,21,0,0,0,31,31
30,James White,NE,RB,13,PHI,2,4,2,0,13,10,115,1,0,0,30.9,30.9
31,Todd Gurley,LAR,RB,14,DET,16,140,8.8,2,2,1,7,0,0,0,30.7,30.7
31,Matt Jones,WAS,RB,10,NO,11,56,5.1,0,3,3,131,1,0,0,30.7,30.7
33,Matt Forte,CHI,RB,1,GB,24,141,5.9,1,8,5,25,0,0,0,30.6,30.6
34,Joseph Randle,DAL,RB,3,ATL,14,87,6.2,3,2,2,18,0,0,0,30.5,30.5
35,Justin Forsett,BAL,RB,5,CLE,21,121,5.8,1,5,4,49,0,0,0,30,30
36,Arian Foster,HOU,RB,7,MIA,18,59,3.3,1,7,5,66,1,0,0,29.5,29.5
37,Doug Martin,TB,RB,4,CAR,20,106,5.3,1,5,5,37,0,0,0,28.3,28.3
38,LeGarrette Blount,NE,RB,3,JAX,18,78,4.3,3,1,1,14,0,0,0,28.2,28.2
39,DeMarco Murray,PHI,RB,9,DAL,18,83,4.6,1,7,6,78,0,0,0,28.1,28.1
40,James Starks,GB,RB,6,LAC,10,112,11.2,1,2,1,5,1,0,0,27.7,27.7
41,Adrian Peterson,MIN,RB,3,LAC,20,126,6.3,2,0,0,0,0,0,0,27.6,27.6
42,Darren McFadden,DAL,RB,7,NYG,29,152,5.2,1,2,2,10,0,0,0,27.2,27.2
43,Todd Gurley,LAR,RB,8,SF,20,133,6.6,1,3,3,13,0,0,0,26.6,26.6
43,Duke Johnson,CLE,RB,4,LAC,8,31,3.9,0,10,9,85,1,0,0,26.6,26.6
45,Doug Martin,TB,RB,11,PHI,27,235,8.7,0,1,0,0,0,0,0,26.5,26.5
46,James Starks,GB,RB,14,DAL,11,71,6.5,1,4,4,32,1,0,0,26.3,26.3
47,Le'Veon Bell,PIT,RB,3,LAR,19,62,3.3,1,8,7,70,0,0,0,26.2,26.2
48,Karlos Williams,BUF,RB,9,MIA,9,110,12.2,2,0,0,0,0,0,0,26,26
49,Thomas Rawls,SEA,RB,5,CIN,23,169,7.3,1,0,0,0,0,0,0,25.9,25.9
49,Eddie Lacy,GB,RB,12,CHI,17,105,6.2,0,5,4,34,1,1,1,25.9,25.9
51,Mark Ingram,NO,RB,7,IND,14,143,10.2,1,2,2,5,0,1,0,25.8,25.8
52,Le'Veon Bell,PIT,RB,5,LAC,21,111,5.3,1,5,4,16,0,0,0,25.7,25.7
53,Chris Ivory,NYJ,RB,4,MIA,29,166,5.7,1,2,0,0,0,0,0,25.6,25.6
53,Giovani Bernard,CIN,RB,11,ARI,6,18,3,0,10,8,128,0,1,0,25.6,25.6
55,Adrian Peterson,MIN,RB,9,LAR,29,125,4.3,1,2,2,18,0,2,0,25.3,25.3
56,Jeremy Langford,CHI,RB,9,LAC,18,72,4,1,4,3,70,0,0,0,25.2,25.2
57,DeMarco Murray,PHI,RB,5,NO,20,83,4.2,1,8,7,37,0,0,0,25,25
57,Shane Vereen,NYG,RB,5,SF,5,24,4.8,0,8,8,86,1,0,0,25,25
59,Latavius Murray,OAK,RB,3,CLE,26,139,5.3,1,1,1,10,0,0,0,24.9,24.9
60,Eddie Lacy,GB,RB,14,DAL,24,124,5.2,1,1,1,24,0,0,0,24.8,24.8
60,Dion Lewis,NE,RB,2,BUF,7,40,5.7,1,9,6,98,0,1,1,24.8,24.8
60,Bilal Powell,NYJ,RB,13,NYG,6,17,2.8,0,13,8,91,1,0,0,24.8,24.8
63,DeAngelo Williams,PIT,RB,12,SEA,8,29,3.6,1,7,7,88,0,0,0,24.7,24.7
64,DeMarco Murray,PHI,RB,6,NYG,21,112,5.3,1,4,3,14,0,1,0,24.6,24.6
