TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
49ers,26.6,1569,4.2,81,21.7,34,6.6,86,16.6
Bears,18.9,1170,3.8,86,27.8,45,7.6,89,15.1
Bengals,29.5,1993,4.8,64,15.3,33,6.2,76,14.2
Bills,23.8,1467,4,97,26.4,31,6.7,79,17
Broncos,21.4,1683,4.6,77,20.9,42,7.8,90,16.6
Browns,24.9,1765,4.5,86,22.2,32,5.2,82,13.3
Buccaneers,28.8,1794,4.8,81,21.8,36,7.2,88,17.6
Cardinals,26.2,2028,4.7,106,24.4,41,8.2,82,16.3
Chargers,21.3,1452,4.3,68,20.3,34,6.6,77,15
Chiefs,27.1,1777,5,73,20.7,46,7.5,94,15.3
Colts,21.4,1450,3.9,98,26.5,38,7.3,75,14.5
Cowboys,19.2,1307,3.7,79,22.5,35,7.2,87,17.8
Dolphins,26.7,2033,4.8,65,15.5,24,5,60,12.4
Eagles,22.7,1468,4.9,84,27.9,36,6.1,116,19.5
Falcons,27.2,1766,4.9,58,15.9,34,6.5,65,12.3
Giants,24.9,1798,4.4,74,18.2,25,5.1,68,13.8
Jaguars,20.6,1674,4.4,75,19.6,28,6,75,16
Jets,25.6,1763,4.5,76,19.5,34,6.4,99,18.8
Lions,23.8,1615,4.5,61,16.9,38,8.2,69,14.8
Packers,23.6,1741,4.5,69,17.8,41,8.2,70,14
Panthers,24.6,1426,4.2,97,28.9,32,6.2,67,13.1
Patriots,22.1,1627,5,58,17.8,26,4.6,88,15.7
Raiders,29.9,2050,4.8,49,11.4,12,2.8,43,10
Rams,24.5,1726,5,76,22,34,6.8,85,16.9
Ravens,18.1,1226,3.8,80,24.7,39,7.3,93,17.3
Redskins,22.1,1632,4.6,66,18.8,40,7.7,84,16.2
Saints,20.9,1108,3.7,84,27.9,45,8.4,87,16.2
Seahawks,20.9,1572,4.9,70,21.7,36,7.1,90,17.7
Steelers,22.6,1356,4.1,87,26.2,46,8.4,103,18.8
Texans,20.1,1236,3.6,82,23.6,39,7,86,15.5
Titans,18.1,1544,4.3,78,21.7,36,7,82,16
Vikings,22,1560,4.1,89,23.4,47,9.8,85,17.7
