TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
49ers,26.6,373,302,484,62.4,3275,6.8,10.8,30,2,170,34,216,101
Bears,18.9,264,335,544,61.6,3182,5.8,9.5,21,26,169,45,299,71
Bengals,29.5,413,330,501,65.9,3789,7.6,11.5,28,11,194,33,164,98
Bills,23.8,333,281,435,64.6,2624,6,9.3,20,12,144,31,184,85
Broncos,21.4,299,320,499,64.1,3610,7.2,11.3,25,15,179,42,287,90
Browns,24.9,348,366,583,62.8,3851,6.6,10.5,19,17,203,32,207,81
Buccaneers,28.8,403,335,464,72.2,3619,7.8,10.8,30,8,181,36,220,109
Cardinals,26.2,367,311,461,67.5,2961,6.4,9.5,19,6,168,41,266,93
Chargers,21.3,298,308,478,64.4,3156,6.6,10.2,21,12,159,34,234,87
Chiefs,27.1,380,364,570,63.9,3955,6.9,10.9,27,13,221,46,310,90
Colts,21.4,300,341,480,71,3331,6.9,9.8,19,12,180,38,228,93
Cowboys,19.2,269,309,453,68.2,3137,6.9,10.2,19,8,162,35,210,94
Dolphins,26.7,374,301,458,65.7,3599,7.9,12,28,20,178,24,173,92
Eagles,22.7,318,375,558,67.2,3931,7,10.5,20,9,192,36,251,93
Falcons,27.2,381,339,493,68.8,3517,7.1,10.4,28,11,191,34,234,99
Giants,24.9,348,304,469,64.8,3323,7.1,10.9,18,15,168,25,162,85
Jaguars,20.6,289,272,442,61.5,2784,6.3,10.2,16,10,141,28,190,82
Jets,25.6,359,306,494,61.9,3408,6.9,11.1,23,13,168,34,258,87
Lions,23.8,333,283,428,66.1,3230,7.5,11.4,26,6,175,38,256,103
Packers,23.6,331,291,459,63.4,3157,6.9,10.8,24,7,165,41,302,95
Panthers,24.6,344,324,481,67.4,3504,7.3,10.8,28,12,169,32,201,98
Patriots,22.1,310,334,536,62.3,3591,6.7,10.8,28,16,190,26,206,87
Raiders,29.9,418,260,416,62.5,3343,8,12.9,32,11,155,12,78,102
Rams,24.5,343,306,469,65.2,3357,7.2,11,27,15,166,34,285,92
Ravens,18.1,253,291,498,58.4,2837,5.7,9.7,18,7,148,39,257,81
Redskins,22.1,310,316,478,66.1,3371,7.1,10.7,23,14,171,40,266,90
Saints,20.9,292,333,493,67.5,3674,7.5,11,25,12,193,45,300,96
Seahawks,20.9,292,314,472,66.5,3464,7.3,11,22,12,177,36,217,93
Steelers,22.6,316,323,502,64.3,3313,6.6,10.3,26,7,180,46,310,95
Texans,20.1,281,335,516,64.9,3616,7,10.8,24,13,178,39,283,90
Titans,18.1,254,300,475,63.2,3062,6.4,10.2,17,8,158,36,219,86
Vikings,22,308,274,434,63.1,2840,6.5,10.4,15,12,143,47,337,82
