Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,14,16.08,18.89,29.64,13.59,4.79,82.98
2,Minnesota Vikings,MIN,DST,14,16.31,23.31,28.65,10.24,6.14,84.66
3,Buffalo Bills,BUF,DST,14,13.87,26.79,30.11,8.36,6.57,85.7
4,Jacksonville Jaguars,JAX,DST,14,17.19,21.36,28.23,13.27,6,86.05
5,Tennessee Titans,TEN,DST,14,16.59,18.54,39.45,8.23,5.64,88.45
6,Dallas Cowboys,DAL,DST,14,17.28,22.57,28.89,14.23,6.14,89.11
7,Chicago Bears,CHI,DST,14,15.77,20.09,39.07,10.01,6.14,91.08
8,Los Angeles Chargers,LAC,DST,14,16.47,27.2,32.59,10.75,5,92.01
9,Indianapolis Colts,IND,DST,14,18.05,25.31,29.91,14.39,6.21,93.86
10,Houston Texans,HOU,DST,14,18.81,21.84,36.1,14.9,5.14,96.8
11,Detroit Lions,DET,DST,14,19.12,26.69,37.31,9.71,4.29,97.12
12,Seattle Seahawks,SEA,DST,14,18.25,26.26,38.66,9.37,4.93,97.47
13,Green Bay Packers,GB,DST,14,18.34,24.47,39.87,9.44,6.07,98.19
14,New York Giants,NYG,DST,14,17.44,29.05,31.94,12.11,8.14,98.69
15,Arizona Cardinals,ARI,DST,14,16.53,31.06,36.18,8.84,6.43,99.04
16,New Orleans Saints,NO,DST,14,22.2,19.86,44.67,9.19,3.57,99.49
17,Washington Redskins,WAS,DST,14,20.05,24.8,38.97,9.87,5.93,99.62
18,Pittsburgh Steelers,PIT,DST,14,20,20.89,37.92,15.17,5.71,99.7
19,Denver Broncos,DEN,DST,14,18.82,24.57,37.85,14.98,6.51,102.73
20,San Francisco 49ers,SF,DST,14,20.67,26.92,39.55,9.84,6.14,103.13
21,Los Angeles Rams,LAR,DST,14,19.46,25.26,37.38,13.49,7.57,103.16
22,New England Patriots,NE,DST,14,20.69,25.9,37.35,13.94,5.86,103.73
23,New York Jets,NYJ,DST,14,19.67,22.84,44.28,8.62,8.43,103.85
24,Carolina Panthers,CAR,DST,14,20.92,21.31,39.46,15.61,7,104.31
25,Oakland Raiders,OAK,DST,14,20.45,27.84,33.8,16.13,6.93,105.14
26,Miami Dolphins,MIA,DST,14,20.74,29.59,36.92,14.44,6.71,108.41
27,Philadelphia Eagles,PHI,DST,14,20.61,27.06,44.14,9.5,8.07,109.38
28,Atlanta Falcons,ATL,DST,14,23.3,31.73,39.16,9.91,5.79,109.89
29,Cleveland Browns,CLE,DST,14,19.54,28.29,39.39,15.19,7.57,109.97
30,Tampa Bay Buccaneers,TB,DST,14,22.7,30.44,39.63,14.76,6.5,114.03
31,Cincinnati Bengals,CIN,DST,14,23.47,32.21,38.4,13.91,8.21,116.19
32,Kansas City Chiefs,KC,DST,14,23.27,31.85,38.82,16.61,6.14,116.7
