TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
49ers,28,336,255,411,62,2887,7,11.3,27,2,149,29,181,103
Bears,20.1,241,289,457,63.2,2785,6.1,9.6,21,21,145,37,235,76
Bengals,30.9,371,290,434,66.8,3357,7.7,11.6,26,11,172,26,113,99
Bills,24.4,293,243,381,63.8,2246,5.9,9.2,18,11,128,31,184,84
Broncos,21.8,262,282,435,64.8,3130,7.2,11.1,21,13,151,37,247,90
Browns,26,312,308,492,62.6,3316,6.7,10.8,19,14,172,29,187,83
Buccaneers,29.6,355,297,410,72.4,3293,8,11.1,28,7,161,33,214,112
Cardinals,25.8,310,274,402,68.2,2645,6.6,9.7,17,6,148,38,250,94
Chargers,20.8,249,266,417,63.8,2771,6.6,10.4,18,12,138,29,206,85
Chiefs,27.2,327,325,506,64.2,3540,7,10.9,23,11,191,39,265,91
Colts,23.2,279,290,403,72,2925,7.3,10.1,18,11,154,30,161,96
Cowboys,18.6,223,271,394,68.8,2723,6.9,10,16,8,139,33,204,93
Dolphins,25,300,260,394,66,3057,7.8,11.8,23,19,147,20,142,89
Eagles,22.2,266,298,450,66.2,3172,7,10.6,17,6,151,31,216,94
Falcons,27.8,333,295,425,69.4,3162,7.4,10.7,25,9,170,23,150,102
Giants,26.2,315,274,418,65.6,3033,7.3,11.1,17,12,157,19,125,89
Jaguars,20.2,243,238,393,60.6,2486,6.3,10.4,15,9,122,24,175,82
Jets,25.6,307,266,429,62,2977,6.9,11.2,21,11,147,25,189,88
Lions,26.3,316,244,361,67.6,2817,7.8,11.5,25,5,149,34,225,108
Packers,23.9,287,243,389,62.5,2688,6.9,11.1,19,6,138,38,274,93
Panthers,25.5,306,283,423,66.9,3081,7.3,10.9,27,11,156,29,183,99
Patriots,21.6,259,298,483,61.7,3150,6.5,10.6,23,14,167,19,147,84
Raiders,30.6,367,217,345,62.9,2920,8.5,13.5,29,9,131,10,65,107
Rams,24.8,298,266,408,65.2,2987,7.3,11.2,26,11,151,33,275,97
Ravens,17.8,214,243,420,57.9,2333,5.6,9.6,16,5,126,35,227,81
Redskins,21.4,257,293,434,67.5,3176,7.3,10.8,20,12,158,32,207,93
Saints,22.4,269,298,425,70.1,3351,7.9,11.2,22,10,174,37,229,101
Seahawks,21.6,259,274,410,66.8,3008,7.3,11,20,12,155,31,190,92
Steelers,23.5,282,273,432,63.2,2742,6.3,10,23,6,154,41,280,93
Texans,19.6,235,284,437,65,3002,6.9,10.6,20,12,150,34,245,89
Titans,20.4,245,254,388,65.5,2654,6.8,10.4,16,7,135,29,158,91
Vikings,22.5,270,253,390,64.9,2743,7,10.8,15,11,133,36,254,87
