Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating,OpponentRushingTouchdowns
SF,28,336,752,4185,5.6,249,155,39.4,46,60.9,1298,4.2,22.1,6.6,16.1,411,62,2887,7,11.3,27,103,9
CHI,20.1,241,771,3815,4.9,218,168,35.1,30,60,1030,3.7,27.4,7.5,14.6,457,63.2,2785,6.1,9.6,21,76,4
CIN,30.9,371,837,5197,6.2,301,169,53.8,46,69.6,1840,4.9,14.1,5.7,14.3,434,66.8,3357,7.7,11.6,26,99,16
BUF,24.4,293,726,3530,4.9,227,153,37.3,38,71.1,1284,4.1,28,7.5,18.2,381,63.8,2246,5.9,9.2,18,84,12
DEN,21.8,262,783,4595,5.9,240,162,39.5,35,57.1,1465,4.7,21.9,7.8,16.5,435,64.8,3130,7.2,11.1,21,90,8
CLE,26,312,864,4953,5.7,294,161,37.9,41,65.9,1637,4.8,21.6,5.6,13.6,492,62.6,3316,6.7,10.8,19,83,15
TB,29.6,355,736,4745,6.4,270,131,37.4,41,85.4,1452,5,24.9,7.4,17.6,410,72.4,3293,8,11.1,28,112,14
ARI,25.8,310,817,4336,5.3,269,157,37.6,41,61,1691,4.5,24.7,8.6,17.5,402,68.2,2645,6.6,9.7,17,94,17
LAC,20.8,249,732,4019,5.5,236,151,39.7,38,50,1248,4.4,20.3,6.5,15.2,417,63.8,2771,6.6,10.4,18,85,8
KC,27.2,327,834,5004,6,314,147,39.5,43,72.1,1464,5.1,22.1,7.2,14.5,506,64.2,3540,7,10.9,23,91,14
IND,23.2,279,756,4174,5.5,238,152,42.8,34,50,1249,3.9,26,6.9,14.3,403,72,2925,7.3,10.1,18,96,8
DAL,18.6,223,725,3818,5.3,221,152,42.8,33,45.5,1095,3.7,23.5,7.7,18.5,394,68.8,2723,6.9,10,16,93,7
MIA,25,300,764,4793,6.3,258,143,41.3,42,59.5,1736,5,17.1,4.8,12.1,394,66,3057,7.8,11.8,23,89,9
PHI,22.2,266,728,4416,6.1,220,152,36.2,43,46.5,1244,5,28.3,6.4,20.8,450,66.2,3172,7,10.6,17,94,10
ATL,27.8,333,765,4730,6.2,283,145,51,43,72.1,1568,4.9,12.3,5.1,11.2,425,69.4,3162,7.4,10.7,25,102,14
NYG,26.2,315,776,4532,5.8,262,153,40.5,45,51.1,1499,4.4,17.4,4.3,13.3,418,65.6,3033,7.3,11.1,17,89,13
JAX,20.2,243,735,3787,5.2,217,160,36.2,33,54.5,1301,4.1,19.5,5.8,15.8,393,60.6,2486,6.3,10.4,15,82,10
NYJ,25.6,307,796,4517,5.7,245,167,32.3,40,50,1540,4.5,17.8,5.5,16.7,429,62,2977,6.9,11.2,21,88,12
DET,26.3,316,699,4254,6.1,248,129,39.5,39,61.5,1437,4.7,17.4,8.6,14.9,361,67.6,2817,7.8,11.5,25,108,10
GB,23.9,287,762,4222,5.5,242,165,38.2,39,56.4,1534,4.6,17.9,8.9,15.2,389,62.5,2688,6.9,11.1,19,93,12
CAR,25.5,306,735,4236,5.8,249,141,40.4,37,73,1155,4.1,31.1,6.4,13.7,423,66.9,3081,7.3,10.9,27,99,9
NE,21.6,259,782,4430,5.7,252,156,41.7,38,60.5,1280,4.6,17.5,3.8,14.1,483,61.7,3150,6.5,10.6,23,84,5
OAK,30.6,367,724,4759,6.6,238,148,45.9,47,57.4,1839,5,10.8,2.8,10.1,345,62.9,2920,8.5,13.5,29,107,11
LAR,24.8,298,722,4408,6.1,251,137,39.4,37,62.2,1421,5.1,25.6,7.5,17.9,408,65.2,2987,7.3,11.2,26,97,8
BAL,17.8,214,731,3380,4.6,212,161,34.2,30,66.7,1047,3.8,26.1,7.7,16.3,420,57.9,2333,5.6,9.6,16,81,8
WAS,21.4,257,758,4409,5.8,255,145,44.1,39,51.3,1233,4.2,19.2,6.9,15,434,67.5,3176,7.3,10.8,20,93,10
NO,22.4,269,717,4256,5.9,249,134,39.6,39,61.5,905,3.5,29,8,15.6,425,70.1,3351,7.9,11.2,22,101,10
SEA,21.6,259,717,4409,6.1,253,134,37.3,40,52.5,1401,5.1,22.5,7,16.6,410,66.8,3008,7.3,11,20,92,9
PIT,23.5,282,761,3947,5.2,246,151,37.1,37,59.5,1205,4.2,27.8,8.7,19.2,432,63.2,2742,6.3,10,23,93,9
HOU,19.6,235,764,4098,5.4,222,169,39.1,31,71,1096,3.7,24.9,7.2,15.7,437,65,3002,6.9,10.6,20,89,6
TEN,20.4,245,740,4091,5.5,225,150,38,34,44.1,1437,4.4,20.4,7,15.3,388,65.5,2654,6.8,10.4,16,91,8
MIN,22.5,270,744,3933,5.3,238,137,29.9,40,45,1190,3.7,23.3,8.5,16.7,390,64.9,2743,7,10.8,15,87,8
